{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境好，性价比高！', '短评打分': 5}
{'短评内容': '代人预定，不错', '短评打分': 5}
{'短评内容': '代人预定，不错', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 5}
{'短评内容': '环境非常好，价格非常优惠，服务非常好，值得住&hellip;&hellip;', '短评打分': 5}
{'短评内容': '说好的两房连在一起，结果又被分开安排！这服务意识太差了', '短评打分': 4}
{'短评内容': '环境可以，够宁静！', '短评打分': 5}
{'短评内容': '不能开发票', '短评打分': 2}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '环境保护各方面好好值得信赖，内部设施', '短评打分': 4}
{'短评内容': '此酒店座落在高要市,要到肇庆市需过江.可坐轮渡过江.\n其它方面还好.', '短评打分': 5}
{'短评内容': '干净，卫生！！环境舒适........................', '短评打分': 5}
{'短评内容': '???????????????????????', '短评打分': 3}
{'短评内容': '酒店在别墅区，非常安静，从外面的阳台可以看到江景，因为是夏天入住，非常凉快。不足的是电视太旧，可选的台太少，而且大部分为粤语台，对外地人来讲不太合适。', '短评打分': 5}
{'短评内容': '回去探亲前一天订的房间 性价比高 地点位置比较好 ', '短评打分': 5}
{'短评内容': '＋酒店阳台面对西江，这就很够了。服务也很热情。整体卫生还好。但电视是真该换了。', '短评打分': 3}
{'短评内容': '整体外观环境还是不错，坐落在江边的小山坡上，中餐厅的茶点不错，种类比较齐全，房间比较宽敞整洁，就是酒店设施比较陈旧，服务人员素质也不错！如果论性价比，根据当地朋友介绍，其它的酒店可能更好一些，对外地不熟悉当地的朋友来说还是不错的选择。尤其可贵的是没有小姐打电话骚扰', '短评打分': 5}
{'短评内容': '肇庆高要丽晶大酒店房间很大，很宽敞，住着干净卫生，从房间里能直接看到江两岸的景色，很惬意', '短评打分': 5}
{'短评内容': '原以为丽晶酒店够星级的酒店呢。青岛的丽晶酒店是五星级的，肇庆高要的丽晶酒店也就和快捷酒店差不多。房间设施很简陋，壁纸上有大块的霉印，淋浴花洒四处漏水，床垫超级硬，好象是块木板。以前住过肇庆皇朝酒店，条件还不错，这里价格比皇朝贵，原以为会好于皇朝，结果很是失望。', '短评打分': 1}
{'短评内容': '设施有些陈旧，但是还是挺整洁的，整体环境很好，住宿条件一般。', '短评打分': 5}
{'短评内容': '很美的一个地方，周围环境棒极了。', '短评打分': 5}
{'短评内容': '性价比还可以，酒店服务蛮好的，比较周到热情，住宿环境还可以', '短评打分': 5}
{'短评内容': '房间很大，很宽敞，住着干净卫生，从房间里能直接看到江两岸的景色，很惬意', '短评打分': 5}
{'短评内容': '卫生设施比较一般整个环境看起来达不到四星标准，服务态度还可以，价格还算公道，位置的话还行挺好找就在江边。', '短评打分': 1}
{'短评内容': '视野开阔，让你置身于大自然的一家酒店。很舒适。', '短评打分': 5}
{'短评内容': '房间的布局装饰很不错，配置也比较全。', '短评打分': 5}
{'短评内容': '前台人员服务态度不错，很好，整体感觉住宿环境幽静，住着还是蛮舒服的', '短评打分': 5}
{'短评内容': '酒店整体来讲非常安静，很适合休闲度假入住。', '短评打分': 5}
{'短评内容': '当时入住的房间临江，视野很好。很干净的一家酒店。', '短评打分': 5}
{'短评内容': '丽晶酒店位置有些偏，但是出行交通还是挺方便的。', '短评打分': 5}
{'短评内容': '酒店在半山腰上，风景秀美。边上还有一条江，空气清新景色宜人。', '短评打分': 5}
{'短评内容': '酒店本身条件还可以，如果去高要是最好的选择了。', '短评打分': 5}
{'短评内容': '服务态度很好，很专业。着装统一洁净。', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施完善，电器设施品质也很不错。', '短评打分': 5}
