{'短评内容': '不错。靠海边。环境可以', '短评打分': 5}
{'短评内容': '条件一般，价格实惠，靠海边很近', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '还可以！位置不错！谢谢艺龙网', '短评打分': 3}
{'短评内容': '离海比较近，一百米就到，房间设施略陈旧，老板娘人不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '能不住就不要去住了吧，房间里号用的东西不多，就好像顶新地沟油事件一样，属于骗到一次算一次的类型。', '短评打分': 2}
{'短评内容': '离海比较近，一百米就到，房间设施略陈旧，宾馆老板挺和气，但一楼餐厅老板素质差，欺诈消费者，建议去外面吃。', '短评打分': 3}
{'短评内容': '7月27日自驾入住。离海边真的很近！停车方便，贴心的老板在宾馆前建了洗脚池，方便客户海边归来洗脚，洗车也很方便，晚上下大雨，自己车上掉了不少树叶，第二天老板娘很热心的借了洗衣盆让我洗车。房间确实不算高档，但比较干净，住着也比较舒服。房间并不贵，老板娘很会做生意，看我们一大家子租两间房，又给便宜了40元。老板及伙计服务态度都很好，提出问题立马客气解决。我认为是性价比不错的宾馆！一家子玩的很开心。谢谢', '短评打分': 0}
{'短评内容': '靠海比较近，条件一般。', '短评打分': 4}
