{'短评内容': '太差了，眼泪，不说了', '短评打分': 3}
{'短评内容': '环境还好', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '距离海边沙滩特别近，海景房，躺在床上就能看到大海。每次带着孩子去黄金海岸都住这里。楼下餐厅的海鲜不宰人，螃蟹看着蒸，价格合理。海滩沙子细腻，海水干净！', '短评打分': 5}
{'短评内容': '位置不错，房间算大，周围吃饭方便。', '短评打分': 5}
{'短评内容': '地理位置不错。其他的也就呵呵了。不要期待太高。', '短评打分': 4}
{'短评内容': '靠海边，挺方便的！房间也足够大，就是洗澡水太少了，洗一个人就没热水了！', '短评打分': 5}
{'短评内容': '还可以的，淡季了价格比较便宜，位置不错，对面就是大海', '短评打分': 4}
{'短评内容': '房间不错，面朝大海，就是床小了些，卫生条件稍差，过条马路就是海滩，在房间里换衣服直接去海滩就可以，整体还不错！', '短评打分': 4}
{'短评内容': '卫生非常的差，真可惜这么好的海景房！出门前把钥匙给前台让打扫卫生，结果回来后发现房间只换了垃圾袋，地也没拖，厕所也不打扫。第二天又专门在房间等保洁来，结果给前台打了3个电话，费了我一天的时间才把保洁给盼来了。来了后照样是只换垃圾袋，我真是佩服的五体投地。花400块住这样的房间也太不值了。以后绝对不会再光临寒舍了！', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '去年来过，今年还是认准这家，不错，很值', '短评打分': 3}
{'短评内容': '优点：位置很好，离海滩非常近。房间阳台就可以看到海景。房间里面配置比较齐全。\n缺点：卫生间有下水道的异味传出，热水器热水一次只够两个人简单洗洗，毛巾被掉毛。\n没有去餐厅吃饭，所以不点评了。总体比较满意，这次订到了特惠房间，感觉挺不错的，以后会考虑再来。', '短评打分': 5}
{'短评内容': '本来是定的大床，结果过去给成标间了，于是去找前台，前台非常不好意思，就给我了个大套房~离海还是很近的，过条马路就到，不过海景可能楼层高点才能看到，因为前面有个楼挡掉了一部分。感觉还是很值的房间也不错酒店也比较新。推荐', '短评打分': 5}
{'短评内容': '房子大开间，家具有点宜家的味道，光线视野都很好，住着舒服。海景房淡季去算是非常划算的，服务也可以，就是酒店餐厅差强人意，具说一楼正在装修中，希望明年再去的时候会好起来！', '短评打分': 5}
{'短评内容': '房间宽敞，设施设备还算完善，而且是无敌海景，性价比不错。定的三人间还有一个上下床，适合一家人。这里比较适合带孩子来，过马路就是沙滩。但沙滩杂物、贝壳比较多，近海还好些。可能还没进入旺季，所以管理还没有跟上。入住、退房较慢，洗手间清洁不是很好。刷卡必须交手续费，是公司规定，很不公平。餐厅正在装修，在旁边的简易得不能再简易的棚子吃的简单的不能再简单的早餐（飘着几粒米的稀粥、腐乳、咸菜、花卷、鸡蛋），期', '短评打分': 5}
{'短评内容': '房间宽敞，设施设备还算完善，而且是无敌海景，性价比不错。这里比较适合带孩子来，过马路就是沙滩。但沙滩杂物、贝壳比较多，近海还好些。可能还没进入旺季，所以管理还没有跟上。入住、退房较慢，洗手间清洁不是很好。刷卡必须交手续费，是公司规定，很不公平。餐厅正在装修，在旁边的简易得不能再简易的棚子吃的简单的不能再简单的早餐（飘着几粒米的稀粥、腐乳、咸菜、花卷、鸡蛋），期待装修好后有所改观吧。', '短评打分': 5}
{'短评内容': '酒店海景很不错，都是正面，离海也近，满意！', '短评打分': 3}
{'短评内容': '房间挺大，干净，离沙滩很近，海景也不错，就是餐厅好像在装修，在旁边一个简易棚子里面吃的早饭', '短评打分': 5}
{'短评内容': '住宿环境挺好，看海挺好，挺近！', '短评打分': 3}
