{'短评内容': '环境好卫生，服务周到，交通便利', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '如家酒店都差不多环境不错，房间干净设施齐全有热水可以洗澡网络电视电话都有，还有无线网，网速也还可以！', '短评打分': 5}
{'短评内容': '性价比高。', '短评打分': 4}
{'短评内容': '房间好小啊!好小啊!好小啊!好小啊!好小啊!好小啊!好小啊!。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '哈哈哈', '短评打分': 5}
{'短评内容': '总体还不错，一百多块钱，要求也不能太高，服务还蛮好的。', '短评打分': 3}
{'短评内容': '闷', '短评打分': 4}
{'短评内容': '这个价位还可以', '短评打分': 5}
{'短评内容': '边上是个KTV，实在是太吵了！', '短评打分': 5}
{'短评内容': '所有的房间气味很难闻！真差，房型太小了', '短评打分': 1}
{'短评内容': '位置和环境都很好，交通方便', '短评打分': 5}
{'短评内容': '位置和环境都很好，交通方便', '短评打分': 5}
{'短评内容': '位置和环境都很好，交通方便', '短评打分': 5}
