{'短评内容': '必须12点以后有房吗？去的早了还等了一会，没有高级大床房，给换了双床房，房间挺大，也还干净，白天水不热，  网络垃圾，经常掉。', '短评打分': 4}
{'短评内容': '位置好  不可加床  早餐可以', '短评打分': 5}
{'短评内容': '挺好的    非要人写80个字   好吧    哦日钟丽缇好么热敏him嘻嘻whyXP有一种没费TM死民众', '短评打分': 5}
{'短评内容': '酒店的位置很好，距离城门很近，并且过了城门就到了永兴坊，晚上很热闹，小吃很多！酒店提供寄存服务，前台的的服务很好，很耐心！', '短评打分': 5}
{'短评内容': '位置不错，旁边有永兴坊美食城', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '有停车场，尽量不要住大床，房间太小，双床的比大床房大很多。标准间还便宜10元。', '短评打分': 5}
{'短评内容': '很喜欢的很好哦很喜欢很喜欢真的', '短评打分': 5}
{'短评内容': '听好的啊哦哦', '短评打分': 5}
{'短评内容': '酒店不错，环境好，服务好，出行方便。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '帮朋友订的，推荐', '短评打分': 5}
{'短评内容': '酒店性价比高，推荐', '短评打分': 5}
{'短评内容': '房间不错，很好', '短评打分': 5}
{'短评内容': '很棒的！', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '还不错。。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '房间太小很憋屈没窗户不通气，这真是常住酒店人的通病   脑袋缺氧', '短评打分': 1}
{'短评内容': '房间面积很小，大清早不知道楼上还是同层的电钻声音就响个不停点，入住的时候没有说，真讨厌', '短评打分': 3}
