{'短评内容': '房间干净 设备新', '短评打分': 5}
{'短评内容': '早餐有点简单，不够丰富；卫生条件很好，设施也很全，首次入住还有小礼物。只是空调声音太吵，外面是地铁二号线，噪音有点大。', '短评打分': 5}
{'短评内容': '入住18层，当晚无热水可以洗澡，问前台说热水管道是与19层客房共用需要等待，但说明时服务态度良好，第三天早上居然同样情况没有热水，要求換到19层才有优先使用热水的权利。退房时问前台要停车劵，前台居然搞不清楚说是算进出一次一张劵，但实际是一天￥40，一张劵値￥120不找零，停四天要两张券，因为没电梯到停车场只好由地下二层跑回前台再要一张券。', '短评打分': 4}
{'短评内容': '房间不错，非常大，一个人睡很舒服。交通便利，就在地铁口。不过门脸比较小，晚上来的话比较难找。下次还来。', '短评打分': 5}
{'短评内容': '全国住了无数的酒店，7年来最不满意的一次，第一个房间安排在1903，而且是坏的，卫生没搞干净，马桶里面有大便，椅子全是灰，沙发非常脏，然后换到1816，电视两个房间居然不一样，热水开了半小时才来。房间居然没有热水壶。打电话前台服务态度冷漠，话没说完就挂电话，第二次回电我说为什么我话没说完你就挂电话？她也不给予答复，一副无所事事的样子，到了前台服务态度也一样不好，男同事居然上班玩游戏，也是醉了，最后', '短评打分': 1}
{'短评内容': '地點不錯。服務也不錯。下次有機會可以去。', '短评打分': 4}
{'短评内容': '虽然找酒店有点晕，但进门后还是觉得非常不错，有家的感觉，有阳台，厨房，惊喜连连。服务也非常不错，可以推荐给好友。', '短评打分': 5}
{'短评内容': '还不错的。', '短评打分': 4}
{'短评内容': '地理位置不错', '短评打分': 4}
{'短评内容': '还不错，就是沿街吵了点', '短评打分': 5}
{'短评内容': '现在两房的套件都不给订了，不开心', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店地理位置极佳，就在地铁2号线天山路出口处。有自助早餐，周边商业设施齐备，  便于活动和出行。 房间较宽敞，卫生整洁。  下次还要住', '短评打分': 4}
{'短评内容': '基本上都不错。  近地铁， 星巴克， 对面就是商场。  房间装潢稍旧了些但是胜在干净。  以后也会考虑住这里。', '短评打分': 4}
{'短评内容': '酒店性价比很高 交通非常方便 门口饭店也很多', '短评打分': 4}
{'短评内容': '位置难找，性价比一般，离虹桥机场也不算近，二十多元，但出租司机给我脸色看', '短评打分': 1}
{'短评内容': '帮朋友定的，还可以吧，有早饭主要是，比较好啦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '第二次入住了,感觉还是很不错的.下次客户来上海还会推荐这家入住的.', '短评打分': 5}
{'短评内容': '我的客户是日本客户,感觉很温馨,前台服务生都会日语,生活上方便的多.房间感觉都还可以.美中不足的是酒店大门不好找.下次日本客户来还会住这里的哦.', '短评打分': 5}
{'短评内容': '那边很划算哦~下面就是地铁~交通也很方便~买吃的东西坐公车就一站~然后楼下有KFC。唯一不好的是~酒店前台服务不通情达理~我们那次去4个女孩子，拿了好多东西，想让酒店给我们通融到2点的，但是服务员，强硬的把我们“赶走了”', '短评打分': 5}
{'短评内容': '上海天山御庭酒店公寓很好.', '短评打分': 5}
{'短评内容': '酒店的性价比超高,而且服务也很周到热情,综合水平很好.而且房间也很舒服.', '短评打分': 5}
{'短评内容': '价格方面还是有些贵了，房间的卫生设施都还行，位置还是比较不错。', '短评打分': 5}
{'短评内容': '还好吧~我们从北站过去不止9KM，打车要40左右！然后内边服务台不不是很好~但套房环境不错~', '短评打分': 5}
{'短评内容': '地段非常好，交通很方便，房间也很大，就是车位太少了', '短评打分': 5}
{'短评内容': '下面的保安冷冰冰的，公共空间竟然连空调都没有还好意思说四星级标准（特别是5楼reception出来的电梯厅根本没空调），早餐估计就10来种东西。以后尽量不会选择御庭旗下品牌酒店。', '短评打分': 1}
{'短评内容': '位置不好找，标志不明显.不过硬件设施还不错，整体水平比较好.', '短评打分': 5}
{'短评内容': '酒店适合一家人入住，房间的配置硬件设施都还比较达标，服务很一般，管理也出现了一些问题，停车场酒店称是免费的，但是停车场的管理人员称要收费。这家酒店式公寓比较适合一家人入住，性价比还是很好的，位置距离地铁比较近，算比较方便吧。', '短评打分': 5}
{'短评内容': '交通位置优越，出门就有地铁二号线，到中山公园和人民广场很近的，服务态度也蛮好的。', '短评打分': 5}
{'短评内容': '优点：酒店位置很好，出行方便，楼下就是地铁站\r\n缺点：上网不方便，酒店网线太短，没有书桌', '短评打分': 1}
{'短评内容': '总体感觉很好，就是前台服务差了点，希望日后改进。以后再去上海还是会考虑这里的。', '短评打分': 5}
{'短评内容': '房间很干净 床很舒服', '短评打分': 5}
{'短评内容': '早上7点半就外面（威宁站）的工地开始工作！ 吵死了！\r\n其他一切很好', '短评打分': 5}
