{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '一般吧！', '短评打分': 3}
{'短评内容': '入住干净卫生', '短评打分': 4}
{'短评内容': '还挺不错的', '短评打分': 4}
{'短评内容': '入住还可以', '短评打分': 4}
{'短评内容': '酒店位置很好找 附近餐饮比较多', '短评打分': 5}
{'短评内容': '帮老妈预定的，还比较满意。', '短评打分': 4}
{'短评内容': '帮老妈预定的，还比较满意。', '短评打分': 4}
{'短评内容': '环境很不错，挺好的。一直信赖京东', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '干净，卫生', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '有些陈旧！', '短评打分': 3}
{'短评内容': '房间干净，环境不错', '短评打分': 5}
{'短评内容': '经济型酒店，预订方便。4楼餐厅有正宗川菜。', '短评打分': 4}
{'短评内容': '每次去成都一向都住这里，离鹭岛很近，非常方便，酒店虽然外观一般，但是床特别舒服，软软的，而且很安静，除了早上客人外出说话，其他是没有什么声音的，很不错的酒店    ', '短评打分': 4}
{'短评内容': '每次去成都一向都住这里，离鹭岛很近，非常方便，酒店虽然外观一般，但是床特别舒服，软软的，而且很安静，除了早上客人外出说话，其他是没有什么声音的，很不错的酒店    ', '短评打分': 3}
{'短评内容': '续住… 点评如前所述…', '短评打分': 5}
{'短评内容': '续住… 点评如前所述…', '短评打分': 5}
{'短评内容': '多次入住该酒店，交通很是方便，周边配套设施也很齐全，个人感觉价格总体来说也很合适，值得推荐入住！！\n', '短评打分': 5}
{'短评内容': '交通便利，服务周到！就是房间里的火柴点不着', '短评打分': 5}
{'短评内容': '环境还不错，挺安静，就是电视老抽疯，时常自动关闭，蛋疼', '短评打分': 5}
{'短评内容': '\u3000酒店不错，干净，安静', '短评打分': 3}
{'短评内容': '环境还好吧，早餐也可以的，就是地理位置偏远了点，下飞机打的到酒店要60呢！', '短评打分': 5}
{'短评内容': '很好！！！环境，设施都挺好，价格也合理！', '短评打分': 5}
{'短评内容': '酒店位置不错，交通便利，价格比起来还算合理，有机会下次再住。有朋友经常过来就住的这家酒店，很不错。在些推荐一下。', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 3}
{'短评内容': '酒店规模不大，但干净整齐，房间也挺好。早晨到9点，结束的太早了。楼下有小吃店，很方便。是这一带性价比较高的。', '短评打分': 5}
{'短评内容': '整洁，交通方便', '短评打分': 3}
{'短评内容': '不错的一家快捷酒店,房间一般,隔音不好楼道说话声音听的和清楚,不过总体还能接受', '短评打分': 5}
{'短评内容': '宾馆内配置都比较新，只是早餐稍微有点简单', '短评打分': 5}
{'短评内容': '朋友来成都 我定的酒店 这次住的房间都没有临街 很安静', '短评打分': 5}
{'短评内容': '卫生还好，服务还好，设施一般，位置一般，二环外，略远，舒适度还好。性价比一般，网站价格仅比门市价便宜10元。房间太小。房间光线也差。房间内一包面巾纸都要额外收费，早饭也很一般。', '短评打分': 1}
{'短评内容': '+酒店设备尚可，停车环境较差。离市中心8公里稍远。', '短评打分': 5}
{'短评内容': '除了房间小了点，其他还是不错，位置不是很好找', '短评打分': 5}
{'短评内容': '怎么说呢，走廊里的自动路灯很贴心；而卫生间里的等也如此节能对一个有如厕看书的人来说就需要不停地变换姿势或者挥挥手臂来得到长时间的光明了。如果洗了内衣内裤，就需要拿出来才能干，不然的话...\r\n\r\n周围的环境还是蛮好的，自贡土菜、超市、洗浴、KTV都有，TAXI也比较好叫。晚上房间很安静，只是不太隔音。', '短评打分': 5}
{'短评内容': '这次入住居然发现上一个客人的尿液还在马桶上 很恶心 ', '短评打分': 1}
{'短评内容': '条件还不错,只是当时室内是无线上网,但是我们需要有线上网.这点有些不太方便,其它各方面还都不错.', '短评打分': 5}
{'短评内容': '房间太小，一二号电梯距离太远。装修的甲醛味太大', '短评打分': 1}
{'短评内容': '酒店是新的，离市中心稍远，周边没什么特别的。', '短评打分': 5}
{'短评内容': '不错，服务很周到。地处闹市交通便利，但酒店还是比较清净的。', '短评打分': 5}
{'短评内容': '今年3月才开业的，挺干净～～就是还有点儿装修的味道', '短评打分': 5}
{'短评内容': '比较清爽的酒店', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮高的,而且服务也不错,综合水平还是挺好的,房间挺宽敞住起来还行.', '短评打分': 5}
{'短评内容': '    酒店很新，设施不错，价格呢——适中。', '短评打分': 5}
