{'短评内容': '价格还行，床太软，还行', '短评打分': 5}
{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。 ', '短评打分': 5}
{'短评内容': '其它还好，卫生差了点', '短评打分': 4}
{'短评内容': '很好！！！！！！！！！！', '短评打分': 5}
{'短评内容': '里面装修很棒，日式风格挺喜欢', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '寮步镇中心位置，交通出行便利，卫生环境很好。进入酒店就闻到淡淡清香。前台服务员态度很好。早上有肯德基的早餐，我订的送双早，赞！', '短评打分': 5}
{'短评内容': '住了4个晚上，很舒适，装修榻榻米风格，肯德基早餐送到房间，就是量少，附近有个成熟的商业广场，啥都方便', '短评打分': 5}
{'短评内容': '一直住，很好，很安全，干净！！！！！！！！', '短评打分': 5}
{'短评内容': '可以！可以！可以？', '短评打分': 5}
{'短评内容': '很好，酒店设施很不错', '短评打分': 5}
{'短评内容': '很长好，连续住宿', '短评打分': 5}
{'短评内容': '房间内部环境还可以就是窗帘不暗有点透光。', '短评打分': 5}
{'短评内容': '你要主动跟前台打两次招呼才会斜视你一眼。说了含早的套路深，大家想吃早餐一定要注意到床边有个小本。填写好信息放到房间门上。不然第二天要吵一架才有早餐吃的。然后送早餐给你的人表现的非常冷漠，直接推包东西给你什么也不说。会让人有种感觉这包东西谁送来的呀，打开一看原来是早餐。这早餐会不会有毒呀一个不说话的人送过来。这服务态度水准就算花10元也觉得不应该', '短评打分': 1}
{'短评内容': '酒店很干净，刷卡上楼，很安全！', '短评打分': 5}
{'短评内容': '环境不错，下次还来！！！！', '短评打分': 5}
{'短评内容': '明明定了两天，住了一天给我退了！早餐还难吃吐了！', '短评打分': 2}
{'短评内容': '环境挺好的，吃饭也方便', '短评打分': 5}
{'短评内容': '酒店设施还可以，就是饭后到九点停车有点麻烦！', '短评打分': 3}
{'短评内容': '设施、价格都不错，早餐的安排不好', '短评打分': 5}
{'短评内容': '环境一般，设施不错！', '短评打分': 3}
{'短评内容': '性价比还是挺高的，房间干净，周围吃饭的地方挺多，唯一的缺陷就是卫生间有股味道', '短评打分': 4}
