{'短评内容': '离我需要的地方很近', '短评打分': 5}
{'短评内容': '一般般，不过一分钱一分货，这个价钱也只能这样啊，总不可能让你感受五星级酒店吧', '短评打分': 2}
{'短评内容': '位置还不错，房间也好。停车场小了点。', '短评打分': 4}
{'短评内容': '陈旧了一些，淋浴的热水时大时小，早餐也没有了。', '短评打分': 4}
{'短评内容': '回程途中的酒店~设施还是可以的~ 回程途中的酒店~设施还是可以的~ 回程途中的酒店~设施还是可以的~', '短评打分': 5}
{'短评内容': '条件很一般', '短评打分': 3}
{'短评内容': '环境蛮好，地方又安静，赞赞赞', '短评打分': 5}
{'短评内容': '早餐不错，五套的不行。特别空调', '短评打分': 3}
{'短评内容': '便宜，楼下吃东西方便。。。。', '短评打分': 4}
{'短评内容': '环境还可以，整体来说挺不错的了！', '短评打分': 4}
{'短评内容': '上网不容易连接上，设施比较陈旧，就当地的消费水平来讲价格确实偏高了', '短评打分': 1}
{'短评内容': '还可以把 该有的都有了  不该有的 也有了 早餐也还可以 ', '短评打分': 5}
{'短评内容': '不错哦 也不知道是不是当地消费不高  这个价格的酒店很实惠了 还有早餐 哈哈', '短评打分': 5}
{'短评内容': '实惠  还不错 没吃早餐不知道怎么样 这个价格不错啦', '短评打分': 5}
{'短评内容': '酒电的网络速度比较快,看电影非常流利,但早餐太差', '短评打分': 5}
{'短评内容': '酒店还不错，后面有停车场。房间不大，但比较整洁。住的是靠里面的房间，非常安静！', '短评打分': 5}
