{'短评内容': '很不错的一家民宿，老板人很好，早餐蛮丰盛的，下次还会来', '短评打分': 5}
{'短评内容': '老板娘人超好的，会提供游西湖景区的攻略房间虽然有点小，但很温馨！', '短评打分': 5}
{'短评内容': '酒店位置超好，在西湖边还能免费停车！', '短评打分': 5}
{'短评内容': '离西湖特别近 非常方便', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '隔音很差，house keep服务没有。', '短评打分': 5}
{'短评内容': '酒店位置还可以  设施简陋一些   卫生间小一点， 下次不会选择这样的旅店了。', '短评打分': 4}
{'短评内容': '床垫都塌了，卫生也没人打扫，无语了！', '短评打分': 3}
{'短评内容': '挺整洁的，环境还可以。就在景区里面，下车就到，很方便。老板还很细心地介绍了购物景点出行的详细信息，很贴心。', '短评打分': 4}
{'短评内容': '酒店位置不错，距离西湖很近，就是不太好找', '短评打分': 4}
{'短评内容': '还不错，环境也可以', '短评打分': 5}
{'短评内容': '酒店服务不错，老板很热情', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '这个价格，性价比还是比较高的，为了第二天的马拉松', '短评打分': 3}
{'短评内容': '还可以，干净舒爽，性价比还是比较高的，这个价格', '短评打分': 3}
{'短评内容': '服务很好。更像是民宿。虽地方稍微偏一些，但出门就有公交车，远离人群更喜欢这样安静的地方。房间一些潮。其他还可以。', '短评打分': 4}
{'短评内容': '位置是真不错，从虎跑路过去很近的，郁闷的是被百度地图误导了！从杨公堤绕到三台山路，大热天的晒得头昏眼花，百度害人啊 ！房间很简陋，硬件设施还是需要改进哈。', '短评打分': 5}
{'短评内容': '缺点：在卧室内搭建卫生间，密封不严，屋内空气不太好。没有一次性洗漱用品和电蚊香。优点：离西湖很近。', '短评打分': 1}
{'短评内容': '地点不错，离景区很近，有点小，但是很温馨，也很实惠', '短评打分': 5}
{'短评内容': '还不错！还能租车坐', '短评打分': 3}
{'短评内容': '6月19号入住，与网友评论基本相符，值得推荐。', '短评打分': 5}
{'短评内容': '房间还行，不过卫生度需要加强。床单上会有虫，提心吊胆的睡了一夜。住的位置只能说离景区很近，相对不算方便，周边没有什么银行，和特色小吃，都要出去走20分钟左右。晚上再回来，都是树林，有点点…', '短评打分': 3}
{'短评内容': '客栈位置挺好的，距离西湖大概15分钟路程，就是离九堡汽车站好远，碰到下雨，折腾啊，环境挺温馨，空气很好，推荐！', '短评打分': 3}
{'短评内容': '地理位置很好，房间很小，房子有些破旧，内部设施很陈旧。', '短评打分': 5}
{'短评内容': '在西湖附近，出去玩很方便，就是地方不好找。提前打电话过去问路比较好，不然自己找不到', '短评打分': 5}
{'短评内容': '就在苏堤附近，位置很好，住的也不错，还有无线网。推荐`', '短评打分': 5}
{'短评内容': '就在苏堤附近，去哪都很方便，周边公交很多，住的地方也不错。推荐', '短评打分': 5}
