{'短评内容': '服务费好', '短评打分': 5}
{'短评内容': '网络不好，打电话总断信号', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '前台态度不错，沟通很好的。房间也很干净，住的很舒服。热水很好没有早晚温差，热热的暖的很。就是电视机开关比较难找，给我琢磨了15分钟才搞定。', '短评打分': 5}
{'短评内容': '房间干净整洁，空间很大！交通很方便旁边就有人人乐超市！附近吃饭的地方也很多！房间暖气也很给力！美中不足早餐种类比较少。不过已经非常不错了', '短评打分': 5}
{'短评内容': '可以...............', '短评打分': 5}
{'短评内容': '房间太小 电脑太烂 服务太差', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以值得入住', '短评打分': 5}
{'短评内容': '一般。水太小。返钱咋还不到呢', '短评打分': 5}
{'短评内容': '舒适整洁，整体感觉很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还好吧，比几年前住旧了点', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店前台男的太死板，无语。', '短评打分': 4}
{'短评内容': '酒店环境不错，设施齐全，干净卫生，是出差旅游住宿的好地方。', '短评打分': 5}
{'短评内容': '酒店很干净整洁，也很安静。只是酒店标示不很醒目，出去办事回来打出租车，驾驶员都不知道，看来酒店的宣传做的还不够！', '短评打分': 5}
