{'短评内容': '很乱 很差 住了一晚第二天就换锦江之星了 房间味道很大', '短评打分': 1}
{'短评内容': '还不错，环境很好', '短评打分': 3}
{'短评内容': '酒店离火车站汽车站很近很方便，谈不上豪华，但大床房很温馨，且性价比很高', '短评打分': 3}
{'短评内容': '\n此酒店在该市CBD,价位适中，单性价比高。我非常喜欢。', '短评打分': 3}
{'短评内容': '还不错，房间挺大的，住在十一楼，也很安静。', '短评打分': 5}
{'短评内容': '这家酒店不错', '短评打分': 5}
{'短评内容': '客人很满意。', '短评打分': 3}
{'短评内容': '非常不错的酒店，地理位置也好，商场购物买衣服方便便宜', '短评打分': 5}
{'短评内容': '房间很大，就是早餐种类少了点', '短评打分': 3}
{'短评内容': '房间很大很舒服', '短评打分': 3}
{'短评内容': '住过的三星级酒店比较糟糕的一个，房间陈旧，早餐太差，不知道这家酒店是怎么评上三星的！', '短评打分': 1}
{'短评内容': '中豪大酒店是我非常喜欢的一家酒店，各种服务都非常到位，感觉很温馨。距离火车站很近，正对着高铁站的铜山路，让外地人很容易辨别方向。这是一家物有所值的酒店，我极力推荐这家酒店。', '短评打分': 5}
{'短评内容': '总体还可以吧，多次入住了，习惯了。不错。。', '短评打分': 5}
{'短评内容': '太吵', '短评打分': 3}
{'短评内容': '住了有2次了，其他还行，房间也大，设施有点老了，住时在装修，不知道下次会不会好点', '短评打分': 5}
{'短评内容': '1 凡接触过的服务生,服务态度都很不错!印象深刻. 2 房间大,家具是欧式白色的,感觉温馨,就这个价格来说,总体性价比不错.3 早餐还算丰富,就是茶叶蛋如能换水煮蛋最好了.', '短评打分': 5}
{'短评内容': '服务较好，设施有点陈旧。', '短评打分': 3}
{'短评内容': '装修有点旧，换了三个房间，起初那个电视坏了，第二个房间洗澡的花洒有问题。硬件设施很一般，不如一般的快捷酒店。餐厅的饭菜味道挺好，而且还便宜。地段很不错。服务员挺好说话的。', '短评打分': 5}
{'短评内容': '设备已经老了，房间内线很多很乱，有股油漆味', '短评打分': 1}
{'短评内容': '太差了。我去过的宾馆中最差的。\n\n1. 不干净\n2. 卫生间漏水。\n3. 装修太老', '短评打分': 1}
{'短评内容': '周围环境比较差，都是各种批发市场，店内比较杂乱，设施老旧。', '短评打分': 1}
{'短评内容': '住了两晚，地段还行，房间也大的，也干净，隔音效果也不错的。就是热水放了好长时间才出来，感觉真是浪费啊，早点一般。不过综合来讲还算不错吧。下次来还住这儿。', '短评打分': 5}
{'短评内容': '床说的是一米五宽，但住进后发现！大概一米二宽！有种被欺骗的感觉阿！', '短评打分': 3}
{'短评内容': '位置不错，欧式家具感觉不错，虽然不是新开的酒店，但卫生条件不错，空间够大，整体感觉较好', '短评打分': 5}
{'短评内容': '位置很好，交通很方便，就是设施有些陈旧，停车场小', '短评打分': 5}
{'短评内容': '酒店的位置还可以，交通也可以，房间有点不行，还有小强。', '短评打分': 5}
{'短评内容': '交通比较方便，吃饭也方便。离火车站很近。房间够大不错', '短评打分': 5}
{'短评内容': '离火车站较近，酒店的性价比较高，下次去徐州还要住。', '短评打分': 5}
{'短评内容': '酒店房间陈霉烂味没有改变，楼层装修也不说明\n档次欠佳', '短评打分': 1}
{'短评内容': '服务还可以，性价比较高，值得一住，装修需改善', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': ' 宾馆一般，下次不会选择了。', '短评打分': 3}
{'短评内容': '酒店环境不错  欧式装修 特别适合喜欢浪漫 有情调的朋友们入住  热水很给力 网速也不错  价格才160左右的商务间  只能说一个字值得  一般我住酒店从来不点评  因为一点评都是差的  下次不住就可以了 也不能做缺德事 人家也要赚钱过日子啊 呵呵 但是中豪这家酒店真的很不错 值得一赞 所以也就点评下吧  不是说点评有个什么代金卷才点评的 设在乎网上给那点代金卷啊  住着舒服才是硬道理 ', '短评打分': 5}
{'短评内容': ' 还行', '短评打分': 3}
{'短评内容': '还不错，空间大，大厅很有气势，就是门市价有点吓人', '短评打分': 5}
{'短评内容': '还行，就是装修得比较老了，地毯比较脏。服务还不错。', '短评打分': 5}
{'短评内容': '酒店很好!谢谢', '短评打分': 3}
{'短评内容': '可以。房间有一种怪味，希望经常通风换气。', '短评打分': 1}
{'短评内容': '这个酒店很好!服务一流。谢谢。', '短评打分': 3}
{'短评内容': '总体来说很好，只是一些细节设施需要完善一下，有机会再次入住…', '短评打分': 3}
{'短评内容': '小欧式小经典。。美中不足的地方--厕所有小强。门上的漆都掉了。窗户很掉价', '短评打分': 5}
{'短评内容': '交通方便房间宽敞空调热水都很享受卫生设施差点儿早餐更差', '短评打分': 3}
{'短评内容': '地理位置还行~\n空调打的很足~ 很足~ 很足~\n房间隔音效果稍微差些，别的房间打电话这边听的很很清', '短评打分': 5}
{'短评内容': '设施旧了，空调不好。但是房间大，大床超舒服。', '短评打分': 5}
{'短评内容': '房间真的不错，很值得！价格公道，去的时候还搞活动，便宜了好多！', '短评打分': 5}
{'短评内容': '非常不错的酒店，服务很好，而且房间很漂亮，是欧式的风格！很值得！', '短评打分': 5}
{'短评内容': '房间内部装饰还不错，就是卫生间稍微简陋了些。', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '房间装修陈旧，而且没有外置插座，十分不方便', '短评打分': 1}
{'短评内容': '性价比很高  房间相当大  很值', '短评打分': 3}
{'短评内容': '房间很宽敞', '短评打分': 3}
{'短评内容': '什么都是一般~~比较让人遗憾的是他附近没有便利店~要买个烟啊什么的很不方便', '短评打分': 5}
{'短评内容': '酒店服务不错，夜里也挺安静。装修欧式风格，设施有点旧，卫生间浴缸下水不畅，鼓捣了一会才好一点。', '短评打分': 5}
{'短评内容': '酒店设施设备还可以，但是前台服务的速度太慢，早餐很差，8点多去的基本上没吃的了，就还有刚上的一点炒饭，菜和饮料都么的了。', '短评打分': 1}
{'短评内容': '其实是想说很一般的酒店~在中国这样的酒店成千上万家~~但是地点还可以，和火车站和车站比较近~~~价格也不贵~缺点是一进门就看见有蟑螂在地上爬，还有洗澡的水冷热很慢，还把冷热标志搞错了（就是蓝色和红色）。还有很大的弊端就是，酒店附近没有24小时便利店~', '短评打分': 5}
{'短评内容': '房间床比较大，设施一般，卫生间洗澡空间不是很大，总体看来，但比较经济实惠', '短评打分': 3}
{'短评内容': '服务态度很好，性价比不错，适合一般的商务住宿', '短评打分': 5}
{'短评内容': '靠近徐州火车站\\长途汽车站,打的不到五分钟,很方便,酒店价格也很实惠,早餐品种太少太单调.', '短评打分': 5}
{'短评内容': '性价比不错的酒店！交通也方便！房间很大！下次来徐州还住这家！', '短评打分': 5}
{'短评内容': '入住徐州中豪大酒店服务很好，周围环境比较热闹，早点内容比较丰富，总的感觉满意。', '短评打分': 3}
{'短评内容': '房间很大，床也很大，电视也不错，不过卫生间设施太陈旧，特别是洗发膏和沐浴露怎么有股难闻的味道，是不是时间太久没换了，都没敢用', '短评打分': 5}
{'短评内容': '酒店卫生很好，服务设施舒适度在同行中有较好的比较性，我会向朋友推荐这家酒店。', '短评打分': 5}
{'短评内容': '房间大，配液晶电视，设施齐全，性价比较高。不足之处是卫生间卫生一般，浴缸下水不畅。', '短评打分': 5}
{'短评内容': '+房间挺大!设施有点陈旧!但还算干净!地理位置也还可以!性价比不错', '短评打分': 5}
{'短评内容': '价格不高，适合出来办事住，就是卫生和服务一般了点，总的来说还是很不错的！', '短评打分': 5}
{'短评内容': '房间差，服务更差', '短评打分': 5}
{'短评内容': ' 房间卫生情况还可以 性价比高', '短评打分': 5}
{'短评内容': '房间设施还不错，液晶互动电视，有宽带网速很快，早餐也不错。就是电源插孔太少。房间两孔一个，台灯与手机充电交换使用，三孔一个笔记本与烧开水交换使用。卫生间110V，220V双孔各一个。卫生间比较旧，总台服务态度比较差。总体还行。只是路过又不是常住。', '短评打分': 5}
{'短评内容': '房间的欧风让人感觉很舒服，交通也很方便，电视是32‘液晶，挺不错的，唯一的不足就是洗漱间太小了，早餐台单调。', '短评打分': 5}
