{'短评内容': '给我20豆豆吧 东东 用得非常好 顶一下 顶一下', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '房间和浴室干净整洁，床也还可以。学校里面很安静。不错。就是有的时候其他房间的抽烟味会传过来，这个挺烦人的', '短评打分': 5}
{'短评内容': '这是浙大校内的培训喽，一般都是满的。不同于酒店的风格，而是校园风，有点怀念。尤其是房间内wifi信号特别好(✪▽✪)', '短评打分': 5}
{'短评内容': '好评是刷出来的吗，超级不好，一楼房间潮', '短评打分': 1}
{'短评内容': '没早餐，在浙大校区，不能加床，', '短评打分': 5}
{'短评内容': '不错，舒服', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '环境超棒，而且在十一价格全是很便宜了！在浙大里面有一种很安全的感觉，就是离哪个门都不太近……', '短评打分': 5}
{'短评内容': '学校内部，外部环境很好，热水很方便，通过携程预订也很便宜', '短评打分': 5}
{'短评内容': '四年后再次入住还是那么满意，酒店在浙大校内紧挨华家池，唯一就餐饮交通不太便利', '短评打分': 5}
{'短评内容': '酒店在浙江大学校园内 环境很安静 很舒服 能够随时体验一把浓烈的大学生活气息 走在校园的每一条绿荫大到上 一路上三五两群的大学生 氛围特别的好 都想回到学校生活了  ', '短评打分': 5}
{'短评内容': '房间很难订到，在学校里面，规格不是很高，大部分是来办事的。主要地理位置好，在学校里面，学校环境很好。', '短评打分': 3}
{'短评内容': '很好，下回还会再来的。', '短评打分': 5}
{'短评内容': '环境好，安静，酒店也很干净，就是地点在学校里面，找起来稍微有点不方便', '短评打分': 5}
{'短评内容': '环境优美安静，可以停车，干净整洁，服务一般。', '短评打分': 5}
{'短评内容': '设施有点旧，卫生，环境不错', '短评打分': 4}
{'短评内容': '非常好地方，价格灰常好，下次继续入住', '短评打分': 5}
{'短评内容': '酒店是在大学里面，下载需要走二十分钟左右到！', '短评打分': 5}
{'短评内容': '在大学校内，环境比较幽静，远离闹市喧哗。', '短评打分': 5}
{'短评内容': '酒店浙江大学里面，公交车站走过去稍微远点，都是林荫路散步走着很享受，酒店里面设施简介时尚，外面就是华家池风景不错，到西湖公交半小时，推荐', '短评打分': 5}
{'短评内容': '环境还不错。挺于净的。可点播电影。就是要从里面出来有点远。房卡能在大学食堂吃饭就好了。', '短评打分': 5}
{'短评内容': '有点贵，但是位置不好，到西湖太远。。。。。。。。。。。。。。。。。。', '短评打分': 1}
