{'短评内容': '酒店服务一流，设施有点旧！', '短评打分': 3}
{'短评内容': '感觉没四星的标准，早餐种类也少', '短评打分': 3}
{'短评内容': '酒店总体装修较陈旧，早餐品种比较少，我们在三楼吃饭时点的鱼重量明显不足。不过在云浮好像可选择范围也不大。', '短评打分': 1}
{'短评内容': '酒店服务好，房间大！很不错的！', '短评打分': 3}
{'短评内容': '酒店位于市中心，交通便利，但房间设施较陈旧。', '短评打分': 5}
{'短评内容': '服务一般', '短评打分': 3}
{'短评内容': '服务好，位置好，房间的椅子坐位不好，每一个椅子坐位都是变型的。', '短评打分': 3}
{'短评内容': '环境不错，房间还挺宽的，大厅也很好，只是门面太小，早餐也一般，服务态度很好，', '短评打分': 5}
{'短评内容': '酒店很一般，性价比不高。', '短评打分': 3}
{'短评内容': '在云浮的市中心，酒店旧了些，很老的四星，如果现在评，肯定没有四星的。不过云浮的酒店也不多，没什么可选的酒店，要是价格再便宜些性价比还是可以的', '短评打分': 5}
{'短评内容': '其实是有宽带的，干嘛不在酒店说明里标明呢？预定时还在为宽带问题思想斗争了一番呢。所幸冒险的选择还是不错的。推荐！', '短评打分': 5}
{'短评内容': '环境一般，酒店设施一般，无法值得推荐！以后出差，不会选择入住该酒店', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '住宿环境达到四星', '短评打分': 3}
{'短评内容': '环境很好，交通也蛮便利的。在云浮这样的地方，已经算不错了', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 5}
{'短评内容': '酒店的服务很到位，态度很热情。给人感觉很舒适。', '短评打分': 5}
{'短评内容': '酒店的价格合理适中，性价比还是很不错的这家酒店。', '短评打分': 5}
{'短评内容': '云浮凯旋及对岸位置很方便，挨着汽车站出行很方便。', '短评打分': 5}
{'短评内容': '卫生很好，很清洁的一家酒店。环境设施配置全。', '短评打分': 5}
{'短评内容': '酒店装饰布置的还是很舒适的，配置硬件设施也比较全。', '短评打分': 5}
{'短评内容': '春节临近客人很少，和其它酒点相比价格高了些。', '短评打分': 5}
{'短评内容': '酒店就是感觉里面硬件设备比较陈旧了,其他方面都还挺好的,比较干净,服务也还算到位,价格适中.', '短评打分': 3}
{'短评内容': '最近早餐有改善，有进步，但还有差距。因为你是四星级酒店，不符。', '短评打分': 5}
{'短评内容': '早餐很差。', '短评打分': 1}
{'短评内容': '以后我会把这家酒店向亲友推荐', '短评打分': 5}
