{'短评内容': '环境很好，空气清新，旁边的南瓜园很漂亮。', '短评打分': 5}
{'短评内容': '预定三个标准间，后幸运升级至3号独栋木屋，性价比超强。酒店位于生态园内，环境、空气上佳，适合休闲渡假。餐厅价格还行，味道也不错。离八达岭高速延庆出口很近，交通便利，当然前提是有车。', '短评打分': 5}
{'短评内容': '酒店比较安静，舒适。', '短评打分': 3}
{'短评内容': '酒店环境还不错，但是以采摘为主，冬天去娱乐项目较少，没有什么可玩的。', '短评打分': 5}
{'短评内容': '酒店绿化环境很不错，尤其是小木屋', '短评打分': 3}
{'短评内容': '值得去看看的庄园，有南瓜长廊，有各种作物，希望下次去可以住进俄罗斯小木屋里。', '短评打分': 5}
{'短评内容': '离延庆的景点还是有些距离的（不自驾的话肯定没戏），酒店的设施也就配个2星级撑死了，服务员的态度倒是还行，包的早餐实在不敢恭维了（稍去晚点儿就没有了炒肝和面条等等吃得下去的东西，其他都是干货小面包小蛋糕和小干得不得了的馒头），总之380元的价格太太太太离谱了，北京城区里的这种设施和软硬件的话也就是个招待所吧。反正下次是绝对不会再去的', '短评打分': 1}
{'短评内容': '一直没时间来点评，确实不错，有蔬菜长廊，各式各样的南瓜看得只想拍照，酒店也比较安静，适合度假', '短评打分': 5}
{'短评内容': '是个度假的好地方，房间设施不错，也很干净，服务态度还算好，周边环境非常好，安静并且可以采摘游玩，餐厅也不错。不足之处是房间里不知道有些什么味道，隔音不是太好，餐厅有点远，早饭品种不够丰富，热水虽然很好，但坚持不了多长时间，菜品价格偏高，而且每天都有宴席，散客照顾不周。\n但总体还算可以吧', '短评打分': 5}
{'短评内容': '酒店不错，环境很好，干净，饭菜也很好吃，上得慢点', '短评打分': 3}
{'短评内容': '环境很好！', '短评打分': 3}
{'短评内容': '酒店很干净、舒适，而且还有采摘园，也适合带孩子来这里度假，个人非常喜欢', '短评打分': 5}
{'短评内容': '房间条件挺不错，环境也很好，酒店里有很多瓜果和花草，远处还有个古堡。就是路上没个指示牌不太好找。。。。。。', '短评打分': 5}
{'短评内容': '房间小，但是环境不错，路上没有任何标志，很难找。\r\n七点半才开早饭，六点多钟醒了就只能等。要是早点开饭就好了。', '短评打分': 3}
{'短评内容': '硬件条件、内部环境不错；秋季瓜果成熟，别有一番风味；适合休闲', '短评打分': 5}
{'短评内容': '酒店环境非常好，我和家人都很满意。在北京难得有这样的田园式酒店，下次还会去。', '短评打分': 5}
{'短评内容': '酒店硬件条件还可以，但餐饮方面比较差。晚餐时有单位搞篝火活动，结果基本顾不上其他散客了。上菜俱慢，吃完了有个菜还没上，结果一查给上到别的桌去了，连丁点道歉的意思都没有。而且苍蝇到处飞，边吃还得边赶苍蝇。第二天吃早餐也一样，苍蝇都落到食物上了，旁边的服务人员也无动于衷。', '短评打分': 5}
{'短评内容': '服务、设施和价位挺相符的。基本满意。与周边景点的路程也相对平均。如果再去旅游应该还会住在这里。', '短评打分': 5}
{'短评内容': '总体还可以，有3星标准以上吧，服务很热情。庄园内部有采摘和垂钓，很不错！值得一去～', '短评打分': 3}
{'短评内容': '干净，安静。', '短评打分': 3}
{'短评内容': '我订的是豪华套间，楼的外表看起来很一般，房间内还不错。但是去的时间不对，六月底去应该就能看到特色的瓜廊了。', '短评打分': 5}
{'短评内容': '房间装修还可以，比较干净，就是酒店的位置有些偏僻。可能我们去的时候人比较少，服务还是不错的。', '短评打分': 3}
{'短评内容': '庭院形式的酒店，设计的很好，还有喷泉呢，停车场也挺大的，离景点挺近，游玩也很方便。', '短评打分': 5}
{'短评内容': '服务上挺贴心的，房间干净整洁，设施完善。', '短评打分': 5}
{'短评内容': '房间很宽敞，收拾的干净利索，设施挺齐全，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店位置有点偏。但内中自有乾坤。酒店的花草和果实都有特色。', '短评打分': 5}
{'短评内容': '适合请客户，消费不低 性价比不高，消费有点小贵', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '新疆菜有一些特点，只是歌舞表演太晚了点', '短评打分': 5}
{'短评内容': '酒店房间挺大的，布置也很温馨，卫生也很好，住的很舒适。', '短评打分': 5}
{'短评内容': '房间布置的很合理，设施比较齐全，从一些有的设计可以看出很客户着想，让人感觉很贴心。', '短评打分': 5}
{'短评内容': '酒店的环境很好，大院子，可以采摘，晚上还有歌舞表演，住的很舒适，很适合休闲度假人士。', '短评打分': 5}
{'短评内容': '酒店没让我失望，很干净很宽敞，住的很舒适，周边景点也挺多，很适合旅游。', '短评打分': 5}
{'短评内容': '条件不错，就是位置有点偏，出行不太方便，其它方面都不错.', '短评打分': 5}
