{'短评内容': '很好，每次出差都住这！车站就在边上，早上不用那么赶', '短评打分': 4}
{'短评内容': '以后还来', '短评打分': 5}
{'短评内容': '首先隔音效果特别差，半夜隔壁水龙头把我吵醒了，早上外边各种车声又把我吵醒了，而且不知道旁边是有KTV还是怎么回事，一直在放歌，声音很大', '短评打分': 1}
{'短评内容': '整体不错，价格实惠，就是设备比较不齐全，不过和店员说了很快就补上了', '短评打分': 5}
{'短评内容': '环境有点差，', '短评打分': 5}
{'短评内容': '感觉不是很好、大冬天的空调都不会暖和、一个晚上冷的要命、什么拖鞋、穿下还滑了一跤、真够倒霉的。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很差的一次住宿，进去时被单被套都没有更换，后来跟前台说了才更换，没有窗户，排风扇更是非常吵，跟前台说了，回答说把卡拔了就不响了，可是卡拔了所有电都不能用了，床板很硬，所以差评', '短评打分': 2}
{'短评内容': '酒店还不错，就是靠近汽车站太吵', '短评打分': 3}
{'短评内容': '卫生，环境还不错，就是房间有点小', '短评打分': 5}
{'短评内容': '环境还行，出行方便。', '短评打分': 3}
{'短评内容': '太差劲了，携程更加差劲，明明有118的房间确首先跳出165元房间，最后两个房间的唯一区别就是差了一台电脑，谁需要电脑，还不能更换饭店跟携程都差劲????????????', '短评打分': 2}
{'短评内容': '脏、乱、差。房间有霉味，卫生间排气扇坏。', '短评打分': 2}
