{'短评内容': '会退回踢腿固特异物体呼呼呼天天头疼', '短评打分': 5}
{'短评内容': '干净利落', '短评打分': 4}
{'短评内容': '相当不错的', '短评打分': 5}
{'短评内容': '好！很好！', '短评打分': 3}
{'短评内容': '房间很大，服务台工作人员态度很好，性价比很高，不错的选择，下次还会过来', '短评打分': 5}
{'短评内容': '房间宽敞明亮，服务也不错，整洁干净，价格也不高，性价比不错', '短评打分': 5}
{'短评内容': '房间不错，周边环境也方便，就是被子太厚，睡觉热，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 4}
{'短评内容': '太棒了，服务态度非常好', '短评打分': 5}
{'短评内容': '太棒啦', '短评打分': 5}
{'短评内容': '各方面都非常好', '短评打分': 5}
{'短评内容': '酒店设施，服务不错，但周边环境较差', '短评打分': 4}
{'短评内容': '感觉还不错。', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '没什么好说的感觉不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 4}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '第二次来入住，携程上居然没有确定订单，到了酒店前台说没有预定，给前台看了我的手机订单才办理的入住。这样到店的时候房间还没收拾出来，出去吃了饭回来才入住的，入住的体验其实还是不错的，就是那个床，是两个床拼饭一起的吗？中间有一条缝，睡得不舒服，其他都很满意', '短评打分': 5}
{'短评内容': '真的不错，比前天住的汉庭好多了，还比它便宜。', '短评打分': 5}
{'短评内容': '干净、安静、比较满意~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': ' 还行，因为每看清楚地址，导致选的酒店太近。', '短评打分': 3}
{'短评内容': '非常温馨，房间又大，真是应了它的名字，老公和女儿说感觉像到了家，很干净，电脑上网速度快，女儿玩游戏很开心。中央空调风力大，洗澡间水也很大，很舒服。周边环境也好，安静干净，离此不远处有一家叫“人人乐”的大超市，我们带回去的成都特产都是从那里买的，物美价廉。', '短评打分': 5}
{'短评内容': '又一次去，很不错的酒店。感觉非常不错。就是有人敲错门了。', '短评打分': 5}
{'短评内容': '温馨房住的挺好的。床至少很舒服。就是电脑不好用。', '短评打分': 5}
{'短评内容': '与想象中有差距，房间较小，房间里的设施与图片差异较大，不过总体来说还可以', '短评打分': 5}
{'短评内容': '环境优美价格有点贵。', '短评打分': 3}
{'短评内容': '订的套房，房间大小可以，电视电脑都齐全，总体还可以。。。', '短评打分': 5}
{'短评内容': '订得套房，房间大小还可以，洗手间稍微小点，有电脑，总体不错。。。', '短评打分': 5}
{'短评内容': '房间很温馨，很有情调！是一家不错的情趣酒店！', '短评打分': 5}
{'短评内容': '整体环境不错，装修很温馨，就是位置有点隐秘。', '短评打分': 5}
{'短评内容': '不错的酒店~ 就是一点点小贵 服务态度很好', '短评打分': 3}
{'短评内容': '不错，温馨，早餐不错，素的，床很舒服，被单白，就是有点不好找', '短评打分': 5}
{'短评内容': '酒店环境不错，空间也还行，离会议中心还是比较近，总体算满意。', '短评打分': 5}
{'短评内容': '帮朋友定的，他说不错，距离沙湾会展中心很近，出行方便', '短评打分': 5}
{'短评内容': '干净，但淋裕有点漏水。总体上还是推荐入住，因为安静，房间里有许多选择。', '短评打分': 5}
{'短评内容': '成都加州壹号酒店温馨，非常有特色。有圆床、床上房顶有大大 的镜子，房间的整体颜色搭配还不错。周围有不少吃饭的地方，如果早餐能够再好一点就更好，值得推荐 \n', '短评打分': 5}
{'短评内容': '已经多次入住成都加州壹号酒店了，房间够大，还有电脑，离开我要办事的公司很近，如果早餐能够再改善一点，那就更完美了。', '短评打分': 5}
{'短评内容': '其它都还可以，房间也还可以，个人比较喜欢。\n就是早餐太差了，水果都是馊的，品种也少，没吃好。\n另外毛巾感觉有点黑黑的，不是特别白的那种，给人感觉会有点不干净，只有自己买一条新的用咯。\n另外停车还需要另收费的，有点不合理。', '短评打分': 5}
{'短评内容': '新酒店不错', '短评打分': 3}
{'短评内容': '成都加州壹号酒店价格合理，还有电脑，不错，真的不错。', '短评打分': 5}
{'短评内容': '前台小姐服务不好，一句欢迎光临或你好都TM没有，可惜了酒店不错的客房', '短评打分': 1}
{'短评内容': '房间面积够大，价格也合适，很干净，下次到成都还会定这家！', '短评打分': 5}
{'短评内容': '经常住这个酒店，房间舒适，还有电脑，方便，早餐也有改进。', '短评打分': 5}
{'短评内容': '来成都都是住这里，酒店时尚，温馨，值得推荐。', '短评打分': 5}
{'短评内容': '环境不错，位置还算好找，服务设施都不错，咖啡厅也挺不错的，就是小了点', '短评打分': 5}
{'短评内容': '成都加州壹号酒店价格合理，还有电脑，不错，真的不错。', '短评打分': 5}
{'短评内容': '成都加州壹号酒店我来成都现在基本上都住这里，房间温馨，价格合理。', '短评打分': 5}
{'短评内容': '酒店很新~温馨房非常有特色。尤其适合年轻情侣居住。圆床、床头和床上房有大大 的镜子。。。房间的整体颜色搭配还不错。值得推荐', '短评打分': 5}
{'短评内容': '不得不说温馨房太有爱了~~~~爱死了啊啊啊啊啊 ', '短评打分': 5}
{'短评内容': '晚上够安静（大白天老有鸡叫，汗颜），周围吃的也多，出行也很方便。下次还会入住的。装修的也不错', '短评打分': 5}
{'短评内容': '＋网线太短', '短评打分': 3}
{'短评内容': '酒店不错，只是不太好打出租车。赞个。', '短评打分': 3}
{'短评内容': '优点：酒店性价比很高，温馨房比较有特色，酒店房间宽敞并配置液晶电视和电脑，很适合年轻人居住。地理位置也还不错，酒店外吃的也比较丰富。\n\n缺点：酒店食物一般，价格中等，但味道不好，且送餐服务加收百分之10服务费。酒店门口是单行道，出行稍有不便。\n\n总体感觉不错，下次还会去。', '短评打分': 5}
{'短评内容': '环境不错，硬件设施很给力', '短评打分': 3}
{'短评内容': '看起来偏点，条件还可以，。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店干净、卫生，早餐也不错，性价比一般。建议推出经济适用房间。', '短评打分': 5}
{'短评内容': '实惠，就是不好打车。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置有点偏，不太好找，打车也不太方便，装修还可以的，挺干净。早餐太简陋', '短评打分': 5}
{'短评内容': '酒店服务态度不错，但业务能力还需提高，房间装修和设备尚可，地段稍偏', '短评打分': 5}
{'短评内容': '酒店还是新装修的房间还是蛮新的环境也很好，出行还是挺方便，服务还算是一般，酒店早餐还是挺不错的，价格还是蛮适中的。', '短评打分': 5}
{'短评内容': '圆床很别致很舒服~服务也没得说，早餐相对比较简单，但是还是不错了', '短评打分': 5}
{'短评内容': '强烈推荐  很有情调的房间，价格稍稍贵了点，188的价格如果放到158或是168应该会更好', '短评打分': 3}
{'短评内容': '很不错哦 对房间非常满意  果然很温馨呢~~', '短评打分': 5}
{'短评内容': '设置条件还不错,只是位置不太好，还有就是如果让前台通知服务员给你送个什么东西，服务员一般很久才会过来，有时候需要催几次才会给你送来，希望这点可以改进', '短评打分': 5}
{'短评内容': '成都加州壹号酒店性价比很高，房间的床很大，有的房间还有水床。', '短评打分': 3}
{'短评内容': '这个价格能住到这么好的酒店，就是早餐比较简单了一些，其它都好。', '短评打分': 5}
{'短评内容': '总之一句话，住了不后悔，就是早餐需要改进', '短评打分': 5}
{'短评内容': '房间很温馨，床很舒服，有电脑，整体还行，有吹风，卫生间也还比较干净哈，', '短评打分': 3}
