{'短评内容': '位置好，有停车场。', '短评打分': 5}
{'短评内容': '热水温度太低了！热水温度太低了！房间宽敞，设施较旧，被子不够柔软。', '短评打分': 5}
{'短评内容': '宾馆紧邻郑州市政府，周边有多条公交线路至郑州市区各地，同时距离地铁2号线500米左右，周边美食餐厅众多，可满足各类客人的用餐需求，是各地旅客出差的必选酒店。', '短评打分': 5}
{'短评内容': '挺好的酒店，交通方便', '短评打分': 4}
{'短评内容': '位置优越。', '短评打分': 4}
{'短评内容': '优惠价格的房间还可以吧。挺大的。也挺整洁卫生。设施也挺全的。要是细节方面再提高一点就好了。', '短评打分': 5}
{'短评内容': '有个餐厅很不错，湘菜馆', '短评打分': 5}
{'短评内容': '离办事的地方很近', '短评打分': 4}
{'短评内容': '办事方便', '短评打分': 4}
{'短评内容': '第二次入住，周边环境不错，交通也方便', '短评打分': 5}
{'短评内容': '很安静', '短评打分': 5}
{'短评内容': '出差到郑州，已多次入住。大门口湘菜馆非常好！', '短评打分': 4}
{'短评内容': '多次入住了，总体来讲还是不错的！', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置不错， 早餐比较好，网络通畅。就是房间比较陈旧了', '短评打分': 5}
{'短评内容': '感觉挺不错，感觉性价比颇高。还有楼下的那个土菜馆味道不错，特别是小炒肉，每次都点，hoho', '短评打分': 5}
{'短评内容': '酒店总体来说很不错 卫生搞的挺不错  服务态度也很好 房间的装修格调也是我喜欢的  地理位置还行，离火车站 市中心打车也就15分钟 总的来说这个酒店性价比很高', '短评打分': 5}
{'短评内容': '不错，下次还来，不错，下次还来。不错，下次还来，不错，下次还来。', '短评打分': 5}
{'短评内容': '酒店设施不错，就是听朋友说洗澡水太小了，她后来还花钱出去洗头了，这点希望改进', '短评打分': 1}
{'短评内容': '环境还不错,相对比较安静', '短评打分': 3}
{'短评内容': '还不错，物有所值，出行比较方便，办事的地方很近', '短评打分': 5}
{'短评内容': '在市政府旁，交通比较方便，早餐比较简单，但吃饱没有问题', '短评打分': 5}
{'短评内容': '因为是合作单位的定点酒店，所以每次去都住这里，性价比不错。', '短评打分': 5}
{'短评内容': '房间有点陈旧的味道,但是服务很好的,设施也都是新的', '短评打分': 5}
{'短评内容': '地点有些偏僻，价格倒还算实惠，内部餐厅也是', '短评打分': 1}
{'短评内容': '环境还不错，卫生间有些小，没有衣物间，可以一住', '短评打分': 5}
{'短评内容': '还凑合吧，卫生间太小，淋浴头水流太小，我每次用都是把淋浴头拆下来用。酒店不提供按摩服务，这比较怪~', '短评打分': 5}
{'短评内容': '条件可以，但交通不变。', '短评打分': 3}
