{'短评内容': '环境一般，房间特别小，预定的房间是没有窗户的，又加的钱升级的', '短评打分': 5}
{'短评内容': '附近有个商场 商场负一楼有超市和美食城,距离景区不远也不近,距离驴肉火烧都还算近,可以一尝。不过距离好一些的餐馆都有距离', '短评打分': 5}
{'短评内容': '交通方便 干净 舒适', '短评打分': 5}
{'短评内容': '很好，干净 卫生', '短评打分': 5}
{'短评内容': '建议不收押金，与全国如家同步', '短评打分': 5}
{'短评内容': '设备齐全 前台热情 ', '短评打分': 5}
{'短评内容': '干净卫生，交通方便，值得拥有，支持一下！', '短评打分': 5}
{'短评内容': '不错，挺干净的，离景点也不远，方便，呵呵呵呵！', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '京东订购酒店也不错啊！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体满意', '短评打分': 5}
{'短评内容': '很好的呢', '短评打分': 5}
{'短评内容': '不错，很好，住着舒服，开房方便', '短评打分': 5}
{'短评内容': '在汽车上临时预订的特惠房，到前台后小妹主动说因房间无窗给我免费升级，且很热心地告诉我冬季蓬莱旅游的景点选择。 房间暖气很足，都不用开空调。', '短评打分': 5}
{'短评内容': '热气太差，水哗哗响一晚没睡着', '短评打分': 3}
{'短评内容': '尚可', '短评打分': 5}
{'短评内容': 'good～', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
