{'descr': '比较卫生，隔音效也还行', 'star': 5}
{'descr': '很不错的，', 'star': 5}
{'descr': '挺好的，，', 'star': 5}
{'descr': '位置 环境还不错', 'star': 5}
{'descr': '不错哦，可以入住', 'star': 5}
{'descr': '很不错，安静，适合家人一起出行', 'star': 5}
{'descr': '房间的壁纸墙皮都烂的不成样子，一点如家的样子都不见了，好像住在小旅馆一样。', 'star': 3}
{'descr': '可以。', 'star': 5}
{'descr': '位置优越，出行便捷', 'star': 4}
{'descr': '方便快捷，不错不错……', 'star': 5}
{'descr': '第二次来住 很满意 附近吃得多 离地铁站也还算近 走个五分钟吧 对面的那个小吊梨汤好吃', 'star': 5}
{'descr': '一般，', 'star': 4}
{'descr': '还不错，略小些。', 'star': 4}
{'descr': '设施~环境~服务很好~~', 'star': 5}
{'descr': '设施~环境~服务很好~~', 'star': 5}
{'descr': '还不错，会员有免费早餐。交通也方便，公交地铁都不远。比较满意', 'star': 4}
{'descr': '一贯如家的标准，经济，还算干净，周围比较安静，也有小餐厅。', 'star': 5}
{'descr': '住的是一楼特惠房，如家的标准配置都有，住了4天，小广告怎么天天有', 'star': 5}
{'descr': '还不错，比较干净卫生，交通也便利，楼下有餐厅，宾馆外面也有几家味道不错的餐厅，值得推荐', 'star': 5}
{'descr': '环境很好 很干净 离我考试的地方也很近 餐厅阿姨很亲切 总之挺好的', 'star': 5}
{'descr': '地段不好，到地铁得坐的士，洗浴的水太小，标双房间也小，刚进去时还有味道', 'star': 1}
{'descr': '房间还干净，比较新，一层是半地下的，开窗后有点不舒服。', 'star': 5}
{'descr': '位置有些偏僻.不太好找。倒还干净。标准间小了点。这个价钱也就这样了', 'star': 5}
{'descr': '房间还算干净，就是卫生间下水返味，晚上楼道太吵了也没有人管。', 'star': 1}
{'descr': '单人大床房间的面积略小了一点，周围的餐饮店很多，交通略有不便，估计将来地铁6号线通车之后就会好一些了', 'star': 5}
{'descr': '很不错,方便干净,定了很多天在这里住,下次继续住这里.', 'star': 5}
{'descr': '这家酒店值得推荐,很不错干净,地理位置好,门口小便利店很多,吃饭方便.唯一不足就是一楼没有护栏,感觉有点不安全,尤其笔记本放窗子边的桌子上.还有就是房间没有茶叶,要自备呀.', 'star': 5}
{'descr': '酒店很干净，位置也不错，外面小吃很方便。没有茶叶，一层窗户没护栏。', 'star': 3}
{'descr': '房间内的设施很好，前台服务态度很好，餐厅的一般。然后就是房门的隔音效果有点差，一楼楼道的那个门响声太大。总体来说很不错。', 'star': 5}
{'descr': '位置不错，酒店客房楼道要通过刷房卡进入。比较安全。', 'star': 5}
{'descr': '一共订了两间。四层一个房间，五层一个房间，都挺干净的。非常满意。附带的餐厅做菜也还行。早餐15块钱一位，自助。', 'star': 5}
{'descr': '还不错，位置还算凑合，价格也可以接受，住着也还算踏实', 'star': 5}
{'descr': '不错，很干净。住的是1楼特惠房，就是外面走廊的噪音稍大。暖气很热，不潮湿。', 'star': 5}
{'descr': '方便，干净，比较新。。。。。。。。。。。。。', 'star': 5}
{'descr': '新，干净，方便，服务OK!!!!!!!!!!!!!!!!!!!!!', 'star': 5}
{'descr': '地方不是很好找 离地铁站差不多有1.5公里 拿着箱子的话很辛苦 但是离首体很近 周围是一片小区 环境不错\n酒店前台服务人员有礼貌但是没有微笑 \n朋友给房间打电话 永远接不到', 'star': 1}
{'descr': '还可以，房子挺不错就是特价房不太好，离考试的地方挺近。', 'star': 5}
{'descr': '价格，位置还可以，味道有些大，楼上环境会好些，比起一楼', 'star': 5}
{'descr': '新装修，味道很大，1楼有些潮湿，其他的还可以', 'star': 5}
{'descr': '环境和服务态度都非常好，设施也很完善，交通方便，也有很多停车位', 'star': 5}
{'descr': '酒店不错，挺干净的，而且在居民区内，环境比较好', 'star': 5}
{'descr': '酒店新的，还蛮干净，房间比较大。就是没有无线。旁边七天倒是有无线', 'star': 5}
{'descr': '不能住1号房啊，挨着电梯有些吵。其他还好。', 'star': 5}
{'descr': '交通方便，卫生间异味太大，不会向朋友推荐这家酒店。', 'star': 1}
{'descr': '住的一楼，房间太潮了，也太吵了。一楼通往客房的门应该有个缓冲，来回走人，咣 咣的，声音太大了。夜里1点钟，工作人员还在走廊大声说话，太不注意了。\n卫生还是一如既往的好，只是下回绝对不住一楼了。', 'star': 5}
{'descr': '实惠，地点不偏僻，交通方便，服务业很好，很干净。', 'star': 5}
{'descr': '环境还算可以，还算比较安静，就是周围便利店很少，不方便。', 'star': 5}
{'descr': '除了地方不太好找，其他都好，服务员也不错，吃饭也方便，楼下就是餐厅', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '不错，住得很舒服，干净贴心，自助早餐也蛮好哦~', 'star': 3}
{'descr': '房间很好但是前台服务不太满意，不是很热情而且办事速度慢。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '很好，很干净，只是有的接待员态度不太好···住了三天，有两天洗澡水不太热···别的都很好', 'star': 5}
{'descr': '很好房间很干净', 'star': 3}
{'descr': ' 很干净,也很舒服', 'star': 3}
{'descr': '花园桥如家还不错，就是不太隔音。', 'star': 3}
{'descr': '总体来说不错，交通方便，和车公庄地铁站、国家图书馆地铁站以及中关村离得都不远。另外，酒店所处的环境不错，周边都挺安静的，不过酒店的隔音效果还是需要进一步提高，哈哈，偶尔会被个别声音比较大的MM吵到。', 'star': 5}
{'descr': '房间挺干净 服务态度再好一点就比较好了 也可能是比较忙的关系', 'star': 3}
{'descr': ' 房间有点小，但是性价比还可以，推荐', 'star': 3}
{'descr': '房间比较干净，总体比较满意。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '酒店室内卫生及布局都挺好。如有放行李包的长条凳就好。餐厅小了。', 'star': 3}
{'descr': '价格、环境、服务都很好，就是离地铁站远了点，离最近的图书馆站走大约20-30分钟，下次可以考虑再住', 'star': 5}
{'descr': '总体感觉挺不错的，性价比很高，停车也比较方便', 'star': 5}
{'descr': '环境和服务都很好。就是酒店的位置离地铁站远了一些。', 'star': 5}
{'descr': '酒店设施很新，像是刚开的，如家确实不错，就是服务一般', 'star': 5}
{'descr': '整个还感觉还是不错的 就是洗澡热水不够热 希望下次改进一下', 'star': 5}
{'descr': '很干净，也很安静，服务也很好，离四号地铁线较近，步行十五分钟可到达国家图书馆店，出行很方便。', 'star': 5}
{'descr': '新开的如家，房间除了有点味道其它的还好啦', 'star': 5}
{'descr': '商务大床房跟特惠大床房布局和房型差不多，但特惠大床房在一楼有点吵。', 'star': 5}
