{'短评内容': '真的不怎么样', '短评打分': 1}
{'短评内容': '还不错，干净卫生，房间也不小', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 4}
{'短评内容': '干净卫生   不错不错', '短评打分': 5}
{'短评内容': '还可以吧，价位合适，设施有点旧，不过服务不错！门口停车不是很方便，白天有被贴条的危险。服务员很热情，不错。', '短评打分': 4}
{'短评内容': '非常满意的一次住宿，酒店位置不错，餐饮方便，到北京交通肯定是方便了，建议大家来尝试一下，不会后悔的。', '短评打分': 5}
{'短评内容': '服务不错，交通也比较便利。在北京来说，这个价位的酒店。信价比很高了', '短评打分': 4}
{'短评内容': '服务态度很好，周边环境一般，', '短评打分': 4}
{'短评内容': '卫生不错，就是设施比较老旧，周边环境比较不方便', '短评打分': 4}
{'短评内容': '朋友过来游玩，就在家附近，服务态度和环境很满意。', '短评打分': 3}
{'短评内容': '还行吧，酒店比较老，有点味道', '短评打分': 3}
{'短评内容': '服务态度好，酒店交通方便，房间干净，还会入住。', '短评打分': 3}
{'短评内容': '没有大床房好呢，不过也很棒', '短评打分': 3}
