{'短评内容': '退咯陌陌摸摸哦哦咯摸摸哦哦哦哦哦', '短评打分': 5}
{'短评内容': '出差住宿 相对还行', '短评打分': 5}
{'短评内容': '总体来说 出差地方最好的酒店之一。设施完善 也有泳池 感觉价格也是非常公道 性价比很好 晚上需要叫车出门', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '周边交通特别不便利，没有出租车，只能用酒店的车，特别黑，比正常出租贵好几倍。酒店前台服务态度不好，跟星级差的太多了。酒店早餐种类少，菜品少的可怜。差评！', '短评打分': 2}
{'短评内容': '回眸**去咯哦呜来咯哦哦哦五', '短评打分': 5}
{'短评内容': '好了咯哦唾沫兔兔JJhmmm图wwwwww好木', '短评打分': 5}
{'短评内容': '吃过咖喱look哦哦哦iKON哦OK了knot咯默默监控', '短评打分': 5}
{'短评内容': '挺好?', '短评打分': 5}
{'短评内容': '非常好，性价比最高', '短评打分': 5}
{'短评内容': '饭店十分干净，服务超好。性价比极高，超级值得去住。给一个大赞吧。', '短评打分': 5}
{'短评内容': '硬件不错，不知道是酒店的问题还是携程的问题？联系携程后半小时解决。退房后，离开酒店。酒店来电话说携程没有把款发给他们。我晕。再联系携程。解释一月一结。赶紧吧。我还有二千的预付款呢。下午入住另外一家酒店。告知我洋浦没有退房。这里不能入住。。。不知道洋浦的工作人员在干嘛？', '短评打分': 4}
{'短评内容': '环境很好，服务态度也不错', '短评打分': 5}
{'短评内容': '环境很好，服务也不错', '短评打分': 5}
{'短评内容': '房间宽敞，整洁干净，下次出差还会住这家酒店。酒店内有屋顶泳池，住客可以免费享用，游个泳很爽！这个要点赞！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '这次是续住，回来时房间已经打扫干净了，很好。有车后住这酒店确实方便。', '短评打分': 5}
{'短评内容': '酒店的设施比较新，房间显得很干净，就是位置偏僻，没有车的话岀行不便，酒店提供用车服务，只是价格略贵。', '短评打分': 5}
{'短评内容': '环境好，虽然交通不太便利，但是房间整洁安静，给好评。', '短评打分': 5}
{'短评内容': '酒店很不错，在当地算最好的了。硬件设施和软件都不错！', '短评打分': 5}
{'短评内容': '洋浦经济开发区好的酒店并不多，这个算是最好的了。大堂看着很舒服，服务也不错。', '短评打分': 5}
