{'短评内容': '老板的态度非常好', '短评打分': 5}
{'短评内容': '房间还算干净，进出时常可以看到阿姨在整理换洗被单，虽说是农家乐，但给人感觉还是个比较正规的宾馆，不像之前住过的农家乐，又脏又随意。就是“海景”两个字有点抽象。', '短评打分': 5}
{'短评内容': '店长和前台小妹的服务是非常好的，有求必应，这点必须得到肯定。但是房间的设施设备真的是老了。淋浴出水小，落水慢，床吱吱呀呀，枕头不舒服这些都可以接受，但是房间的隔音真的是无法容忍，所有走过门口的大人小孩声音到吵到不行！就跟没关门一样。', '短评打分': 4}
{'短评内容': '还算不错的旅行！住的还可以！', '短评打分': 5}
{'短评内容': '住了两天  没人打扫卫生 ', '短评打分': 4}
{'短评内容': '个人觉得还好', '短评打分': 3}
{'短评内容': '房间比较干净，就是楼层高了没电梯有点不便', '短评打分': 3}
{'短评内容': '干净，服务客气。就是贵了点', '短评打分': 3}
{'短评内容': '很不错奥，物超所值，性价比挺高的，房间干净，明亮。老板娘人不错，手艺也不错。', '短评打分': 3}
{'短评内容': '房间不错，阿姨手艺蛮好的，海鲜做的好吃，价格也挺实惠。', '短评打分': 3}
{'短评内容': '房间干净，距离海边特别近，走几步就到，阳台房的水墨画也不错。', '短评打分': 3}
{'短评内容': '总体来说还行吧！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '很干净很温謦，接待的也热心，五一岀行，房价贵很多，有机会平时再来玩。', '短评打分': 4}
{'短评内容': '很干净很温謦，接待的也热心，五一岀行，房价贵很多，有机会平时再来玩。', '短评打分': 4}
