{'descr': '住两天了', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '环境很好，非常不错，房间看起来也很干净，有4，5星级酒店的标准', 'star': 5}
{'descr': '价廉物美', 'star': 5}
{'descr': '还不错的，房间挺大的，参加返现活动，只有88快一天', 'star': 4}
{'descr': '酒店比较老了，但是服务很好，房间里就有外卖的菜单和电话', 'star': 3}
{'descr': '早上洗澡没热水啊                       vv', 'star': 3}
{'descr': '房间配套还可以，就是通风不好', 'star': 5}
{'descr': '房价设施还算可以，对的起这价格。服务员也很热情，周边就有广场和购物商城很方便，停车也很方便。', 'star': 4}
{'descr': '总体还不错，环境还可以，不过不是很精致，这个价钱还行了', 'star': 3}
{'descr': '哈哈哈', 'star': 5}
{'descr': '＋房间很大，但没有网络。总体来说还不错，性价比很高。', 'star': 3}
{'descr': '＋房间很大，但没有网络。总体来说还不错，性价比很高。', 'star': 3}
