{'短评内容': '酒店老旧，位置优越，服务态度一般', '短评打分': 3}
{'短评内容': '很好，老板很热心', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '吹风机也没有，热水也没有还是温热的，床又小', '短评打分': 3}
{'短评内容': '空调都是坏的，毛巾还收钱，被子太薄，冻死了', '短评打分': 2}
{'短评内容': '价格有点偏高！环境不错！老板人很热情！', '短评打分': 4}
{'短评内容': '还行的', '短评打分': 5}
{'短评内容': '入住主要是参加考试，宾馆位置不错，离考点很近、挺方便；可能宾馆开的时间很长了，设施比较旧，但挺干净；不过前台服务不是很到位，下雨了没有准备雨伞备用。', '短评打分': 4}
{'短评内容': '还不错哦 下次还会入住', '短评打分': 3}
{'短评内容': '安静舒适 服务周到！', '短评打分': 3}
{'短评内容': '干净卫生，服务还可以', '短评打分': 3}
{'短评内容': '临时找的房，夜里10点多到的，酒店营业应该很久了，设施比较齐全，让阿姨帮忙换的床罩还有床单，态度超好，赞一个', '短评打分': 4}
{'短评内容': '临时找的房，晚上10点多到的，酒店应该营业很久了，房间的设施挺齐全的，让阿姨帮忙换的床罩还有床单，态度超好，点个赞', '短评打分': 4}
{'短评内容': '酒店环境还可以。就是希望卫生纸能不能用好点的卷筒纸。', '短评打分': 3}
