{'短评内容': '前台服务差，板着个脸给谁看', '短评打分': 4}
{'短评内容': '总体还好，就是热水温度偏低，水量偏小，换气扇不工作的，希望可以整改，前台服务态度很好，停车方便，在市中心，出行方便', '短评打分': 4}
{'短评内容': '早餐一般般，可以带孩子', '短评打分': 5}
{'短评内容': '酒店位于东站对面，相比其他酒店很经济实惠，去青山湖的公交方便，酒店没有早餐供应，我们在斜对面的饭堂解决了吃饭问题，以后来临安还会继续住这个酒店。', '短评打分': 5}
{'短评内容': '性价比高，环境卫生都可以', '短评打分': 4}
{'短评内容': '不好，这个价格在这种小城应该算贵的。1电视电源插座接触不良，一碰就断；2床单上有头发；3马桶半箱水按钮坏了；4淋雨间防滑垫根本不防滑，而且硬的要死，太扎脚！5几乎没有隔音，南方人说话本来就声音大，完全像在你耳边说话一样。总体来说“不满意”，不会再去住。', '短评打分': 3}
{'短评内容': '挺好的，价格便宜，卫生状况良好，基本设施齐全', '短评打分': 5}
{'短评内容': '各方面都还行，交通也方便', '短评打分': 4}
{'短评内容': '还是蛮不错的', '短评打分': 5}
{'短评内容': '不错……', '短评打分': 5}
{'短评内容': '有点脏，墙上污迹斑斑。', '短评打分': 4}
{'短评内容': '出差住这边，性价比不错，挺方便的～', '短评打分': 4}
{'短评内容': '位置不错，就在车站边上，房间也算干净，性价比挺好的', '短评打分': 5}
{'短评内容': '环境一般 周边配套设施还需进一步加强', '短评打分': 3}
{'短评内容': '车站边，环境不错边上吃东西也方便', '短评打分': 5}
{'短评内容': '还是很不错的，价格适中，房间干净，就是没有停车地方。', '短评打分': 5}
{'短评内容': '，房间宽敞，干净，服务良好…', '短评打分': 3}
{'短评内容': '相对于临安的其他同价位的酒店，感觉不值这个钱，打个6折可以接受……', '短评打分': 1}
{'短评内容': '酒店整体还是可以的，房间挺干净，老板本身也挺好客。停车场小了点，但是边上马路上就可以停。', '短评打分': 5}
{'短评内容': '价格比较高，这种配置及服务，100块到处是，况且是在临安，不过临安真的没什么住的.......................郁闷啊...........', '短评打分': 1}
{'短评内容': '房间太小,服务一般.房间到是不少,住的人不多.', '短评打分': 1}
{'短评内容': '房间很干净，就是小了点。性价比略低了些，没早餐，停车困难。', '短评打分': 5}
