{'短评内容': '距离延安医院很近', '短评打分': 5}
{'短评内容': '住延安医院可选择这家酒店！', '短评打分': 5}
{'短评内容': '床大舒服，干净卫生！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '还行吧，就是没吹风机和烧水壶', '短评打分': 3}
{'短评内容': '地方难找，根本没有公寓的牌子，而且是在另外一个酒店里面，兜兜转转找了好久，屋内设施陈旧，床太软，唯一说的过去的是有热水，如果没有热水那真是一无是处了，不会在去，失望', '短评打分': 3}
{'短评内容': '卫生不好，不过服务很好，给我换了个干净的单间。', '短评打分': 4}
{'短评内容': '还可以吧，就是房间有点旧，位置不错', '短评打分': 4}
{'短评内容': '唉.这地 方最好别住.服务态度还可以.但是服务水平太次了.还是住正儿八经的酒店好.便宜没好货', '短评打分': 2}
{'短评内容': '酒店 一般适合长租', '短评打分': 3}
{'短评内容': '服务还可以，晚上我们找不到酒店，打电话去问，服务员就去附近带进去，酒店里面也算还可以，', '短评打分': 5}
{'短评内容': '房间感觉简陋，对家具卫生不敢恭维，放热水洗澡，需放很长时间水，感觉不够舒适，但周边条件便利。', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '第二次回来。比较不错。就是楼下修路，进出还有点不是很方便', '短评打分': 5}
{'短评内容': '周边环境便利，但房间卫生不好，家具陈旧且不干净，床上用品的清洁度也有待提高。', '短评打分': 1}
{'短评内容': '+还好，就是卫生间消毒不行，臭臭的，其他卫生条件不错', '短评打分': 5}
{'短评内容': '住宿条件不错。房间大。还有家用电器，楼下就是大超市', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
