{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境很不错环境很不错环境很不错环境很不错环境很不错环境很不错环境很不错环境很不错环境很不错环境很不错环境很不错环境很不错', '短评打分': 5}
{'短评内容': '酒店一般，房间比较昏暗。路线很曲折，要不是黄金周的话，不会选择住在这里。好处是距离西街并不算远，相对来说比较方便', '短评打分': 5}
{'短评内容': '硬件设施太差了，陈旧、和旅馆差不多，好在停车还算方便', '短评打分': 1}
{'短评内容': '酒店环境还可以，挺不错的，但是酒店预定太不正规了，同一天定房间的价格相差了30元，因为想早上预定好方便一天的行程，早上定180，到了下午就变成150了，感觉很不好，问客服台说价格变动很正常，感觉这理由并不能说服我，位置还是有点偏', '短评打分': 4}
{'短评内容': '比较旧，设施陈旧，房间都是灰', '短评打分': 2}
{'短评内容': '酒店交通方便，位置好，近商业区，干净卫生', '短评打分': 5}
{'短评内容': '价格合理，环境不错', '短评打分': 5}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '没热水', '短评打分': 3}
{'短评内容': '感觉一般般，电视不是液晶的，洗澡的时候要站在浴缸里，浴缸是不存水的，没有热水洗澡', '短评打分': 4}
{'短评内容': '房间小，插座少，有浴缸但出水位没有开关', '短评打分': 3}
{'短评内容': '大床的房好细，在床头没有插座，只能在洗手间或煲茶的地方充电，没有风筒', '短评打分': 3}
{'短评内容': '酒店地里位置适中，离西街很近，停车很麻烦，不过保安很好帮我找位置停好。酒店房间很大但装修很旧，平时很便宜我国庆订所以特贵！', '短评打分': 3}
{'短评内容': '缺点：老旧。优点：静。', '短评打分': 3}
{'短评内容': '一般啦', '短评打分': 3}
{'短评内容': '一般一般吧，因为阳朔的房也太抢手了，太多人去阳朔了', '短评打分': 5}
