{'短评内容': '不提供早餐，就是住房改造的，简单家具。卫生还行', '短评打分': 3}
{'短评内容': '还行，100多块出差勉强能睡', '短评打分': 4}
{'短评内容': '一般，出差有个睡得地方', '短评打分': 4}
{'短评内容': '一般，出差有个睡的地方', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '位置不错，方便。', '短评打分': 4}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '常住的酒店，周边配套齐全，餐饮、娱乐、交通、购物都非常便利。就是酒店年限有点长，里面实施老化，急需装修更新。', '短评打分': 3}
{'短评内容': '常住的酒店，周边配套齐全，餐饮、娱乐、交通、购物都非常便利。就是酒店年限有点长，里面实施老化，急需装修更新。', '短评打分': 3}
{'短评内容': '常住的酒店，周边配套齐全，餐饮、娱乐、交通、购物都非常便利。就是酒店年限有点长，里面实施老化，急需装修更新。', '短评打分': 3}
{'短评内容': '服务太差了，服务员态度很恶劣！房间成旧，浴巾这些都已经烂了。', '短评打分': 2}
{'短评内容': '每次都是你，还挺好的呢', '短评打分': 4}
{'短评内容': '价格合适，出行方便，服务好，房间大气', '短评打分': 5}
{'短评内容': '经常住的酒店，周边购物方便，交通便利。', '短评打分': 4}
{'短评内容': '经常住的酒店，周边购物方便，交通便利。', '短评打分': 4}
{'短评内容': '周边环境很好，毗邻交通主干道。家具很新，很干净。早餐送到房间，一个面包、鸡蛋，一杯优酸乳。但最好不要用快要过期的食品。', '短评打分': 5}
{'短评内容': '电视看不了，估计是到期了，没有续费，服务员大妈还不回弄，不断的开关电视机。\n明明是机顶盒有问题，你开关电视机干什么呢？\n', '短评打分': 1}
{'短评内容': '总的来说不错，就是服务员能不能通过电话询问客人是否续房，直接敲门询问确实有点接受不了', '短评打分': 5}
{'短评内容': '酒店很好找，周围吃饭和娱乐的地方也挺多的，房间卫生还可以，前台服务也挺热情的，早餐是送到房间里的，总的来说还比较满意，就是厨房虽然基本上客人不会使用，但是如能把厨房清洁做的更干净，会给酒店加分的', '短评打分': 5}
{'短评内容': '房间真的好大，床也大很舒服，只是空调的声音有一点响。总的来说酒店比较满意。', '短评打分': 5}
{'短评内容': '很宽敞，就是入住在十九楼有点不方便，而且好像没热水的感觉反正我是没放出来，热水壶的水垢蛮多的，好像是没洗过的样子，其他都挺不错的', '短评打分': 5}
{'短评内容': '酒店是公寓式酒店，房子很大，价格也合理，位置也很好，就是装修简单了点，服务台在19楼，不太方便，拨打前台电话要用市话，结账时比较早（六点），服务员磨蹭了很久才起来，迷迷糊糊的（男生），需要改进。', '短评打分': 5}
{'短评内容': '就是简单的公寓酒店，位置好找，酒店不好找\n如果价格还能再便宜，会有竞争力', '短评打分': 1}
{'短评内容': '地理位置不错，里北部新区开发区很近，周围也很繁华，是工作娱乐的好地方。', '短评打分': 5}
{'短评内容': '这家是公寓式酒店，干净，环境不错，有厨房，就是没有锅等灶具。', '短评打分': 5}
{'短评内容': '环境简洁，设施一般，交通不是很方便', '短评打分': 3}
{'短评内容': '位置、环境等等各方面都还可以，只是早餐有点不给力啊。', '短评打分': 5}
{'短评内容': '盥洗盆流水有点问题，服务态度有待改进，希望下次做好', '短评打分': 5}
{'短评内容': '环境非常好~前台人员服务也很好~！很值得一住~', '短评打分': 5}
{'短评内容': '优点：干净、敞亮、交通便捷。唯一不足就是被褥不是棉的，早餐不是热的。希望精益求精。', '短评打分': 5}
{'短评内容': '超值，一如既往的好。房间宽敞，干净，舒适。期待早餐改进，再就是被褥是全棉的就更理想了。', '短评打分': 5}
{'短评内容': '房间很大，设施齐全而且很新，住着很舒服温馨，只是空调噪声有点大，其他一切都不错。', '短评打分': 5}
{'短评内容': '＋ 离火车站很近，周围超市，饭店，火锅，很不错。', '短评打分': 3}
{'短评内容': '酒店还是很普通的类型，价格倒是挺便宜，房间设施也就比较简单。位置出行还是挺方便。', '短评打分': 1}
{'短评内容': '我已入住。周边环境很好，处于龙湖高档社区，毗邻交通主干道。家具很新，很干净。早餐送到房间，一个面包、鸡蛋，一杯优酸乳。', '短评打分': 5}
{'短评内容': '酒店也是所处在位置还可以不过离市区还是有些偏，价格的话还是有些偏贵。', '短评打分': 1}
{'短评内容': '家庭旅馆式的酒店，比星级酒店实惠，设备比较齐全；自助式的服务', '短评打分': 5}
{'短评内容': '酒店挺不错，房间也很干净，位置出行非常方便，价格很好，前台也不错。', '短评打分': 5}
{'短评内容': '非常满意，从服务到卫生，还有内外环境，给我的重庆之行留下很好的印象。', '短评打分': 5}
{'短评内容': '客房空间还是蛮大的，服务人员态度不是很热情，位置有点偏不是很好找，在大厦里面.', '短评打分': 3}
{'短评内容': '整体感觉很干净，希望以后室内装修可以加强。', '短评打分': 5}
{'短评内容': '是公寓式酒店，房间比一般酒店要大，有厨房，服务很周到，每天早餐可以送到房间。酒店旁边是重庆会馆，也有咖啡厅。性价比真的很不错。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务态度较好，酒店卫生及硬件设施都比较好，值得住', '短评打分': 3}
{'短评内容': '酒店环境.卫生都不错，客服也不错的，以后还会去住的', '短评打分': 5}
{'短评内容': '新开不久的店，很不错，虽然因预定已满没住到这个店，但是店内服务人员很热心，提前协助预定好了同一栋楼房型相同的房', '短评打分': 5}
