{'短评内容': '老牌酒店，挨着个幼儿园比较吵，早餐很差劲', '短评打分': 5}
{'短评内容': ' 前台不错   很热情   就是那楼层服务员   厉害的要命   ', '短评打分': 5}
{'短评内容': '环境还不错，比较安静，就是第一天晚上有蚊子，点了蚊香好过点了。价格要是能便宜点就更好了。', '短评打分': 5}
{'短评内容': '酒店的设备太陈旧，感觉不干净，毛巾也很旧', '短评打分': 1}
{'短评内容': '性价比还算不错，就是有蚊子，网络则超给力，总体不错。', '短评打分': 3}
{'短评内容': '很好，条件、环境、早餐、服务，绝对对得起这个价格。', '短评打分': 5}
{'短评内容': ' 已入住，条件不错，就是房间小点。父母比较满意。', '短评打分': 3}
{'短评内容': '地理位置非常好,闹中有静,房间的安排不错,价格合理,服务非常好', '短评打分': 5}
{'短评内容': '房间大，没得说，就是里边的设施要陈旧一些~~~', '短评打分': 1}
{'短评内容': '房间比较大，挺舒适，就是有一股不好的味道。幸好不太大。其它可以。', '短评打分': 5}
{'短评内容': '位置很好，里商业街很近，浏览商业很方便。', '短评打分': 5}
{'短评内容': '房间比较大，挺舒适的。推荐商旅人士休息之处。', '短评打分': 5}
{'短评内容': '来到发现比期望好很多，房间虽然旧但比较舒适。值得推荐。', '短评打分': 5}
{'短评内容': '老式国营酒店，简单实惠，价格公道，就是早餐太单调', '短评打分': 5}
{'短评内容': '房间有点破旧，有点笑，毛巾还有点脏，总体还能住人！', '短评打分': 3}
{'短评内容': ' 环境还可以', '短评打分': 3}
{'短评内容': '环境不是很好，还有点贵，不过服务还可以！！！！！！', '短评打分': 1}
{'短评内容': '酒店除了房间小，其它还行。', '短评打分': 3}
{'短评内容': '该酒店位置好,环境不错,下次还来住.', '短评打分': 3}
{'短评内容': '酒店很好只是无早餐谢谢你们的服务', '短评打分': 3}
{'短评内容': '感觉还好，就是设备太陈旧了，我这个屋子好几个灯泡都催了~', '短评打分': 5}
{'短评内容': '服务员态度不错，就是设施比较老。还有一个就是不方便停车。', '短评打分': 5}
{'短评内容': '周围环境一般 事25号 找的还不算麻烦 就是宾馆名称不太好找就在锦江之星斜对过', '短评打分': 5}
{'短评内容': '房间挺宽敞的，设施挺不错，液晶的大电视，还配备电脑，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店位置还可以.就是设备有点陈旧了.', '短评打分': 3}
{'短评内容': '房间挺大的，住的挺舒适，位置也可以，出行也挺方便的。', '短评打分': 3}
{'短评内容': '酒店离电脑城挺近，周边环境挺安静的，服务卫生还不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务态度可以，房间挺干净的，挺好，还会再来的…', '短评打分': 3}
