{'短评内容': '在国道旁，离大润发走路大概15分钟', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '性价比高，比较满意', '短评打分': 5}
{'短评内容': '你不错的啦', '短评打分': 3}
{'短评内容': '酒店位置距离汽车站稍微远点，走着要10分钟，周边吃饭不方便，环境还是很不错的，就是隔音不好，走廊里人说话在房间里都能听到', '短评打分': 5}
{'短评内容': '性价比高，位置便利', '短评打分': 5}
{'短评内容': '就是一垃圾酒店', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '急急慌慌', '短评打分': 5}
{'短评内容': '一般般，但是过年居然没涨价，是个意外！', '短评打分': 5}
{'短评内容': '酒店很干净，环境也很好.', '短评打分': 3}
{'短评内容': '环境还不错，服务态度不好！', '短评打分': 4}
{'短评内容': '酒店一般，离购物吃饭要走10分钟，服务态度差，wifi不行也不处理，说国庆网管不在，那国庆干嘛要涨房价?', '短评打分': 3}
{'短评内容': '订了两间豪华标准间，很新，就是有个房间淋雨大头不好用，玻璃门坏了关不严出来很多水。交通好在路边。附近有个商业街吃的很多。', '短评打分': 3}
{'短评内容': '总体感觉还可以。装修较新。', '短评打分': 3}
