{'短评内容': '设施陈旧了', '短评打分': 4}
{'短评内容': '比较老', '短评打分': 4}
{'短评内容': '热水部分时段热，不是全天热。这段时间还没热空调。', '短评打分': 4}
{'短评内容': '酒店房间很大，就是停车位不怎么多', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境不错，服务很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '各项设施都很完备', '短评打分': 5}
{'短评内容': '车被刮花了', '短评打分': 1}
{'短评内容': '很高档就是设施老旧', '短评打分': 4}
{'短评内容': '价格很实惠。装修时间较长了，不然不可能比快捷酒店还便宜。', '短评打分': 4}
{'短评内容': '房间很不错，挺干净的，早餐还可以，总体还是不错的。', '短评打分': 3}
{'短评内容': '还行，就是有点旧，网络不好', '短评打分': 5}
{'短评内容': '不错  整体感觉挺好  推荐', '短评打分': 3}
{'短评内容': '可以的，环境不差，就是早餐结束的早点', '短评打分': 4}
{'短评内容': '房间大，交通位置不错', '短评打分': 3}
