{'短评内容': '环境很好 服务态度很好', '短评打分': 5}
{'短评内容': '酒店紧邻白龙潭景区，入住会给票，可以免费进去一次，适合带老人孩子来玩。有停车场，停车方便。餐厅以素食为主，菜做得很合口味，最喜欢那里的香菇油菜和大拌菜，菜很新鲜。早餐丰盛，炒米饭和烧饼都很好吃！服务人员都身着粗麻布衣服，态度温和，很有进山修行的感觉！酒店比较老，所以设施陈旧，愿意来住的人肯定都是看在白龙潭周围的环境，所以不要对住宿条件要求那么高，不然你也不会住得开心！关键看心境☺️', '短评打分': 5}
{'短评内容': '酒店与网上标注设施不符，没有衣柜、液晶电视、独立浴室、保险箱，冰箱、阳台。位置在景区边上，但很陈旧，床很硬，早餐简单，孩子还非要收费，28一位很不值。有独立停车场，第二天又赶上下雨。总之住的很失望', '短评打分': 3}
{'短评内容': '酒店在白龙潭风景区内，开车爬爬坡，来到“龙潭古堡”入住。从停车场进入古堡有一段不可避免的台阶，如果有腿脚不便的家人同行', '短评打分': 5}
{'短评内容': '还不错，环境安静，适合度假休闲，全家旅游', '短评打分': 5}
{'短评内容': '设施比较老旧，套间的阳台已经不能用了，卫生间很大 不过推拉门也不是特别好使。白龙潭景区可能因为冬天的原因比较荒凉。', '短评打分': 5}
{'短评内容': '还好还好', '短评打分': 5}
{'短评内容': '环境很好，服务很好，房间陈旧一点，不过景色很美，值得推荐。。。。', '短评打分': 5}
{'短评内容': '价位不高，适合休假是住几天。环境好，能看见大山，五福亭等，风景优美，食堂很方便，吃的味道很不错。每天还可以爬山锻炼。就是房间有一、二个小飞虫，小姑娘怕怕的。', '短评打分': 5}
{'短评内容': '设备旧了点，住在山上空气很好', '短评打分': 5}
{'短评内容': '地理位置还可以，但是周围没有什么可以玩的，就有一个白龙谭！', '短评打分': 4}
{'短评内容': '环境很清幽，套房不错', '短评打分': 5}
{'短评内容': '太差', '短评打分': 1}
{'短评内容': '没网络手机还没信号，屋子里还有虫子', '短评打分': 2}
{'短评内容': '室外环境好，但屋内地毯很旧，蚊子多，爬上白龙潭后可看密云水库全景', '短评打分': 3}
{'短评内容': '环境很美，几乎就在景区里;但是酒店的服务和设施相当简陋和不专业。', '短评打分': 3}
{'短评内容': '酒店还不错，只是去那儿的车太少了，交通不是很方便！', '短评打分': 3}
{'短评内容': '山间的一家酒店，山水集团管理。总的来说在京郊景区里算是不错的酒店，设计比较精巧，晚上非常安静。唯一美中不足是餐厅经常没有饭了', '短评打分': 5}
{'短评内容': '卫生一般    服务一般    设施一般  位置一般  舒适度还可以  性价比一般', '短评打分': 5}
{'短评内容': '我感觉其他都还不错，就是早餐收工太早了，呵呵', '短评打分': 3}
{'短评内容': '总体来说性价比还是不错的，我们住的古堡，周边的环境都非常好，空气清新，又很安静，旁边还有白龙潭皇家森林公园，想要在闲暇之时放松的朋友们可以去那边玩啊，不过要提醒大家的是，周末酒店房间非常紧张，最好提前1个月查询预订啊，如果订单有信用卡担保，都是可以在酒店要求的最晚更改取消时限前变更的，所以呢，早点定没有什么坏处的！', '短评打分': 5}
{'短评内容': '还是很不错的，性价比较高\r\n', '短评打分': 3}
{'短评内容': '房间年久失修,位置不错,周围环境很好.', '短评打分': 5}
{'短评内容': '房间比较旧，卫生间不怎么干净。让我欣慰的是，床单被子什么的，还不错。至少可以睡着比较踏实。\r\n主要也是为了感受早晚的空气，这里环境真不错。', '短评打分': 5}
{'短评内容': '性价比还是不错的的，卫生间卫生差一些', '短评打分': 5}
{'短评内容': '酒店的外形设计很棒，给人简洁大气的感觉，第一眼就喜欢了，这里空气也很清新，有益于身体健康。', '短评打分': 5}
{'短评内容': '是假日酒店，周围景色忧美，很适合休闲度假，个人很满意。', '短评打分': 5}
{'短评内容': '酒店环境不错，就是卫生间不太好。刚去的时候，洗手盆漏水，头一天晚上是踩着水进出的。不过酒店的服务态度还不错，第二天报修后就修好了。', '短评打分': 3}
{'短评内容': '房间不错，设施齐全，床铺睡着也舒适。', '短评打分': 5}
{'短评内容': '酒店的会议室很有特点，古香古色的，房间布置的挺温馨，蛮喜欢。', '短评打分': 5}
{'短评内容': '酒店环境不错，就是卫生间不太好。洗手盆还漏水，头一天晚上是踩着水进出的，第二天给修好了。', '短评打分': 5}
{'短评内容': '我觉得酒店的服务不是很好,小的细节方面不是很周到.房间里的卫生和设施方面还是不错的,周边环境还可以,比较适合旅游,交通不是很方便,价格方面还是比较合适的.', '短评打分': 5}
