{'短评内容': '酒店位置可以，位于国贸商圈，吃饭出行方便', '短评打分': 4}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '同上', '短评打分': 5}
{'短评内容': '位置没得说，非常方便而且安静，就是设施太老了，卫生间有朔料挥发的味道', '短评打分': 4}
{'短评内容': '服务态度好，环境不错', '短评打分': 5}
{'短评内容': '差，差，很差', '短评打分': 1}
{'短评内容': '可以吧', '短评打分': 4}
{'短评内容': '涨价了，居然涨价了', '短评打分': 3}
{'短评内容': '一般吧，出差来', '短评打分': 3}
{'短评内容': '服务一般，房间一般', '短评打分': 3}
{'短评内容': '房间设施有点旧，刚进去有点发霉味，好在空调开一会就好了。但酒店的位置不错，客房服务员和前台都很好，网速还可以接受。', '短评打分': 4}
{'短评内容': '不可以的', '短评打分': 4}
{'短评内容': '还不错 挺好', '短评打分': 5}
{'短评内容': '酒店有点旧，不过比较干净，周围环境也不错，性价比比较高！', '短评打分': 4}
{'短评内容': '闹中取静，舒适安逸。好地方。', '短评打分': 5}
{'短评内容': ', 已入住，还是房间有潮味儿，打开窗户透透风还好点。只能说房间一般，没有冰箱，这个价格，也没什么好说的了，图个方便。', '短评打分': 3}
{'短评内容': '还行，特方便，楼下的早餐地方不大，服务还比较周到。就是房间隔音不太好。', '短评打分': 5}
{'短评内容': '酒店不潮湿，还算干净，服务态度也还可以，早点挺差，周围没什么吃饭的地方，买水果倒是挺方便，整体还算凑合，下次还可以考虑', '短评打分': 1}
{'短评内容': '地理位置比较好，酒店门脸比较小，价格比较便宜,还算干净，也不潮湿，吃饭不太方便，买水果比较方便，下次还可以考虑入住\n', '短评打分': 5}
{'短评内容': '酒店环境一般，房间空间还可以，附近没什么吃饭的地方', '短评打分': 5}
{'短评内容': '房间挺干净，也挺大的，在商务酒店里还凑合了，大堂有点小，附近没什么吃饭的地方', '短评打分': 5}
{'短评内容': '酒店房间很干净，也比较宽敞，大堂有点小，只有一部电梯，最可怕的是酒店里没网络，附近没什么吃饭的地方，旁边一条件全是卖水果的，但是挺坑人的，价格到是不贵，整体还凑合吧。', '短评打分': 5}
{'短评内容': '很好，楼下的水果街大家如果光顾要讲价好，比较能坑外地人，附近没啥太多吃的，有个韩国料理还不错，石锅拌饭很便宜也好吃', '短评打分': 5}
{'短评内容': '房间装饰的色调很好，感觉很温馨舒适，床品睡着很舒服，房间空间很大，睡眠质量很好', '短评打分': 5}
{'短评内容': '服务很人性化，交通出行特别方便，酒店内部的住宿环境不错，整体感觉还是蛮好的', '短评打分': 5}
{'短评内容': '位置还不错，比较安静。房间不大，卫生一般，设施有些陈旧。离万绿园不远，门口有个小水果市场。酒店南侧的路上吃饭的地方比较多。总得来说一般般。', '短评打分': 1}
{'短评内容': '酒店位置闹中取静，周围环境绿化好，很不错。总体感觉比较清爽，服务尚可。只是房间较小，床也太短。', '短评打分': 3}
{'短评内容': '酒店位置不错，就在市中心，比较适合逛街游玩，出行方便，房间硬件设施很齐全，服务到位，住着挺舒服的', '短评打分': 5}
{'短评内容': '交通方便，在市中心。宾馆电梯只有一台，上下时间长。', '短评打分': 5}
{'短评内容': '服务态度还不错，房间感觉也还挺满意的。环境卫生和交通也都还不错。下次来也可以考虑住这里。', '短评打分': 5}
{'短评内容': '酒店房间布置的还可以，室内有壁画。房间里比较通透，没有异味，周边交通出行方便，舒适度很好', '短评打分': 3}
{'短评内容': '酒店的环境很好，房间蛮大的，床也比较大，睡着舒服，房间颜色是金黄色的，采光很好，通风也不错，舒适度特别的好', '短评打分': 5}
{'短评内容': '酒店位置不错，地处市中心，出行交通很方便，逛街旅游都没问题，房间布置的很温馨，硬件设施齐全，舒适度很好，服务比较人性化，住宿环境很好', '短评打分': 5}
