{'短评内容': '不错物美价廉，，交通方便，，早餐不错', '短评打分': 4}
{'短评内容': '1、前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的 ', '短评打分': 5}
{'短评内容': '早餐很好，好停车', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '就在童装城外面，位置很好，服务也不错，唯一遗憾的就是房间太旧了，该装修了。', '短评打分': 5}
{'短评内容': '老旧', '短评打分': 3}
{'短评内容': '酒店环境安静', '短评打分': 4}
{'短评内容': '酒店比较安静', '短评打分': 4}
{'短评内容': '简单环境安静', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错很好，住的舒服', '短评打分': 5}
{'短评内容': '很好的房间以后就来住这里了', '短评打分': 5}
{'短评内容': '旧了点，其他还好了，前台小伙子不够热情，难道携程定的就不一样么', '短评打分': 4}
{'短评内容': '挺好……………', '短评打分': 5}
{'短评内容': '还可以，设施老了点！', '短评打分': 5}
{'短评内容': '靠路边   灰尘比较大', '短评打分': 4}
{'短评内容': '宾馆环境比较满意，房间挺大，空气也不错.价格合适.推荐入住.', '短评打分': 3}
{'短评内容': '酒店太旧，空调不行，单人房很小，水龙头一打开水是黄色的，价格不就不高。', '短评打分': 1}
{'短评内容': '性价比不错。三星这个价格难得。', '短评打分': 3}
{'短评内容': ' 房间不错！地方很大！有点欧式风格！整体都很好！', '短评打分': 3}
{'短评内容': '在“五一”放假期间，没想到还能订到138元的房间，本以为是一般的旅馆之类的，事实出乎我的意料，三星级宾馆，也很安静，好好睡了一觉，哈哈', '短评打分': 5}
{'短评内容': '，梦圆大酒店十分干净，房间畅亮，装修温馨', '短评打分': 3}
{'短评内容': '房间较大，安静，服务态度还好。水质不好。总体价格还算合理。', '短评打分': 3}
{'短评内容': '住的还行，恰逢改造，有点吵闹', '短评打分': 3}
{'短评内容': '环境不错，空间大，干净，舒适，安静，价格实惠，就是旁边的童装城有点乱，交通也不是很便利，自己有车的就不用担心了', '短评打分': 5}
