{'短评内容': '非常好的产品，继续支持京东！！！', '短评打分': 5}
{'短评内容': '本来想给小朋友用盆洗澡，服务员各种理由推脱一会说有很大尘，一会又说很久不用，最后还没给我，定两间房间，分到需要走三分钟的两间，入住的时候告知有老人小孩需要照顾，最后说加钱换，男姓张的服务人员说没有了，下到服务台女服务员又马上给换到，服务理念和标准真的相差太大，给酒店的整体素质大打折扣', '短评打分': 4}
{'短评内容': '总的还行，比前几天定的酒店要好很多，卫生不错，热水也好，交通方便。就是早餐品种少了点，多点就更好了。', '短评打分': 5}
{'短评内容': '被子枕头消毒水的味道太浓了！！前台和清洁阿姨很热情，总的来说还是挺满意的', '短评打分': 5}
{'短评内容': '设施太差，卫生不干净', '短评打分': 2}
{'短评内容': '房间干净整洁，舒适，感觉满意，楼下有茶馆，有饭店，交通便利，出行方便，去机场很方便一直住如家，家一样的感觉', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '很好，出差都住这', '短评打分': 5}
{'短评内容': '喜欢如家。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '非常好的一家酒店，价格很优惠。位置也挺方便的。付款还有步行街。便利店。下次还会再来。服务也很周到。住了两晚保洁搞卫生真的是一流的。', '短评打分': 5}
{'短评内容': '很好，价格也很优惠。值得推荐。', '短评打分': 5}
{'短评内容': '。。。。', '短评打分': 5}
{'短评内容': '超级好，特别安静，服务也特别好，也特别干净。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 5}
{'短评内容': '很好很不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间有点小，其他还好', '短评打分': 5}
{'短评内容': '酒店位置还不错，交通也还可以，还算方便吧， 房间也比较舒服。在卫生方面较好，看上去很干净、整洁。总之，价位和它的房间舒适度成正比，适合出差人士入住，下次有机会还会再选择这家的。', '短评打分': 5}
{'短评内容': '位置挺好，吃饭很方便，卫生也满干净，只是招牌太小，找半天', '短评打分': 5}
{'短评内容': '位置比较偏', '短评打分': 3}
{'短评内容': '因到海口时间太晚临时在转机中途预定，离高速口很近，交通方便，设施一如如家风格', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 4}
{'短评内容': '方便，早餐，出行有公交车站', '短评打分': 5}
{'短评内容': '交通购物较好。', '短评打分': 3}
{'短评内容': '大致还行，房间比较小，就只能作为一个睡觉的地方。', '短评打分': 4}
{'短评内容': '交通很方便，机场有机场巴士直达', '短评打分': 5}
{'短评内容': '没有电梯到4楼，房间小！', '短评打分': 3}
{'短评内容': '环境不错！前台很有礼貌，到达时晚了不少，但还是帮我们保留了预定房间', '短评打分': 5}
{'短评内容': '房间干净，服务态度真的挺好。知道我是考生还提议我与旁边的考生一同打的去考试，节省车费。就是房间是新的，有点味道。', '短评打分': 3}
