{'短评内容': '对面就是公园非常非常喜欢。', '短评打分': 5}
{'短评内容': '还可以在来', '短评打分': 5}
{'短评内容': '哈哈哈哈很好', '短评打分': 5}
{'短评内容': '酒店挺不错的', '短评打分': 5}
{'短评内容': '今天又订了、还是不错', '短评打分': 5}
{'短评内容': '好。。。。。。。', '短评打分': 5}
{'短评内容': '这家酒店是我以往一直直接入住的酒店，性价比还是不错的，不过现在已经转让经营了，涨价了不少，相比附近酒店只能挥手说再见了，这几天去芜湖选择了附近的山景假日酒店，标间带双早也比这家便宜，推荐给大家选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '有待提升', '短评打分': 5}
{'短评内容': '每次都住这家', '短评打分': 5}
{'短评内容': '就是空调制暖差些。', '短评打分': 4}
{'短评内容': '设施较旧，但价格实惠，还算满意', '短评打分': 4}
{'短评内容': '设施较旧，但价格也算实惠，还算满意', '短评打分': 4}
{'短评内容': '不错不错不错。。。。', '短评打分': 5}
{'短评内容': '不错 非常不错', '短评打分': 5}
{'短评内容': '性价比还可以，周边吃饭的地方不多', '短评打分': 3}
{'短评内容': '环境卫生不好，房间设施简陋，下回不会考虑入住。', '短评打分': 1}
{'短评内容': '首先酒店位置不错，靠近街道，交通方便。\n其次虽然房间不大，但房间打扫干净，设施配套齐全。\n住的很满意。\n唯一不足：停车的地方太小了', '短评打分': 5}
{'短评内容': '还不错，就是退房应该在二点才好。就因为一点多退房两个房间都被收了半天房费。', '短评打分': 5}
{'短评内容': '性价比还不错的酒店,房间还可以的，就是卫生间有点漏水，洗澡冷点。', '短评打分': 5}
{'短评内容': '第二次住了。还可以吧。。。。。第二次住了。还可以吧。。。。。', '短评打分': 5}
{'短评内容': '酒店比较新，床很舒服，值得推荐，下次就住这里了。', '短评打分': 5}
{'短评内容': '隔音效果很好，房间也不错，下次来芜湖还会在这订房间。', '短评打分': 5}
{'短评内容': '环境很不错，不过原价格和网上标的不一样呀~~总体很好', '短评打分': 5}
{'短评内容': '基本还是值这个价钱的，我睡觉浅，很多快捷酒店隔音都不行，这家还不错，房间内设施齐全，我还蛮喜欢屋内灯光和环境的', '短评打分': 5}
{'短评内容': '酒店设施还好，就停车场太小，车辆方便进出', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '位置有点难找，后来觉得，交通还是蛮方便的。房间不大，但卫生还可以，也安静，可以推荐', '短评打分': 5}
{'短评内容': 'k地理位置不错，离火车站也近，就是周边吃的是很多\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错的酒店。。。装修还是蛮有特点的。。。', '短评打分': 5}
{'短评内容': '环境还是不错的，地段也可以，价位偏高，不过总的来说是可以的，适合旅游入住', '短评打分': 5}
{'短评内容': '房间空间有点小，早餐种类有点少。\n不过整体还是可以', '短评打分': 5}
{'短评内容': '性价比不错的一个酒店，各方面满意....................', '短评打分': 5}
{'短评内容': '新开不久的酒店，各方面都还行吧！！！最主要是方便！！！！', '短评打分': 5}
{'短评内容': '价格相对同档次的宾馆略贵，离高速公路比较近，自驾游的朋友很方便。', '短评打分': 3}
{'短评内容': '该酒店位置比较偏，另外空调噪声大，网速一般。', '短评打分': 1}
{'短评内容': '前台人员不够专业，结帐时柜台里4个人只有一个人有经验在操作退房等事宜。这个价位下次去芜湖的话还是考虑去住其他快捷酒店了。', '短评打分': 1}
{'短评内容': '地面地毯有些脏，别的不错', '短评打分': 3}
{'短评内容': '房间不错挺温馨的，和家人入住也是不错的选择。', '短评打分': 5}
{'短评内容': '总体感觉不错，值得推荐。', '短评打分': 3}
{'短评内容': '这个价位可以了啊，不用多想。别的印象不是很深刻。一般般。', '短评打分': 5}
{'短评内容': '酒店蛮新的 一切正常 厕所和浴室是分开的 隔音不错', '短评打分': 5}
{'短评内容': '一般  各项都一般 感觉有点 贵 168还差不多', '短评打分': 1}
{'短评内容': '环境不错，服务业很好，就是我那个房间没窗户，有点闷', '短评打分': 5}
{'短评内容': '环境不错。可以看到赭山的楼层。景还不错。', '短评打分': 5}
{'短评内容': '房间挺干净的。+20块换了数码房，配的一体电脑上网速度也可以。', '短评打分': 5}
{'短评内容': '环境很赞\u3000只是服务员有点让人郁闷\u3000', '短评打分': 3}
{'短评内容': '地理位置不错，离火车站也近，就是周边吃的不是很多', '短评打分': 5}
{'短评内容': '预订之后到店无房！协调出来的房间比原房间差~严重BS酒店这种不诚信的行为！', '短评打分': 1}
{'短评内容': '房间很干净，很现代感，总体不错，价格在芜湖地区稍微贵了点，地势还好', '短评打分': 5}
{'短评内容': '酒店位置不错，房间装潢的很漂亮，服务态度也不错，酒店为鼓励客人点评还赠送了价值15元一份的早餐，我去吃了一下，味道和品种都很好，定的是大床房，188元值这个价。', '短评打分': 5}
