{'短评内容': '被子太薄', '短评打分': 4}
{'短评内容': '没有停车场，附近停车位也比较难找！大床房能将就住两个人，但是价格不高，经济实惠，这个价格就不要要求太多！', '短评打分': 5}
{'短评内容': '房间干净整洁，价格实惠', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '快捷酒店管理人员', '短评打分': 4}
{'短评内容': '很好，下次还来', '短评打分': 5}
{'短评内容': '这家酒店挺干净也够宽敞，离西湖很近', '短评打分': 5}
{'短评内容': '离商业街，西湖都比较近。在菜场旁边，', '短评打分': 5}
{'短评内容': '卫生很差很差', '短评打分': 3}
{'短评内容': '离西湖很近', '短评打分': 4}
{'短评内容': '经济', '短评打分': 5}
{'短评内容': '无窗免费升级的有窗大床房，带领服务员态度特别好，很有耐心。酒店在杭州动物园旁边，往右可以去宋城和六和塔，往左直接去西湖雷峰塔，地理位置挺赞的。', '短评打分': 5}
{'短评内容': '这酒店涉嫌欺骗消费者，15平米？我觉得最多8平米，也就是个3*3都不到的鸽子笼。虽说便宜，但当时我也是看到15平米才进来的？活动空间也就1.5平米，不然就在床上呆着。这算什么？还写15平米？', '短评打分': 1}
{'短评内容': '设施非常一般。床很小。毛巾也没更换。', '短评打分': 3}
{'短评内容': '还是可以住一住的', '短评打分': 4}
{'短评内容': '位置较好，离地铁西湖近，不提供洗漱用品，房间小，吹风机在床头柜上面，这设计醉了，平日里非节假日可以入住，性价比可以，节假日同等价位下，推荐七天，汉庭等快捷酒店', '短评打分': 4}
{'短评内容': '还可以吧，床单一定要换！', '短评打分': 5}
{'短评内容': '没有在马来60块的房间好。楼层房间太多，找了好一会。前台态度极差，去了后爱搭不理，网上订的没用上。前台多花10块刷卡入住的。价格在杭州算是便宜的', '短评打分': 3}
{'短评内容': '酒店在丰乐桥北这边，离新开元不远，位置不错，到景区。到地铁方便，环境很好，服务态度不错，卫生干净，性价比高，推荐', '短评打分': 5}
{'短评内容': '就在解放路上，步行到西湖大概要15-20分钟，交通还算方便。离魁元馆很近', '短评打分': 5}
{'短评内容': '大床房A比较小，窗户更小，而且还不是面街的窗，汗。。。不过地方非常好找，但只适合住一晚，价格不值。。。', '短评打分': 3}
{'短评内容': '房间虽小，但干净温馨，交通很方便，以后还会选择。', '短评打分': 5}
{'短评内容': '虽然房间小了点，但是设施还是不错的，打扫的比较干净，酒店的位置不错，离西湖比较近，晚上可以出门看音乐喷泉', '短评打分': 5}
{'短评内容': '房间紧凑，环境舒适，濒临西湖，很舒适~值得推荐~', '短评打分': 5}
{'短评内容': '房间不可思议的小', '短评打分': 3}
{'短评内容': '太小了主要是住了几天都没有人收拾屋子。地上都是头发', '短评打分': 1}
{'短评内容': '除了电视不太给力，除了窗户不太给力，除了牙具木有不太给力，除了位置有点偏，其他神马楼下卖水果的挺好的，外面新丰小吃的小笼包挺好的，外面奎元馆的面挺好的，都挺好的，，，开这样的店着实赚翻了，这么小的房间每间这个价，而且又有这么多间，啧啧啧。。。不过还是推荐了，还可以吧。', '短评打分': 5}
{'短评内容': '房间干净舒适 也很温馨 唯一不足的就是没有几个外窗的房间 很闷', '短评打分': 5}
{'短评内容': '还是不错的酒店，连锁的比较有口碑，房间比较干净，洗澡的水很大很舒服，就是房间太小了，就只能摆个床，洗手间没有门，比较不好！位置还不错，离西湖比较近！', '短评打分': 5}
{'短评内容': '快捷和低碳没问题，房间小也没问题，但关键要设计合理，就说卫生间吧，淋浴在一进门的地方，再往里面是洗脸盆和坐便，洗完澡后地面都是湿漉漉的，往里面走会很滑，还有就说卫生间的宽度也太小了，洗脸时根本没法猫腰，坐在坐便上自己的大腿也会和洗脸池发生碰撞。另外，毛巾和卫生纸都塞在布丁英文字母的空洞里，用完也没地方放，只能随便找地方放，甚至放在坐便上，多钉几个挂毛巾的架子有那么难吗？总之，住的不舒服，不人性化，', '短评打分': 1}
{'短评内容': '布丁酒店入住后发现后没有牙刷和洗澡和洗发用品，还要自己买的，这也不太好吧，希望该酒店能人 性化，使客人更方便。', '短评打分': 3}
{'短评内容': '周末房价小贵。房间太小。刚好放一个床。不过挺干净的。', '短评打分': 5}
{'短评内容': '＋环境还行，服务也不错', '短评打分': 3}
{'短评内容': '房子太小了 太不爽了 位置也比较背 性价比一点都不高 再不来了', '短评打分': 1}
{'短评内容': '我订的大床房，房间真是非常小，只有一张大床，和玻璃墙隔开的卫生间。好在卫生条件很好，洗澡热水也非常好！如果想住经济酒店，布丁酒店还是很理想的。特别说明的是，我选择这家酒店是看中了它紧邻中山大酒店，也就是机场大巴买票和停靠点。公共交通也很方便。推荐', '短评打分': 5}
{'短评内容': '总体来说不错，工作人员素质来可以，卫生条件还好，的确是隔音不太好。', '短评打分': 5}
{'短评内容': '杭州解放路店,住的还是比较安静的，主要是方便，该有的都有，有网络可以查询第二天的出行行程计划。', '短评打分': 5}
{'短评内容': '橙色，给人温暖的感觉；\n环保型，给人温馨的感受；\n特别适合年轻人，个人感觉；\n走廊及通道很个性的图案，让人迷失方向的冲动，哈哈！！！', '短评打分': 5}
{'短评内容': '还行,位置不错,价格也还算可以,经济型客房', '短评打分': 5}
{'短评内容': '房间小而精致，也很干净，但是唯一的不好就是隔音效果不好，\n因为伦家认床毛病很严重，到早上6点多迷迷糊糊想睡觉，\n但是因为隔壁的房间两位男女朋友在努力的嘿咻\n最后的结果是一天没睡。TAT', '短评打分': 5}
{'短评内容': '房间有点小。价格一般。。。148和128的。几乎是一样的，那窗，头都伸不出去的小。。。。想住的可以考虑一下附近的。', '短评打分': 5}
{'短评内容': '隔音太差。。听说房间小。。到了才知道不是一般的小。。厕所还没门。。电视台也少的可怜。。据说有无线结果搜不到。。。总之再也不去了', '短评打分': 3}
{'短评内容': '环境不错，很干净\n服务态度很好，\n下次旅游的话还\n选择\n', '短评打分': 5}
{'短评内容': '还不错呵呵挺方便挺干净的!强烈推荐哈哈哈哈', '短评打分': 5}
{'短评内容': '儿子说床比万丽五星的都舒服。房间很温馨。洗手间真的没有门耶。距离杭州的湖滨路走路只有十多分钟，看音乐喷泉很方便。', '短评打分': 5}
{'短评内容': '价格还可以，可惜酒店太拥挤，用隔板格成好多小间，隔音效果极不理想，跟隔壁驴友随时随地可以随心交流，以环保的名义不供应一切洗漱用具（除了毛巾），住宿舒适度不高。', '短评打分': 1}
{'短评内容': '有特色的酒店，房间很小，离西湖很近，一个人很适合', '短评打分': 5}
{'短评内容': '有无线网络是这家酒店的亮点。\n可惜房间实在太小了，床就对着没有门的卫生间实在让人不舒服。', '短评打分': 1}
{'短评内容': '地理位置适中，价钱适中，服务人员热情，虽然房间比较小点，但是还是很少舒适的 ..', '短评打分': 5}
{'短评内容': '该酒店很舒服，装饰也很好', '短评打分': 3}
{'短评内容': '很温馨，很漂亮。路程还也不是很长，就是WC没有门洗澡的水会溢出来！！！', '短评打分': 5}
{'短评内容': '还好啊  服务很好  干净 卫生  打扫及时 ！就是洗刷间没有门  上厕所很不方便  。', '短评打分': 5}
{'短评内容': '绿色环保,节能.', '短评打分': 3}
