{'短评内容': '没，不，合，', '短评打分': 2}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '环境好。房间很干净！服务也很好！', '短评打分': 5}
{'短评内容': '还不错，很好', '短评打分': 5}
{'短评内容': '蛮不错的啊！', '短评打分': 5}
{'短评内容': '房间一般，电脑设备很差。', '短评打分': 4}
{'短评内容': '基本满意！唯一不足的是房间的隔音效果不好，虽说一分钱一分货，但是这隔音效果连说话的声音都不敢大声。。', '短评打分': 5}
{'短评内容': '服务挺好的，就是水温时冷时热，不稳定。空调也有响声，房间卫生一般。', '短评打分': 5}
{'短评内容': '不错。性价比很高', '短评打分': 5}
{'短评内容': '好好好好好好好好甘i酷咯菌腈卡恩女我具体咯的啊啊啊啊', '短评打分': 5}
{'短评内容': '还好，', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '空气对流不好，其他的都可以！', '短评打分': 4}
{'短评内容': '很好离吉之岛近', '短评打分': 5}
{'短评内容': '出差在外打工的首选，非常干净的', '短评打分': 5}
{'短评内容': '出差在外打工的首选，住的可以，好', '短评打分': 5}
{'短评内容': '特价房面积实在太小了。换了一个198元的单间。虽然面积大点，但隔音效果差。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店卫生一般，蚊子好多，隔音差。可能是住特价房的原因', '短评打分': 3}
{'短评内容': '住了四个晚上，高级大床房，隔音稍差些，WIFI信号较弱，我带了NOTEBOOK，没有用电脑，网络速度还算可以。\n所谓的自助服务比较蛋疼，买东西得去大堂。\n因为是每天结账续住，每天中午去续住的时候等很久，中午只有一个人上班，望改进。\n吹风在走廊，虽然我没用，不过还是有些觉得麻烦。\n水力度不是特别大，不过还好没什么问题\n\n几个意见：\n1：中午增派人手\n2：增设不间断电源插头\n3：水压力弄大些\n4：增加', '短评打分': 5}
{'短评内容': '酒店所处地理环境不错！出行饮食挺方便的！有电脑玩！但就是热水来得慢！隔音一般般！', '短评打分': 5}
{'短评内容': '房间设备齐全，环境好。', '短评打分': 3}
{'短评内容': '服务真不是一般的差！网上介绍写明是1.8米的床，实际上只有1.5米！前台服务员先推说暂时没有1.8米的房间了，后来态度极其敷衍刻薄地说“这个价钱只有一米五的床！一米八的床都要一百八到一百九十元的！”好像消遣我们是穷鬼在网上订了个便宜价钱，没资格要求再多似的！另外，居然一层的房间共用一个风筒！！那也算了，居然设在楼梯间！晚上阴森恐怖得可以，谁要晚上在楼梯间吹头发呀', '短评打分': 1}
{'短评内容': '还行、、、、、就是离出差的地方蛮远的。、、、、、、、、', '短评打分': 5}
{'短评内容': '还可以!挺干净!', '短评打分': 3}
{'短评内容': '第二次来…感觉不错', '短评打分': 3}
{'短评内容': '挺好的…很时尚…前台小姐服务态度好…', '短评打分': 3}
{'短评内容': '房间挺大也很新，有电脑很方便，不过看不了电视，隔音一般。', '短评打分': 3}
{'短评内容': '实在很一般，洗发液和沐浴露居然是脏到留出很多不知名液体的，还有很多灯具什么都是坏的，无语', '短评打分': 1}
{'短评内容': '位置蛮不错了！！！房间也蛮舒服，就是那个拖鞋有点不习惯，就不能是一次性么？', '短评打分': 5}
{'短评内容': '\r\n三泰房间挺大的，装修也不错。', '短评打分': 3}
{'短评内容': '房间设计的还好，电视电脑都有，卫生打扫也还好，整体感觉还不错。', '短评打分': 3}
{'短评内容': '酒店的位置还好，周边交通还比较方便，内部环境也不错，挺干净也挺安静，住的挺舒适。', '短评打分': 3}
{'短评内容': '这个城市不大，所以显得很安静，酒店装修的挺好，感觉挺舒适，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，基本设施都有，住的挺舒适，价格也挺合理。', '短评打分': 5}
{'短评内容': '房间不大，但是布局还好，服务也挺好的，停车场小了点，但总体感觉价格还比较合适。', '短评打分': 3}
