{'短评内容': '酒店服务很热情', '短评打分': 5}
{'短评内容': '酒店服务很热情', '短评打分': 5}
{'短评内容': '宾馆就在景区里面，可以到牌楼处接车，可以帮买特价票，有点丽江客栈的味道', '短评打分': 5}
{'短评内容': '来西塘五次了，最爱的就是这家了，位置佳，最热闹的地段，老板又好，总之是我去西塘的首选', '短评打分': 5}
{'短评内容': '接送站省时省心 房间漂亮舒服 店家人好 重要的是在景区里面 怎么逛都近  店家人很好 满意     ', '短评打分': 5}
{'短评内容': '酒店很好，不过节假日会贵一倍左右。酒店老板很客气，亲自出来接，还可以打折买门票。', '短评打分': 5}
{'短评内容': '环境很好，房间既干净有宽敞，设施很全，采光很好，隔音不错，周围环境很安静，相当好，老板娘很热情', '短评打分': 5}
{'短评内容': '客栈就在景区内，离西街，小吃街就几分钟路程。老板还专门来接我们进景区，代买门票55元，买了门票景区内的博物馆可以免费参观。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '非常非常好的一家酒店', '短评打分': 5}
{'短评内容': '总体还可以 就是感觉房间小 厕所异味大 有一边插座有点松 毕竟是民宿 服务没有酒店那么好 不过也就这样', '短评打分': 4}
{'短评内容': '店家态度非常好~', '短评打分': 5}
{'短评内容': '热情，环境好，比较方便。', '短评打分': 5}
{'短评内容': '环境还好，店主很客气还去接我们进景区', '短评打分': 5}
{'短评内容': '好评啊，真心不错，而且接我们的阿姨很热心', '短评打分': 5}
{'短评内容': '挺不错的 我特别喜欢这里 风格很古朴 特别适合情侣约会', '短评打分': 5}
{'短评内容': '我觉得这个酒店总的来讲还是可以的 房间不错 ', '短评打分': 5}
{'短评内容': '酒店的天井很漂亮，房间的雕花大床很有中国特色。老帅哥老板也很热情，到了就给画地图介绍情况、不错的酒店！', '短评打分': 5}
{'短评内容': '此次南京、苏州、西塘、杭州行，个人住的最舒服的就是这家宾馆了，有种家的感觉，而且在景区内，很方便。', '短评打分': 5}
{'短评内容': '还不错 房间很干净，酒店位置也很好，酒店自带的小花园环境也不错，离开酒店的那天，老板还帮我们联系了出租车去嘉善南火车站，很满意，建议入住前提前1日给店家打电话，他们可以告诉你很多出入西塘的信息，很实用噢，下次去还会考虑住这家。', '短评打分': 5}
{'短评内容': '环境不错，设施挺齐全的，服务较好，可惜不是临水房。', '短评打分': 3}
{'短评内容': '酒店还可以，140元是2楼，酒店的人帮着买的门票，一人只要50，很划算，只是天气好热呀。。挑个凉快天来旅游', '短评打分': 3}
{'短评内容': '老板态度很好，而且是在景区里，可以节约门票。就是住一楼太潮湿了，一定要住楼上。', '短评打分': 5}
{'短评内容': '地理位置很好，床很舒服，干净。就是一天的价格相差300，有坑爹的感觉。', '短评打分': 5}
{'短评内容': '环境很好，位置不错，关键是空调给力阿！', '短评打分': 3}
{'短评内容': '现代大床，总体感觉还不错。。。。', '短评打分': 3}
{'短评内容': '不错，在西塘景区的主干道上，有点非常不满意，有蟑螂，很大很多，受不了', '短评打分': 5}
{'短评内容': '这个价位有点贵，大概是节假日的关系了。\n没有浴巾什么的，这点有点不好。\n就在景区里面，是很方便。\n只是不是住的不是临河。', '短评打分': 5}
{'短评内容': '房间不错，干净卫生，老板娘很热情，出行很方便，就是得自已打车，宾馆只是派—名工作人员带路，总的来说还是不错的。', '短评打分': 3}
{'短评内容': '对这样的一个小镇来说这样的住宿条件可以啦.不能太要求，房间空调很凉快也很干净，最让我感觉不错的是一般宾馆我们出去把房卡拿掉就没电，可这个客栈光断电视和电灯的电，空调和我的电脑不会断感觉真好!', '短评打分': 3}
{'短评内容': '院子环境不错，一楼潮湿，霉味重，床铺下都是灰尘，朋友睡后皮肤起疹！接车小妹态度不好！不热情！', '短评打分': 3}
{'短评内容': '酒店一般，接近快捷酒店的水平，三星的价位。酒店隔音较差，被流水声吵了一夜，没睡好', '短评打分': 3}
{'短评内容': '优点是在景区内，只要付得起住宿的费用，永远都不用买门票；缺点是小了点，这也是景区客栈共同的缺点。', '短评打分': 5}
{'短评内容': '环境不错，服务也挺周到', '短评打分': 3}
{'短评内容': '环境很好，酒店也很干净，酒店就在景区旁边省的走来走去', '短评打分': 5}
{'短评内容': '住的古典民居，有间还有电脑，感觉还不错，玩的挺开心.', '短评打分': 5}
{'短评内容': '总体来说还可以，到时给老板打电话，他派了人来接，所谓的接，就是他骑电动车前面领路，我们花8块钱坐人力车，拉我们到景区外围，然后他们再派个人出来接我们近宾馆。宾馆在一个小弄里面，里面的小石子路，还有个小亭子，古色古香的，房间里面也还不错，热水很给力，大床也很舒适，但是无线网络信号很不好，我们定的现代大床房，窗外的可能是空调室外机，晚上吵的不行，每隔几分钟就会嗡嗡地叫，一晚上没停，半夜还有人在窗外吵架', '短评打分': 5}
{'短评内容': '酒店还行！环境一般吧！还挺干净的', '短评打分': 3}
{'短评内容': '不错的选择！还给带进景点了呢！（不过平时还是算好时间，4点半以后景区是免费的）订的是现代大床房，房间10平方，床褥是碎花的，很田园，装修也干净，很适合小两口入住。值得推荐！', '短评打分': 5}
{'短评内容': '住的是一层正厢房，真心很好～古色古香而且很干净敞亮～还有一个躺椅很好很好～服务态度也很好哦～有无线网～地理位置很好～就在西街的一个小弄里～', '短评打分': 5}
{'短评内容': '老板还满热情的，只是没有订到临水的房间很遗憾，希望下次去的时候能够提前订到！', '短评打分': 5}
{'短评内容': '位置非常好，就在景区里面。卫生条件一般，有几个特色的房间，看上去不错。', '短评打分': 5}
{'短评内容': '不错的地方，院子里还有小亭子,热水稍微有点不给力啦', '短评打分': 5}
{'短评内容': '我入住的是现代大床房 整体感觉 干净整洁 ， 标配一次性洗漱用具 ， 电热水壶+茶叶，相应的电视 ，网络都有 ，第一次用热水洗澡时需要预先开启一段时间热水才能开始享受，整体不错  ', '短评打分': 5}
{'短评内容': '环境较好，老板娘人热情周道，挺好的！', '短评打分': 3}
{'短评内容': '宾馆环境不错，服务态度也很好，可惜五一假期去的，有点小贵', '短评打分': 3}
{'短评内容': '还可以吧。1楼临水的观景阳台 应该配茶具', '短评打分': 5}
{'短评内容': '小环境很好，老板也很周到，告诉我们各种地方怎么去~去的比较晚大巴和动车都没有了，老板还给我们重新指路。', '短评打分': 5}
{'短评内容': '黎园宾馆清洁，价格合理。在古镇的小弄堂内。值班的冯先生很随和，拿出地图给我们讲解景点。', '短评打分': 3}
{'短评内容': '我是朋友介绍来的，到店之后发现环境确实很好，下次还来。', '短评打分': 5}
{'短评内容': '帮朋友定的，朋友打电话说非常喜欢', '短评打分': 3}
{'短评内容': '服务一般，房间还可以，也没用老板。。。。。。', '短评打分': 1}
{'短评内容': '有两把锁，很安全，干净舒服，就是楼上地板很吵！', '短评打分': 3}
{'短评内容': '位置很好，在送子来凤桥正对面，平台房风光很好，设施也还可以，总体满意', '短评打分': 3}
{'短评内容': '去之前很忐忑，去了以后才觉得这个酒店真的很不错，因我住的是一楼临水，所以是单独的小院，雕花大床，站在屋子里或是靠河的阳台上，都能看见送子来凤桥，离酒吧街也很近，很方便，提前只定到两天，因为是一个人，想多住一天，就又在二楼住了一日，二楼临水房也很棒，也是雕花大床，很闺房的感觉，反正以后去西塘还会住黎园。', '短评打分': 5}
