{'短评内容': '干净整洁美观时尚', '短评打分': 5}
{'短评内容': '房间挺好的，比较干净，老板免费送上山', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '经济实惠型连住两晚', '短评打分': 5}
{'短评内容': '经济实惠型，挺干净，服务很好；最主要离南大门比较近，步行十分钟能到上山换乘点', '短评打分': 5}
{'短评内容': '实惠的好酒店，在汤泉桥，第二次住', '短评打分': 5}
{'短评内容': '房间还不错。客房服务也很热情。现在淡季价格很便宜。超值吧。', '短评打分': 4}
{'短评内容': '还可以吧，感觉还算干净', '短评打分': 4}
{'短评内容': '浴室淋浴間玻璃有縫隙，水都流到地板，沒有達到乾濕分離的效果。酒店距離寨西換乘中心有段距離，黃山北站，九華山，屯溪等長途客運都是從寨西發車。還好酒店免費接送，彌補這項劣勢。', '短评打分': 4}
{'短评内容': '距離黃山東嶺換乘中心步行約7~8分鐘，酒店可以免費送住宿客人到換乘中心，轉搭黃山新國線大巴到雲谷索道售票處，每人車資19元，外加5元保險費。', '短评打分': 4}
{'短评内容': '酒店服務很好，前台美女解說黃山旅遊注意事項及遊玩路線非常仔細，有耐心。早上七點有車送到黃山換乘中心。', '短评打分': 4}
{'短评内容': '今天的续定，不是同一间房，但依然干净整洁，很舒服。一楼还有小卖部和餐饮，虽不是一家的，但菜价不贵，臭鲑鱼才65元，菜的味道也不错。以后推荐给朋友们。', '短评打分': 5}
{'短评内容': '位置好，有线路讲解，有车接送.', '短评打分': 4}
{'短评内容': '还不错，饭菜也挺好吃，服务周到', '短评打分': 5}
{'短评内容': '老实说，能在景区订到这样一间价格便宜（才88）的这么有氛围的房间，让人非常舒服！下次去黄山，还订那！', '短评打分': 5}
{'短评内容': '拖鞋太薄，空调温度低，服务不错。卫生间不够大气。', '短评打分': 4}
{'短评内容': '拖鞋太薄，空调最高只能调到30度。大冬天还是冷的。', '短评打分': 4}
