{'descr': '位置不错！', 'star': 5}
{'descr': '不错ꉂ ೭(˵¯̴͒ꇴ¯̴͒˵)౨”', 'star': 5}
{'descr': '酒店正在装修，味道很大强烈推荐携带防毒面具入住', 'star': 2}
{'descr': '该公寓是从愿博雅国际酒店转给现在的接手人的。一切还不完善。房间电视都还无法观看。也没见着服务员。据说正准备装修，更换新的设施。期待以后能好起来。反正按现在这样的设施与服务实在不值这价格。', 'star': 4}
{'descr': '房间窗户关不上，电话功能无效 ，电视没有遥控器，房间空气非常差，空调声音响，这家宾馆目前不适合入住 。携程应该为此负责。', 'star': 3}
{'descr': '房间窗户关不上，电话功能无效 ，电视没有遥控器，房间空气非常差，空调声音响，这家宾馆目前不适合入住 。携程应该为此负责。', 'star': 3}
{'descr': '前台没人服务，等了七八分钟。房间里没有网络，电话都是坏的。最可怕的是早上起来竟然没水，害得我脸没洗牙没刷也没洗澡就去开会，实在难过，印象中住酒店从来没遇到这种事情。', 'star': 2}
{'descr': '酒店订起来比较方便，价格也合适', 'star': 3}
{'descr': '挺好。这酒店干净卫生。我住过那么多这算不错的。住得高还能看夜景', 'star': 5}
{'descr': '非常不错的酒店我住的最好的', 'star': 5}
{'descr': '这个酒店就在五环旁边，非常超值，房间很大，也才300多，比其他快捷酒店便宜还好，我准备住三天', 'star': 5}
{'descr': '空调对着床吹，很不好，面积倒是挺大的', 'star': 4}
{'descr': '很棒的，第三次定这个酒店了，宽敞，装修好', 'star': 5}
{'descr': '性价比高，楼下还有餐厅，吃饭也比较方便。', 'star': 5}
{'descr': '。', 'star': 5}
{'descr': '性价比非常高，干净舒适，停车方便', 'star': 5}
{'descr': '好好好', 'star': 5}
{'descr': '懦弱怕热哦婆婆头目诺托诺拖诺托木木木哦欧头目哦欧米色特Mr 磨破头T恤咯LOL木木与微生物体育中心任务', 'star': 5}
{'descr': '环境好', 'star': 5}
{'descr': '在望京CBD这样的价格算是性价比极高的酒店了，早餐品种虽然不是太丰富但吃饱还是没问题的，洗澡水很小但还算是热的，楼下还有湄洲东坡酒楼，也是方便。', 'star': 4}
{'descr': '很不错的酒店', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '价格很合理！不错', 'star': 4}
{'descr': '还可以的酒店，位置也不错，价格也还可以。酒店本身条件一般，能有这个体验算是很不错了。希望酒店能再提升些房间空气质量的提升', 'star': 5}
{'descr': '条件好，服务态度很好，周到，且大窗子能看见外面的景色，超级棒！以后还会再来光顾博雅国际酒店的，全5分鼓励一下！', 'star': 5}
{'descr': '房间挺干净！就是设施老点！', 'star': 5}
{'descr': '毗邻地铁口,交通还算可以(望京略远),硬件档次不错,就是集中暖风是在太热且不能调节', 'star': 4}
