{'短评内容': '酒店内部简单干净，十九大期间安保检查严格，住着放心，很满意。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '交通便利', '短评打分': 3}
{'短评内容': '服务态度差，酒店服务态度强硬，有点店大欺客的意思，不推荐！！', '短评打分': 1}
{'短评内容': '价格太贵了，坑人，我定的豪华间，给我的普通间。', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '环境很差，就便宜这一点，就区别待遇？烧水壶是坏的，洗手间没有热水？洗澡间也没有？床头没有插座，床非常小', '短评打分': 1}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '在烟台东站这个危楼里，经济房没卫生间，车库改建的，地理位置偏僻，周边环境很差', '短评打分': 1}
{'短评内容': '不错，服务挺好的', '短评打分': 5}
{'短评内容': '对得起价钱', '短评打分': 5}
{'短评内容': '房间挺大，挺干净的，床再大点就好了，总体不错。', '短评打分': 3}
{'短评内容': '这个酒店环境不错 卫生条件也很好 交通也方便 几个不贵 很好  下次来还住这里 谢谢大家', '短评打分': 3}
{'短评内容': '房间挺大干净整洁，没有异味，不错推荐', '短评打分': 3}
{'短评内容': '房间挺大，没有异味，挺干净，整洁，服务挺好的，推荐', '短评打分': 3}
