{'短评内容': '很一般，动不动有人乱敲门。', '短评打分': 2}
{'短评内容': '隔音太差，离机场比较近，一分价格一分货，这个价位也就这样房间了。', '短评打分': 4}
{'短评内容': '相对来说挺不错', '短评打分': 5}
{'短评内容': '相对来说挺不错', '短评打分': 5}
{'短评内容': '相对来说挺不错', '短评打分': 5}
{'短评内容': '相对来说挺不错', '短评打分': 5}
{'短评内容': '实惠方便，距离机场比较近', '短评打分': 4}
{'短评内容': '房间还不错', '短评打分': 5}
{'短评内容': '#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude20#ud83d#ude07#ud83d#ude07#ud83d#ude07#ud83d#ude07#ud83d#ude07#ud83d#ude07#ud83d#u', '短评打分': 4}
{'短评内容': '隔音有点差', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '前台服务不好，要改善…………………………', '短评打分': 4}
{'短评内容': '前台服务不好，，，，，， ，，', '短评打分': 3}
{'短评内容': '挺好的～～～～～～～', '短评打分': 4}
{'短评内容': '还可以…………', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '价格公道，大堂有士多店，生活方便，2点退房有优势，前台的小MM漂亮', '短评打分': 5}
{'短评内容': '服务和环境都好，价格实惠，就是房间味道很差，有种梅雨天，发霉的潮潮的空气不流通的味道，希望酒店管理者想法改善！', '短评打分': 5}
{'短评内容': '在晋江算是性价比较高的酒店了，卫生条件需要提高！', '短评打分': 5}
