{'短评内容': '设备陈旧', '短评打分': 2}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '交通方便，环境不错', '短评打分': 5}
{'短评内容': '房间内部还好，周围环境不太会，交通方便', '短评打分': 4}
{'短评内容': '设备简直烂得不行，还这么贵', '短评打分': 1}
{'短评内容': '很好很棒的', '短评打分': 5}
{'短评内容': '酒店很干净很好', '短评打分': 5}
{'短评内容': '很差', '短评打分': 3}
{'短评内容': '房间旧，卫生一般。办事方便选在这儿。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '态度不太好，半天说没收到订单。还好，艺龙客服服务认真', '短评打分': 3}
{'短评内容': '住宿条件良好，楼层服务态度好。早餐条件一般。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '总休一般，早饭很差', '短评打分': 4}
{'短评内容': ' 酒店地理位置好，设施陈旧不够四星', '短评打分': 3}
{'短评内容': '地理位置，交通比较方便，服务一般！价格经济实惠！', '短评打分': 5}
{'短评内容': '周边环境还不错，公交挺多，出行挺方便的，商场也挺多的，购物也很方便。', '短评打分': 5}
{'短评内容': '服务卫生方面还不错，会议室还挺大的，出行也方便，价格也比较合适，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺不错，价格不贵，房间装修也不错，卫生打扫也很好，住的很舒适。', '短评打分': 5}
{'短评内容': '我们经常回去住这家酒店，公司会有一些会议，酒店大的会议室很不错。', '短评打分': 5}
{'短评内容': '酒店的价格还不错比较经济实惠的一家店，环境设施也基本达标。', '短评打分': 5}
{'短评内容': '对酒店的服务蛮满意的态度都很热情，做事情很认真。', '短评打分': 5}
{'短评内容': '酒店位置不在市中心，周围环境还不错，空气也很好。交通也方便。', '短评打分': 5}
{'短评内容': '在网上预定的效率很高，服务还好，设施配置比较一般，只能说及格。', '短评打分': 5}
{'短评内容': '那边整体环境还是很不错的，因为去附近办事这家酒店还是很方便的，可以推荐入住。', '短评打分': 5}
{'短评内容': '这个酒店还可以，就是没有宽待', '短评打分': 5}
{'短评内容': '服务一般，地势很差，要想吃饭或者买东西是100％不方便，不推荐去这家住，住了一次特后悔！！！说实话，当时前台说如果不用Elong名义还给我便宜10元，我没有干，很郁闷的一家酒店，Elong可以考虑终止这家的合同，免得伤了客户心，真的很一般的酒店，还不如瑞金酒店！', '短评打分': 1}
{'短评内容': '位置之偏，也还可以接受（因为贵阳不大），但是出门就难了。从市区进来还好，要是想出去，尤其是早上出门办事，很久很久（等候的时间远远超出你的承受力，除非你的运气特好，几乎到了可以中六合彩的地步）都等不到一辆出租车，还没住过的，建议放弃，已经住过的，不用说，打死也不会再住这了。其它还好，毕竟贵阳的酒店相对其它地方要贵一些。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;酒店的硬件设施很好,服务也不错。但酒店所处的位置很偏。我在晚上下飞机后，在10点半左右在市区打车，司机都不愿意去这个地方。解释是：城乡结合部，乱。第二天早晨出门打车，竟然等了50分钟才打上车。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;如果您是商务旅行还是其他，都不推荐这里做为住所。&amp;lt;/P&amp;', '短评打分': 3}
{'短评内容': '地方太偏僻，并且，网上所说的内容和酒店实际有很大的偏差。交通不便。隔音效果差&lt;br /&gt;\n', '短评打分': 3}
