{'短评内容': '舒服，还不错', '短评打分': 5}
{'短评内容': '什么时候返退', '短评打分': 5}
{'短评内容': '前台姐姐服务很好，酒店也很安静，除了设施有点破之外，一切完美！性价比超好，是我最近订的最好的酒店了。', '短评打分': 5}
{'短评内容': '环境不错 房间很大 ', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不好 环境非常不好 一百块钱都感觉不值得', '短评打分': 1}
{'短评内容': '地址不怎么好，在一条小巷。房间空间大，似乎是唯一的优点。设备老旧，卫生不好。房间里电话没电池，摆设。无线网基本上没法上。浴室毛巾竟然都是破的，没有吹风机，拖鞋脏黑。好像148返10，还未收到！评分只能给2.8', '短评打分': 2}
{'短评内容': '好................', '短评打分': 5}
{'短评内容': '好................', '短评打分': 5}
{'短评内容': '好好好。...........', '短评打分': 5}
{'短评内容': '酒店位置不错，卫生一般吧', '短评打分': 4}
{'短评内容': '周边的街道挺热闹的', '短评打分': 4}
{'短评内容': '酒店为了自己多收房费，在携程定的而且用信用卡担保了也不接待', '短评打分': 1}
{'短评内容': '环境设施还不错，隔音效果有点差', '短评打分': 5}
{'短评内容': '好，性价比高', '短评打分': 5}
{'短评内容': '位置在小巷子里，尤其在晚上不太容易找，性价比还算可以，卫生状况总的还算不错，就是个别房间的卫生间味道未处理好，有待改进。还是值得推荐的！', '短评打分': 3}
{'短评内容': '周围环境不行，宾馆里边有味道，服务态度很差，看不到服务人员的一个笑脸，房间的椅子看起来旧，床的木头也脏，床底没有贴到地，不小心会碰痛脚。这还是商务标间，性价比超低。完全没有图片拍出来的样子，复印证件还要两块钱一张。早餐没两样可吃，打死不会来住了。', '短评打分': 3}
{'短评内容': '可能我住的小单间特价房位置不好，正好旁边就是安全出口。反正总之是很吵很吵，各种声音，还有清洁阿姨聚集在客房过道里聊天。根本早上8点后就不要想睡觉了。', '短评打分': 1}
{'短评内容': '楼下就是公交站，很方便，房间比较大，就是感觉枕头有股味道、整体一般，不过有早餐可以吃、', '短评打分': 3}
{'短评内容': '第一次入住该酒店,感觉真的不错.在市中心噢.', '短评打分': 5}
{'短评内容': '周围环境差点，其他都还行，觉的还是蛮值的', '短评打分': 3}
{'短评内容': '我订的小单间，蛮大的还，房间很整洁', '短评打分': 3}
{'短评内容': '酒店条件不错，很干净，也很大，就是隔音效果不是很好。', '短评打分': 3}
{'短评内容': '大床无窗房，干净，安静，就是网线要在前台拿的，还有水西门围挡，走了好久！', '短评打分': 5}
{'短评内容': '酒店总体不错。价格也还可以。位置很好找。唯一不足的就是房间有股味道。而且被很薄', '短评打分': 5}
{'短评内容': '     不是很卫生    但还能接受', '短评打分': 3}
{'短评内容': '还是很不错的，住得挺舒服，下次有机会还是会来的.前台服务不是很好!', '短评打分': 5}
{'短评内容': '还是很不错的，住得挺舒服，下次有机会还是会来的。', '短评打分': 5}
{'短评内容': '很舒服，服务态度好，就是没有窗户，不知道睡到几点了~~~还有就是有一点闷，不过还是满方便的', '短评打分': 5}
{'短评内容': '位置不错，性价比较高，靠近水西门，交通比较便利                                              ', '短评打分': 5}
{'短评内容': '前台接待效率太低了，房间比较干净整洁，还不错，位置也可以，门口就是公交，两站路到地铁站，性价比还可以', '短评打分': 5}
{'短评内容': '挺好的，干净，简洁，蛮舒服的！', '短评打分': 3}
{'短评内容': '优点：房间蛮大的，性价比高，还是较为干净的，交通也算方便。缺点：有点吵，我们住七楼，晚上过道不开灯，抹黑走，吓死人的，不知道是因为灯坏了还是为了省电。', '短评打分': 5}
{'短评内容': '酒店还不错，设施算 跟得上。交通也比较方便，下楼就是公交站。', '短评打分': 5}
{'短评内容': '环境很不错耶，周围交通比较方便。推荐大家去它家住昂。。', '短评打分': 5}
{'短评内容': '还不错吧，就是对地形不是很熟悉找了好久才找到的，下次再去应该就不会那么麻烦了。', '短评打分': 5}
{'短评内容': '酒店干净卫生，房间内设施齐全，周边交通便利，周围环境不错。', '短评打分': 5}
{'短评内容': '酒店还不错 可以推荐入住。。就是商圈比较不好找~', '短评打分': 5}
{'短评内容': '房间较大，设施很新，交通比较方便，房价合理，适合出差旅游住宿。', '短评打分': 5}
{'短评内容': '总体来说能住 这个价格在国庆期间算还可以了 位置嘛也还说的过去 没什么惊喜的 在承受范围内', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '已入住8303房间', '短评打分': 3}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '房间这么大的装修味 下回坚决不住了 而且服务态度太差了吧 感觉好像是税务局或者工商局的下岗来这里打工的吧', '短评打分': 1}
{'短评内容': '第二次住了，服务不错，不过没窗的房间有味道，被子也有点味道，空调对着床吹～冷～第二次住了，服务不错，不过没窗的房间有味道，被子也有点味道，空调对着床吹～冷～', '短评打分': 5}
{'短评内容': '酒店真实情况与照片差不多（房间），整楼外观比较简陋些，在一个小胡同里。总体来说还可以，就是晚上保安横七竖八躺在沙发上。还以为来到工地。', '短评打分': 5}
{'短评内容': '酒店真实情况与照片差不多（房间），整楼外观比较简陋些，在一个小胡同里。总体来说还可以，就是晚上保安横七竖八躺在沙发上。还以为来到工地。\n', '短评打分': 5}
{'短评内容': '酒店服务一般 住的无窗房 可能是新装修的原因 异味很大 卫生间也有很大味 价格还算便宜了 交通不是很便利 不好打车', '短评打分': 5}
{'短评内容': '不错的酒店，满意的。卫生不错，价格也合理', '短评打分': 5}
{'短评内容': '这是第二次住了 除了有些异味 别的还好了 希望下次来没有这些味了 \n', '短评打分': 5}
