{'短评内容': '早餐还可以，炒粉干味道不错，停车场很大，免费停，房间设施比较陈旧', '短评打分': 3}
{'短评内容': '早餐还不错', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '我朋友去的说还可以', '短评打分': 5}
{'短评内容': '给朋友订的房，开始日期订错，到店才知道，携程马上给改了，不错', '短评打分': 5}
{'短评内容': '还不错，方便，吃饭后直接上楼就能休息了。', '短评打分': 4}
{'短评内容': '酒店很不错哦', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '习惯好评 来拿积分 习惯好评 习惯好评 来拿积分 习惯好评 来拿积分 来拿积分 习惯好评 来拿积分 习惯好评 来拿积分 习惯好评 来拿积分 习惯好评 来拿积分', '短评打分': 5}
{'短评内容': '商务旅行，听当地人介绍定的，还行吧', '短评打分': 5}
{'短评内容': '服务很好，房间很干净！下次还是入住比较好！', '短评打分': 5}
{'短评内容': '酒店设施有点老了，服务还行，环境一般', '短评打分': 4}
{'短评内容': '挺不错，下次还会再来。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '靠近高速出口，驾车适合住宿的地方，晚上靠近ktv一侧会有点吵。', '短评打分': 5}
{'短评内容': '外观比内部更像四星，装修简陋了点，酒店菜不错，性价比高。', '短评打分': 5}
{'短评内容': '物有所值,性价比高,超值享受,环境同比之下要好,早餐也很丰富,绝对可以推荐的酒店.', '短评打分': 5}
{'短评内容': '，商务标间不错，位置於收费口，适合自驾行', '短评打分': 3}
{'短评内容': ' 对我来说位置很好就在高速口，早餐也不错！下次去还会光临', '短评打分': 5}
