{'短评内容': '价格便宜，比较适合节省出游', '短评打分': 4}
{'短评内容': '牙刷牙膏需要更换，太次了！', '短评打分': 4}
{'短评内容': '服务态度很好，挺干净', '短评打分': 5}
{'短评内容': '很好，很干净', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 5}
{'短评内容': '早餐一般，也就能填饱肚子吧，主食，咸菜数量少，非常一般，对早餐不满意，吃完饭的地方也小，房间空间太小', '短评打分': 5}
{'短评内容': '挺好的~旁边就有个大超市，很方便！房间也干净~打扫卫生的姐姐态度超级好！有空调，电视，wifi。满意~', '短评打分': 5}
{'短评内容': '不是第一次入住了，一如既往的支持。购物吃饭都非常方便，离学校也很近，态度服务都很好。以后还会再来的。', '短评打分': 5}
{'短评内容': '环境很好，出门就是大润发，还有很多吃饭的小店，购物吃饭都非常的方便，价格也不贵。交通便利，服务不错。', '短评打分': 5}
{'短评内容': '记得还不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错，环境不错，设施齐全，有无线', '短评打分': 5}
{'短评内容': '最近青岛农业大学正门的酒店，干净整洁，服务态度好', '短评打分': 5}
{'短评内容': '服务周到，房间干净卫生。', '短评打分': 5}
{'短评内容': '酒店环境好，服务设施好，周围交通便利', '短评打分': 5}
{'短评内容': '挺好的，还会继续光顾~~', '短评打分': 5}
{'短评内容': '挺好的，还会继续光顾~~', '短评打分': 5}
{'短评内容': '挺好的，还会继续光顾~~', '短评打分': 5}
{'短评内容': '不错，服务很好，房间很干净,酒店保安服务员见到都会问好，推荐。', '短评打分': 5}
{'短评内容': '酒店很干净，服务也挺好，停车还方便，是出差旅游的首选酒店。', '短评打分': 5}
{'短评内容': '没有想象中的好，性价比不是很高，这个价格确实是有点贵！', '短评打分': 1}
{'短评内容': '隔音效果很差 走廊和隔壁有声音都会听得很清楚 其他一般', '短评打分': 5}
{'短评内容': '还行\n大学门口\n靠着大润发\n打车也很方便', '短评打分': 5}
{'短评内容': '性价比不高的酒店~\n房间配套设备不全面，结账时，听到客户要吹风机，前台人员竟然因为住户马上要退房了而抱怨烦感，瞬间降低了对如家的好感~\n如果有更好的选择，不会再选择入住了~', '短评打分': 1}
{'短评内容': '总体从环境，服务等各方面来说，还是可以的，因为这个性价比在这里。唯一不足的是洗澡用的淋浴很差，不知是水的压强不足还是卫浴器具不好，水流小的一塌糊涂。相比同级别的汉庭，如家在这个方面就令人无语了。希望酒店好好改善硬件，以争取更好的回头率。', '短评打分': 1}
{'短评内容': '隔音状况不好，隔壁闹了一整晚。整体而言，舒适性也比别的如家差一些', '短评打分': 1}
{'短评内容': '就这个价格而言。。。住农大的如家要比住正阳路的如家实惠的多。。', '短评打分': 5}
{'短评内容': '不错，靠近超市，购物比较方便。。交通便利，如家还可以。', '短评打分': 5}
{'短评内容': '咱家的房价是不是太不稳定了。。。涨了又涨~\n服务虽然很好，环境也不错，这样频繁调整房价不会丢失客户吗？', '短评打分': 1}
{'短评内容': '很好房间温馨很干净旁边有超市吃饭购物都方便', '短评打分': 5}
{'短评内容': '还行只是晚上隔音效果不好环境还不错，值得推荐', '短评打分': 5}
{'短评内容': '服务很周到，因为住的时间比较长，每次路过前台服务人员，都会被礼貌的问候~值得推荐', '短评打分': 5}
{'短评内容': '环境挺好，不吵，在一楼。洗涑池用时有点堵水 .倒不怎么影响.', '短评打分': 3}
{'短评内容': '干净，舒服，房间很大。浴室设计很合理。只是房间离电梯太远', '短评打分': 5}
{'短评内容': '还不错 就是位置有些偏 房间略小 客房人员清扫时 噪音较大', '短评打分': 5}
{'短评内容': '房间还好 服务也很不错！以后还会来的...................', '短评打分': 5}
{'短评内容': '酒店位置还行，附近出行，吃饭，购物游玩都很方便，唯一不足是酒店空间有点小！！', '短评打分': 5}
{'短评内容': '挺干净...有家的感觉\n就是位置稍微有点偏...\n', '短评打分': 5}
{'短评内容': '房间很好,有家的感觉', '短评打分': 3}
{'短评内容': '洗澡的下水太慢。其他很好。押金太高，超过住宿费1.5倍。', '短评打分': 5}
{'短评内容': '地方方便，装修也不错，总台来说酒店还可以', '短评打分': 5}
{'短评内容': '服务号，房间隔音差', '短评打分': 3}
{'短评内容': '酒店位于青岛农业大学、大润发超市旁边，交通便利，购物方便。房间很干净，服务态度好！', '短评打分': 3}
{'短评内容': '真的很不错。干净，周围环境还不错，就是隔音差点', '短评打分': 5}
{'短评内容': '还行，和锦江之星差不太多，就是地段不是太好', '短评打分': 5}
{'短评内容': '不错的地方，环境好，交通便利，旁边就有很大的超市，总之很好', '短评打分': 5}
{'短评内容': '酒店还行，卫生也挺好，就是隔音差', '短评打分': 3}
{'短评内容': '很好，很干净温馨', '短评打分': 3}
{'短评内容': '设施一流，服务超赞，真正感受到家的温馨！', '短评打分': 3}
