{'descr': '酒店位置挺好，交通方便，旁边小巷吃早饭很不错。', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '环境安静，吃饭方便', 'star': 5}
{'descr': '没要早餐的，旁边很多早点摊，能换大床，没什么人住，酒店位置好。', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '可以不错', 'star': 4}
{'descr': '环境好', 'star': 5}
{'descr': '环境很好，晚上很晚去的，服务很热情，早上退房直接把房卡退了就行了，没有乱七八糟的事情，设施设备都不错，但是洗澡间下水管道有点堵', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '酒店位置在体育中心斜对面，周围吃饭的地方不是很多，但是坐几站公交车，就是建军路了（市中心）。房间的窗户只能开一点点，通风不是很好，卫生间的下水道不是很好。希望可以疏通下。但是酒店的服务还是不错的，缺少点东西很快送过来了。', 'star': 4}
{'descr': '酒店差劲，服务员态度太差', 'star': 3}
{'descr': '找起来还是很方便的', 'star': 4}
{'descr': '还可以', 'star': 5}
{'descr': '房间小，旁边好像有机器声响到天亮，马桶按钮坏，用很大力才能按下去', 'star': 4}
{'descr': '不错，地利位置非常方便，房间很温馨，下次还来住。', 'star': 5}
{'descr': '宾馆乍一看还行。但是住进去之后发现根本没有那么大 ，浴室 容易漏水  隔音很差  半夜会有人塞名片进来 还有就是不提供早餐 ', 'star': 1}
{'descr': '宾馆乍一看还行。但是住进去之后发现根本没有那么大 ，浴室 容易漏水  隔音很差  半夜会有人塞名片进来 还有就是不提供早餐 ', 'star': 1}
{'descr': '设施还比较齐全，唯一欠缺的是电脑，一般客人出门不大喜欢随身携带的，那样太麻烦', 'star': 5}
{'descr': '设施还比较齐全，唯一欠缺的是电脑，一般客人出门不大喜欢随身携带的，那样太麻烦', 'star': 5}
{'descr': '借  宿  而  已          ', 'star': 5}
{'descr': '借  宿  而  已          ', 'star': 5}
{'descr': '房间是麻雀虽小，五脏俱全。不过只能一个人住，另外酒店有个硬伤，隔音太差，隔壁看电视我跟听广播一样。', 'star': 5}
{'descr': '房间是麻雀虽小，五脏俱全。不过只能一个人住，另外酒店有个硬伤，隔音太差，隔壁看电视我跟听广播一样。', 'star': 5}
{'descr': '第二次来住了，点名就要这家，呵呵，方便。', 'star': 5}
{'descr': '第二次来住了，点名就要这家，呵呵，方便。', 'star': 5}
{'descr': '不错，推荐。不过总是有小名片从门缝塞进来，洗脚的什么的。不言而喻。', 'star': 5}
{'descr': '不错，推荐。不过总是有小名片从门缝塞进来，洗脚的什么的。不言而喻。', 'star': 5}
{'descr': '酒店服务不错，很周到热情，随叫随到，办事效率较快，位置不错，出行蛮方便的，住宿环境还是很好的', 'star': 5}
{'descr': '酒店服务不错，很周到热情，随叫随到，办事效率较快，位置不错，出行蛮方便的，住宿环境还是很好的', 'star': 5}
{'descr': '新装修环境不错', 'star': 5}
{'descr': '新装修环境不错', 'star': 5}
{'descr': '房间打扫的很干净，卫生条件很好，环境很好，周边有很多小吃，比较方便', 'star': 5}
{'descr': '房间打扫的很干净，卫生条件很好，环境很好，周边有很多小吃，比较方便', 'star': 5}
{'descr': '酒店还是比较干净的，但配套设施仍然明显不够完善。连早点都没有供应呢。', 'star': 5}
{'descr': '酒店还是比较干净的，但配套设施仍然明显不够完善。连早点都没有供应呢。', 'star': 5}
{'descr': '酒店的位置不错，交通便利，出行蛮方便的，房间宽敞，明亮住着蛮舒服的。', 'star': 5}
{'descr': '酒店的位置不错，交通便利，出行蛮方便的，房间宽敞，明亮住着蛮舒服的。', 'star': 5}
{'descr': '都挺好的，就是隔音效果不太理想，呵呵，其他都很不错，服务很热情周到，环境和卫生都很舒心，赞', 'star': 5}
{'descr': '都挺好的，就是隔音效果不太理想，呵呵，其他都很不错，服务很热情周到，环境和卫生都很舒心，赞', 'star': 5}
{'descr': '硬件设施很齐全，服务到位，住着蛮舒服的。', 'star': 5}
{'descr': '硬件设施很齐全，服务到位，住着蛮舒服的。', 'star': 5}
{'descr': '酒店服务蛮好的，服务员周到热情，住宿环境还是不错的', 'star': 5}
{'descr': '酒店服务蛮好的，服务员周到热情，住宿环境还是不错的', 'star': 5}
{'descr': '很不错，在市中心，购物吃饭都很方便，临近有家乐福，苏果和沃尔玛', 'star': 5}
{'descr': '很不错，在市中心，购物吃饭都很方便，临近有家乐福，苏果和沃尔玛', 'star': 5}
