{'descr': '位置不错哦', 'star': 5}
{'descr': '位置不错哦', 'star': 5}
{'descr': '位置不错哦', 'star': 5}
{'descr': '位置不错哦', 'star': 5}
{'descr': '连最基本的便宜茶叶也没有，建议改进', 'star': 4}
{'descr': '淋浴间太差，空调也是', 'star': 1}
{'descr': '还不错的房间', 'star': 5}
{'descr': '汉庭在连锁里面是不错的', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '在南京火车站附近找到这个价位，并且环境位置什么的都不错的酒店，感觉性价比挺高，如果下次有机会再去南京，还会去入住。', 'star': 5}
{'descr': '可以可以', 'star': 5}
{'descr': '酒店费用过高，位置不好，购物不方便', 'star': 3}
{'descr': '酒店是出火车站被出租车司机带过去的，应该是有回扣，去南京玩的，住的还行，但是离玩的地方好远，住了一宿就走了', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '干净卫生，房间较小', 'star': 5}
{'descr': '各方面都是一般般 一般般', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '非常不满意，，我本人就是银卡会员，可是因为在网上订的房，他竟然说不享受会员服务，让我12点就退房。。那我请问还办会员卡干什么', 'star': 1}
{'descr': '一般般', 'star': 4}
{'descr': '不错，，，挺好的，位置不错。服务很好。', 'star': 5}
{'descr': '还行，就是房间小了点', 'star': 5}
{'descr': '，还不错，房间挺干净', 'star': 3}
{'descr': '房间挺大的，前台服务特别好，地理位置有点偏僻，但是还是推荐！', 'star': 5}
{'descr': '交通很便利 周围环境不错 住的11层 蛮高的 天气好的话 能看到大部分的南京市区呢 ', 'star': 5}
{'descr': '房间挺干净，管理挺正规，订的高级大床房，房间挺大的，就是灯光有点暗', 'star': 5}
{'descr': '不错\n酒店还可以\n下次还会选择\n希望在硬件上再加强一下', 'star': 5}
{'descr': '环境服务都挺不错的，特价房的房间实在是太小了。就是隔音效果太差了。', 'star': 5}
{'descr': '周边环境较差！但房价比较低！！！！！！！！！！！！！', 'star': 5}
{'descr': '房间很干净，就是太小了，我住的高级大床房还很小，，，总体感觉还可以。', 'star': 3}
{'descr': '很好，离汽车站比较近。下次再去。，，，，', 'star': 5}
{'descr': '环境不错！这次入住总体感觉还是很好的！就是隔音效果有点差！', 'star': 5}
{'descr': '帮别人定的 听说挺干净的 环境很好 就是有点小了', 'star': 5}
{'descr': '位置很好啊，出行很方便。。。。价格也挺好。。。。。。', 'star': 5}
{'descr': '房间是还行 就是太小了 而且空调不怎么好 温度打的很高 还会觉得冷', 'star': 1}
{'descr': '住的蛮不错物有所值', 'star': 3}
{'descr': '房间还不错，床比较大，希望以后越来越好，不错', 'star': 5}
{'descr': '\r\n离火车站、汽车站挺近的，乘公交也就几站的路，出行挺方便的;就是房间靠马路的一侧稍微能听到车子的声音，！', 'star': 3}
{'descr': '大床房很不错，干净，，', 'star': 3}
{'descr': '酒店很干净，也比较好找，还有免费饮料，味道还不错！哈哈', 'star': 5}
{'descr': '恩，环境还不错。床挺舒服的，住的15楼，感觉挺不错的~就是房间里面的灯光没有那么亮，里面还有宝洁产品的免费试用呢~真不错。恩，附近就有公交车站，还是挺方便的', 'star': 5}
{'descr': '好，很好，下次去还住。蛮实惠的。交通很方便，也很干净，总之还行', 'star': 5}
{'descr': '＋很干净！', 'star': 3}
{'descr': '酒店还可以  干净宽敞  但配置差点', 'star': 3}
{'descr': '交通方便，酒店环境非常好，下次再来。交通方便，酒店环境非常好，下次再来。交通方便，酒店环境非常好，下次再来。', 'star': 5}
{'descr': '位于钟阜路和建宁路交界的地方，交通方便，设施齐全，新开的店，很不错。入住的百元特惠房，很实惠。唯一的缺点可能就算不知道用的什么牌子的空调，声音比较大', 'star': 5}
{'descr': ' 汉庭真的挺好 超级满意！', 'star': 3}
{'descr': '不错，很干净，住着很舒服，一切都满意。（靠，为什么要20字字字字）', 'star': 5}
{'descr': '新开的店，但是没有什么装修的味道，酒店不错，就是生活有些不太方便，周边没有水果店，但是写对过有个大的苏果社区店。出门还可以，500米以内就有公交站台。', 'star': 5}
