{'短评内容': '很简单舒服', '短评打分': 5}
{'短评内容': '楼梯好小    卫生巾设施很差   图片看着好看   但是确实比其他的大   总体还行', '短评打分': 4}
{'短评内容': '还可以，老板挺热心挺好的。', '短评打分': 4}
{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '差评！除了周边环境勉强，但是晚上吆喝生太响了有点影响，环境一塌糊涂，床单上都是没清理的头发，设施也不好，卫生间超小', '短评打分': 2}
{'短评内容': '干净卫生  服务态度很好', '短评打分': 5}
{'短评内容': '位置很热闹 估计晚上睡不好 楼下就是门店 很窄的门 很陡的楼梯  挤到3楼 我这个什么屋号称13平米吧 我看最多8个平方 1.5米床两边要侧着走 洗脸池马桶淋浴总共不到2平米  两个年轻人凑合下可以 带孩子的好挤', '短评打分': 3}
{'短评内容': 'Nice place and food alley is just below the room. Very convenient to move around. ', '短评打分': 4}
{'短评内容': '一般吧，太挤了', '短评打分': 3}
{'短评内容': '房间有点小', '短评打分': 4}
{'短评内容': '老板也很好呀，就在曾厝垵里出门就是小吃店，因为民宿关系房间内有些旧，这个没关系啦~我怨念就一点( ´◔‸◔`)热水不是24小时的，早上退房的时候老板还没起床_(:з」∠)_就让我把房卡放在前台，信任真是棒棒的一件事', '短评打分': 5}
{'短评内容': '不错，地势很好，老板很热情。棒棒哒', '短评打分': 5}
{'短评内容': '住的黑色幽默 房间实在太差劲了 没见过这么差的环境 不过有位美女的态度不错 地理位置挺好', '短评打分': 3}
{'短评内容': '就在龙头路上，下船后近，吃的方便。酒店门是坏的，卫生间跟房间没有隔断，需要改进。', '短评打分': 4}
{'短评内容': '还可以 还可以', '短评打分': 4}
{'短评内容': '很好很好很好很好很好', '短评打分': 3}
{'短评内容': '地理位置很好，楼下就是小吃街，因为住得高所以不觉得吵，房间很有特色，很宽敞，就是澡房小了点，水不够大', '短评打分': 5}
{'短评内容': '性价比蛮高的 因为是5.1 所以加价100 环境很好 有窗子 被子干净 唯一不足是临街 而且就在海鲜一条街上 所以晚上会很吵 早上也很早就开工 影响睡眠 其他都还好', '短评打分': 4}
{'短评内容': '不错，干干净净的，很温馨。', '短评打分': 5}
{'短评内容': '酒店非常不错，地理位置好，走几步就能买到岛上出名滴小吃。离港口也很近，虽然是在闹市区，但也不会觉得吵，赞一个', '短评打分': 5}
{'短评内容': '交通很方便，楼下就是小吃街。不足的是房间就在前台那里，隔音不太好。', '短评打分': 5}
{'短评内容': '旅店很温馨，虽然第一次有点难找，但是找到后就觉得地段非常方便，出门就是吃和逛的街；因为鼓浪屿就那么点大，所以小小的房间一应俱全，价钱也不贵，满意。', '短评打分': 5}
{'短评内容': '房间很干净，采光很好，地段很方便，入住很开心。', '短评打分': 3}
{'短评内容': '住的是套间，在旅店的四楼，门面不大，但是装修有一番格调，门口就是龙头路小吃街，绝对热闹的地方，老板人不错，推荐', '短评打分': 3}
{'短评内容': '老板人很好！酒店附近很多小吃，喜欢！', '短评打分': 3}
{'短评内容': '我现在就住在这家旅馆里，虽然是处在中心地段，但是一点儿也不觉得吵，房间的布置给人的感觉很温馨，住的也很舒服。下次来，我一定还会住在这里。。。', '短评打分': 5}
{'短评内容': '别提了 太小太小了 后来换了个豪华套房 没感觉到一点豪华 简直是失望至极', '短评打分': 3}
{'短评内容': '就在龙头路小吃一条街，吃跟出去玩都很方便，不过不太容易找到喔。单人房有点小，不过还是五脏俱全的。', '短评打分': 5}
{'短评内容': '房间很好！和图片相似程度90%！环境不错！很是喜欢店家的木质楼梯，这次住的是302大床房。龙头路头头尾尾跑了3次都看不到~！因为在那里，是不可以根据“门牌号”找地方得说！！〒_〒旅店就在“吖呆奶茶”店附近…门面小小的，只有一个小灯牌写着“乐筑旅馆”，掌柜说门店牌子正在定做中~所以走过路过真的很容易错过！尽管如此，还是很推荐滴！因为真的还不错！', '短评打分': 5}
{'短评内容': '地段不错，虽然在热闹的龙头路上，却不觉得吵闹，就是房间有点小但挺温馨也干净，有免费的无限网络，客服小姐很热情。', '短评打分': 5}
