{'短评内容': '宾馆太老了', '短评打分': 3}
{'短评内容': '总体来说还不错！', '短评打分': 5}
{'短评内容': '地铁4号线傅家坡旁边，位置不错', '短评打分': 5}
{'短评内容': '地铁方便，干净卫生，第二次入住了，非常好。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '一般般吧，7天还可以。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般房间好小其他的还好', '短评打分': 5}
{'短评内容': '不错咯胡我最胡我就考虑', '短评打分': 5}
{'短评内容': '还不错，服务很好', '短评打分': 5}
{'短评内容': '我去！！！！京东竟然能订酒店，这真的是要贴心啊', '短评打分': 5}
{'短评内容': '额ui刚吃好好不好i呵呵', '短评打分': 5}
{'短评内容': '不错，京东提供的酒店服务总体还是很好。', '短评打分': 5}
{'短评内容': '蛮不错的。住一晚而言的话。', '短评打分': 5}
{'短评内容': '还不错吧 就是小卡片有点多而已', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '还不错哦。。。。。。。', '短评打分': 5}
{'短评内容': '好好好好好好，，，，好好好好好，好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '哦', '短评打分': 3}
{'短评内容': '热水流量很小 房间有酒味', '短评打分': 3}
{'短评内容': '还不错，价格实惠！', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 5}
{'短评内容': '房卡有点问题，经常断电，睡得一般，还感冒了，一般一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还行 就是有点吵晚上', '短评打分': 4}
{'短评内容': '嗯嗯', '短评打分': 5}
{'短评内容': '不隔音，太吵。购物很方便', '短评打分': 4}
