{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '无早，能加，适合，', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '配备电脑很好', '短评打分': 4}
{'短评内容': '有早餐 停车方便。服务态度很好。位置也挺好。', '短评打分': 5}
{'短评内容': '真的很喜欢这里，干净，住着舒心。', '短评打分': 5}
{'短评内容': '还可以用白条，嘿嘿，挺实惠', '短评打分': 5}
{'短评内容': '这项服务非常好，京东会员可以直接通过京东预定，不需要在去注册其他网站了，很方便', '短评打分': 5}
{'短评内容': '挺好挺舒服', '短评打分': 5}
{'短评内容': '会员卡作用不大，直接在携程上预定更优惠', '短评打分': 5}
{'短评内容': '经济实惠服务好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '经常住，价格合理！', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '网咖型宾馆，我喜欢。但服务1有待加强。', '短评打分': 4}
{'短评内容': '还可以  我和老公比较满意 就是隔音不是特别好 希望改进', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店设施齐全，好评！不过只有一台电脑，与描述不符，', '短评打分': 3}
