{'短评内容': '常住，不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '卫生打扫干净', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 5}
{'短评内容': '空调和排气扇损坏无法使用，查询漏电', '短评打分': 3}
{'短评内容': '房间设施比较差，电源漏电，空调和排气扇都损坏了', '短评打分': 3}
{'短评内容': '就是楼下有KTV，晚上比较闹，其他还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，还可以', '短评打分': 4}
{'短评内容': '房间装修很老旧', '短评打分': 4}
{'短评内容': '房间挺不错的，在上海这个价格能住这样的宾馆很不错，而且前台的服务态度很好，昨天中午的时候手机没电了，然后数据线特殊酒店的不能用，前台的就把自己的拿了出来给我用，这样的态度我真的是第一次见', '短评打分': 5}
{'短评内容': '很干净也很好找，附近很多吃的，就是晚上楼下唱歌的太吵了', '短评打分': 5}
{'短评内容': '空间比较大，显得有点清冷', '短评打分': 5}
{'短评内容': '因为工作的关系，每周过来住一次，不错的。主要是地理位置比较方便啦！相信还会继续住。就是希望客房打扫能改进。', '短评打分': 5}
{'短评内容': '酒店很方便', '短评打分': 5}
{'短评内容': '酒店卫生很好很干净 酒店工作人员态度也是满分', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '家具是新的，房间也很宽敞，总的感觉干净、舒适，虽然走廊里有淡淡的装修的味道，房间里没有。缺点是隔音差点，马路上的汽车声音很吵，占噪音的至少80%，选朝东的房间应该安静点，楼下有KALAOK的声音持续到天亮，占10%。早餐太简单了，不过门口有KFC，24小时营业，也算多一种选择吧。', '短评打分': 5}
{'短评内容': '这家汉庭快捷酒店地理位置不错，边上有商场和肯德基24小时餐厅，离车站也很近，并且客房设施齐全，干净整洁，还有2出网络端口。很满意，', '短评打分': 5}
{'短评内容': '挺不错的，就是房间有点空旷，可以考虑放2把沙发椅和一张小茶几。', '短评打分': 5}
{'短评内容': '住了几天整体满意，就是楼下有个K歌稍微有点吵，我住的是726还算安静吧，偶尔会听到一点高歌', '短评打分': 5}
{'短评内容': '刚开始定了这家还有点担心，入住后非常满意。', '短评打分': 5}
{'短评内容': '因为新的原因吧，酒店走廊地毯味道比较难闻，但房间地板是木地板，很舒服，整体比较干净，床也真够大，服务态度挺不错。出差在这里十几天了，一直住这里，性价比高。', '短评打分': 5}
{'短评内容': '房间很大，很干净，还有免费咖啡等饮料，免费电脑上网，传真复印等，特方便。很好', '短评打分': 5}
{'短评内容': '房间比较大、很干净、服务态度也比较好、最主要的是、说是大床而且真的很大、', '短评打分': 5}
