{'短评内容': '我是一个向来不喜欢评价的人，但是遇到令自己极其不满意的时候我就会给差评! 真的是气到我了! 我不是厦门人，来这边也是参加考试，正是因为如此才更气! 房间隔音效果超级差!可能没有隔音吧，这个暂且算了，我住在3楼，饭店一楼是KTV! 没错.是KTV! 而且是巨吵的那种，我在3楼自己的房间里还能听到，我本来打算早点休息从10点半开始睡的，因为我第二天要考试，没有想到KTV的声音一直在! 一开始我还带了耳', '短评打分': 2}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '真的非常好啊，高级高级五星⭐', '短评打分': 5}
{'短评内容': '本意是图它价格不贵，出路方便。对于其它不抱太大希望，没想到入住后，房间很新，卫浴间超干净，以后如果我还来厦门，也订这家酒店。', '短评打分': 5}
{'短评内容': '非常好，很干净', '短评打分': 5}
{'短评内容': '还可以，服务不错，房间干净', '短评打分': 5}
{'短评内容': '酒店不大，但是挺好的。', '短评打分': 4}
{'短评内容': '下次还会来的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '门卡给我尽然去不了电，还要在跑下去一次', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错的店。首先说说服务，前台服务人员超好，订房时接电话的美女人和声音一样甜美，人超好，接机的师傅人也超好，帮忙介绍了好多厦门的情况，进店后帮忙开房的美女人也超好，不知道的路线，问问她，还很细心的写了字条；很为客人考虑，续订房间还帮忙计划最实惠的购买方式。然后是地理位置，老城区说，不过去哪里都很方便。强烈推荐。', '短评打分': 5}
{'短评内容': '酒店的环境很好卫生也不错。设施很齐全哈哈', '短评打分': 5}
{'短评内容': '不错还不错的酒店哈哈', '短评打分': 5}
{'短评内容': '挺优惠的携程可以打五折优惠耶', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
