{'短评内容': '环境很好，服务专业性有待提高', '短评打分': 5}
{'短评内容': '不错  客气也好  可惜没时间体验五公里的健身山道', '短评打分': 5}
{'短评内容': '景区里环境很好，我房间还有一超级大阳台', '短评打分': 5}
{'短评内容': '性价比奇高，服务好', '短评打分': 5}
{'短评内容': '酒店服务非常棒', '短评打分': 5}
{'短评内容': '卫生间漏水严重！装修工程豆腐渣！其他还算好', '短评打分': 4}
{'短评内容': '挺好！还好选择。', '短评打分': 5}
{'短评内容': '周围可以跑步，环境优美，满意满意', '短评打分': 5}
{'短评内容': '还不错，价格合理', '短评打分': 4}
{'短评内容': '环境可以。', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '还不错！就是电脑不给力！早餐没吃，不知怎么样！\n还不错！就是电脑不给力！早餐没吃，不知怎么样！\n还不错！就是电脑不给力！早餐没吃，不知怎么样！\n还不错！就是电脑不给力！早餐没吃，不知怎么样！', '短评打分': 5}
{'短评内容': '环境感觉越来越舒服了！山景美、空气优啊！\n但贵宾馆送餐服务有二大 问题望改善：1，菜肴性价比不高，价格偏高。二，在较高价位的情况下还收取送餐服务费，很不爽！', '短评打分': 5}
{'短评内容': '酒店太过旧了，早餐单调，但环境一流！尤其是山上的景色和休闲场所，让人流连忘返。', '短评打分': 5}
{'短评内容': '劳动节假期入住，发现客房大部分空置，前台唯一的客服，态度差。餐饮差，点什么没什么。说是大多接待单位会议团队，所以节假日没生意，菜品极少。\n不适合旅游入住。', '短评打分': 1}
{'短评内容': '五一节假日入住，带了5个小孩子。因为景区离家近，所以三个孩子的家长都没来。希望客服能把房间安排得近些。但4月30日中午接待的客服给了C222、C203、C206三个房间。上去一看，房间的距离极远，从走廊的一端跑到尽头还需转角。而且中间的都是空房，无人入住。\n重又下来与客服交涉。当班的客服仅一人，态度冷漠、怠慢、令人气愤。如果不是孩子们兴致高，不想扫他们的兴。我当时就想退房走人。后经强烈要求，该客服', '短评打分': 1}
{'短评内容': '环境优美空气清晰，酒店的硬软件设施及各方面服务都不错。', '短评打分': 5}
{'短评内容': '这酒店环境很好，但是房间内设施有点陈旧，空气特别好！', '短评打分': 5}
{'短评内容': '坏境真的不错，就是设施差点！天棚好几处开裂和发霉~~', '短评打分': 5}
{'短评内容': '酒店周边环境很好，在山上的酒店，空气很新鲜，餐饮服务很好，饭菜口味很好，房间的硬件设施很齐全，空间很大，而且还可以上网，比较方便，总体感觉住宿环境很好', '短评打分': 5}
{'短评内容': '酒店的设施还可以，有电脑、电视、空调，看着都挺新的，餐厅的饭菜很有温州特色~', '短评打分': 5}
{'短评内容': '酒店比较适合自驾游的客人，或者野餐聚餐的客人。不太适合商务。', '短评打分': 5}
{'短评内容': '位于山上的酒店，出行交通可能不是很方便，但是环境真的很不错，有机会可以尝试入住。', '短评打分': 5}
{'短评内容': '酒店的环境很好，位于上山的酒店。周围环境很好，空气很新鲜。', '短评打分': 5}
{'短评内容': '房间很宽敞设施也很齐全。有些配置都很新，包括电器都很不错。', '短评打分': 5}
{'短评内容': '酒店是建在景山公园上的，景色优美，空气相当不错，就是交通有点不太方便，其他OK。', '短评打分': 5}
{'短评内容': '酒店的设施还可以，有电脑、电视、空调，看着都挺新的，餐厅的饭菜很有温州特色~', '短评打分': 5}
{'短评内容': '环境挺好的，在山上，空气新鲜，比较适合聚餐，房间也宽敞，整体感觉不错。', '短评打分': 5}
{'短评内容': '对这家店印象还是比较深的，地理位置比较独特，配置硬件设施也都很达标。', '短评打分': 5}
