{'短评内容': '感觉不错，下次还去。', '短评打分': 5}
{'短评内容': '房间设计成了双层，楼下有一张小床，楼上是一张大床，比较干净的，早餐一般吧，性价比还好的，离玩的地方很近，打车就10块钱。', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '多次入住该酒店，出行方便服务态度好。', '短评打分': 5}
{'短评内容': '早餐不错，性价比高，离地铁站人民路站步行10分钟左右，房间大，卫生干净，周边餐饮娱乐消费一应俱全，可以满足基本需求', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '过12就要退房，迟一点就要付钱，好无耻', '短评打分': 1}
{'短评内容': '服务不错。。。', '短评打分': 1}
{'短评内容': '房间还不错，服务也可以。唯一不满是晚上飞机起落声要到24点。', '短评打分': 5}
{'短评内容': '交通方便，值得入住', '短评打分': 5}
{'短评内容': '你就知道到最后才明白为什么有些人在一次机会，是什么样子……这个数字显示在手机上不知道自己要的就是这个了……………………', '短评打分': 3}
{'短评内容': '交通方便，早餐可以', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '交通方便，早点还不错', '短评打分': 5}
{'短评内容': '卫生环境什么还是可以的', '短评打分': 5}
{'短评内容': '房间隔音效果太差，床响声太大，有些让人尴尬……', '短评打分': 4}
{'短评内容': '已多次入住，服务态度很好，升级为跃层房。周边吃饭购物都非常方便。WiFi信号好，有地下停车场。早餐品种丰富，下次还会入住。', '短评打分': 5}
{'短评内容': '房间送的越层房很好  周边交通方便', '短评打分': 4}
{'短评内容': '免费升级为跃层房间，周边环境出行方便，交通发达。', '短评打分': 5}
{'短评内容': '性价比高！没有之一', '短评打分': 5}
