{'短评内容': '毛巾真的不行，脱毛发黄不敢用', '短评打分': 3}
{'短评内容': '酒店的地理位置比较好  价格也便宜  下次来了我想我还会选择这里入住的', '短评打分': 5}
{'短评内容': '价位有点偏高，房间设施陈旧，感觉很不好，唯一的优点就是离火车站比较近。', '短评打分': 1}
{'短评内容': '距离获火车站特近，方便极了', '短评打分': 3}
{'短评内容': '啥也不说了！就是离火车站近！还算安静！ \n毛巾什么都掉毛了，变黄了！', '短评打分': 5}
{'短评内容': '性价比高，位置好，酒店虽然有点旧，但是还可以', '短评打分': 5}
{'短评内容': '就在北京站旁边，赶车的话地理位置不错。房间设施一般，招待所级别的。但是餐饮不错，实惠。', '短评打分': 5}
{'短评内容': '距离北京站近，安静，条件好，不贵。可以步行去天安门、王府井等，值得入住', '短评打分': 5}
{'短评内容': '在火车站对面，交通方便，出门走两三分钟就是地铁，唯一不爽的就是无线网络不好，速度爆慢，基本上是没法上网的', '短评打分': 5}
{'短评内容': '其它都还好，就是只有无线宽带，而且信号极差。基本不能正常上网。', '短评打分': 1}
{'短评内容': '还是蛮差的，可能靠近火车站吧，没住过比这更差的的了', '短评打分': 1}
{'短评内容': '交通便利，位置巨佳。离东单很近。但房间设施比较陈旧，性价比尚可，服务不错！', '短评打分': 5}
{'短评内容': '房间基本设施都有，还有无线网络，性价比还不错。', '短评打分': 5}
{'短评内容': '位置很好，火车站，闹中取静，离地铁近，公交方便，四通八达。周边吃饭也方便。', '短评打分': 5}
{'短评内容': '除了位置方便，其他真的没有什么可以推荐的...\n这个价格和这个环境.....\n不说了........', '短评打分': 1}
{'短评内容': '环境挺安静的，里北京站很近，就是设施有点老了，年轻人不太喜欢。', '短评打分': 3}
{'短评内容': '酒店离公司很近，位置也还可以，就是打车不是很方便。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置好，出行方便，这个价位在北京住就很好了！', '短评打分': 5}
{'短评内容': '位置不错，，，，，离公司也近。。。。。。。。', '短评打分': 5}
{'短评内容': '这家酒店离我的住所比较近，所以会推荐给朋友们住。酒店的设施太陈旧需要更新。', '短评打分': 5}
{'短评内容': '走出车站，抬眼就看到了已预定好的华美伦酒店。进入酒店，温馨雅致。房间干净舒适，温暖如春。在北京寒冷的冬天里，心里暖暖的。。。', '短评打分': 5}
{'短评内容': '酒店住的位置好，价格偏贵设施可以，办事比较方便。下次还会住', '短评打分': 5}
{'短评内容': '离要去的公司很近，位置还行。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离车站很近，卫生挺好，有多年历史的宾馆。', '短评打分': 5}
{'短评内容': '位置不错，，，，，离我要去的公司也很近，，，，', '短评打分': 5}
{'短评内容': '上次已经住过了 离火车站近 楼下的菜也还行', '短评打分': 5}
{'短评内容': '1、前台服务态度差；2、448价格的房间居然没有矿泉水；3、房间设施很差，性价比极低，比如家房间略大，但是地毯给人感觉很旧。4、建议不要选择。', '短评打分': 1}
{'短评内容': '北京火车站、地铁近在咫尺，交通十分便利，闹中取静，装修稍显旧。', '短评打分': 5}
{'短评内容': '主要是硬件太差了，楼道过道像招待所似的！这个价位不值得推荐', '短评打分': 1}
{'短评内容': '在北京还算说得过去，就是价格偏高性价比实在是一般，没办法就是为了同仁的方便。', '短评打分': 5}
{'短评内容': '房间还可以，周边太杂乱了，服务也还可以，这种环境价钱高了点。', '短评打分': 1}
{'短评内容': '在北京，只能如此了。还行，下次还入住。还舒服的。', '短评打分': 5}
{'短评内容': '酒店环境很差，晚上8点到达酒店大堂竟然没人，后来保安看到我才叫的服务员出来开房间。早上8点多我还在睡觉服务员竟然拿房卡开我的房门，多亏我里边锁着那，说打扫房间，客人没走那大早上的也不敲门就直接开，太过分了。吉利不推荐。', '短评打分': 1}
{'短评内容': '位置不错，但早点45一位还是有点贵，可以住。', '短评打分': 5}
{'短评内容': '从酒店的地理位置来说，靠近火车站附近，离地铁口也不远，方便出行；但因为酒店所在邮通街车辆不能停留，自己打车有点难，可以让酒店门卫会负责帮忙叫车。\n从酒店居住环境来说，定的是388元标准间，房间十几平，相对比较小，酒店设施有点陈旧，房间内插座太少，充电不方便，但还算干净整洁，晚上睡觉也比较安静。\n从酒店餐食来说，自助早餐45元，菜色比较少，但能吃个饱，感觉一般。晚餐如果点菜的话，性价比不高，菜的味道', '短评打分': 5}
{'短评内容': '环境还好', '短评打分': 3}
{'短评内容': '酒店位置离车站很近，很好', '短评打分': 3}
{'短评内容': '酒店离火车站很近，就在马路对面，只是房间设施略显陈旧', '短评打分': 3}
{'短评内容': '酒店设施太过陈旧了，无非是离火车站近点，往酒店南边的巷子里走走，有几家快捷酒店住宿环境都要比它好！！', '短评打分': 1}
{'短评内容': '干净，卫生，服务不错，地理位置非常好，我很喜欢，下次还去。', '短评打分': 5}
{'短评内容': '酒店还不错，位置比较方便。楼层里面有wifi，很好！热水不错，每天楼层保洁打扫房间的服务员很认真，还把我们乱扔的衣服都给叠了，表扬一个。嘿嘿！\n酒店设施是相对旧了点，不过还算比较干净！\n不错了！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '服务不错，卫生也还可以，最主要位置好，离火车站很近。', '短评打分': 5}
{'短评内容': '交通便捷，房间略小，总体还是不错的', '短评打分': 3}
{'短评内容': '位置不错，挺方便', '短评打分': 3}
{'短评内容': '第二次住了挺不错', '短评打分': 3}
{'短评内容': '不错，旅馆的位置不错，离北京站不远，就是有点老，显得有点沧桑感！！！', '短评打分': 5}
{'短评内容': '位置很不错，但配置实在有点陈旧了，性价比一般般', '短评打分': 1}
{'短评内容': '紧挨北京站，靠近王府井，地理位置不错，也挺安静，只是有些旧了，房间也不大', '短评打分': 5}
