{'短评内容': '还不错，就是空调遥控器没找到，环境很好', '短评打分': 5}
{'短评内容': '酒店设备比较旧！', '短评打分': 4}
{'短评内容': '环境很好，离旅游出发点很近。价格亲民，148元。服务员工作服是海魂衫，很有海军的感觉。旋转门理放着海螺让联想到大海。', '短评打分': 4}
{'短评内容': '其他都还好，就是前台态度有待提高，我打电话说无线网坏了，连不上，前台回复:那她也没办法，呵呵了', '短评打分': 4}
{'短评内容': '除了登特别黑以外，其它一切都好。就跟介绍上的一样', '短评打分': 5}
{'短评内容': '太一般了', '短评打分': 3}
{'短评内容': '很好，比较干净，海军南海舰队的，军管', '短评打分': 5}
{'短评内容': '酒店环境很好，也很安静。价格么么达', '短评打分': 5}
{'短评内容': '感觉还可以了，不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店算是个老点的总的来说一般', '短评打分': 3}
{'短评内容': '整体不错，位置也很好找，关键价格不贵，周围公交站、小吃店、超市都比较齐全，500米内还有个大型购物广场', '短评打分': 5}
{'短评内容': '房间太老太差', '短评打分': 3}
{'短评内容': '房间的牙刷等等都是有偿使用，退房时太慢……', '短评打分': 2}
{'短评内容': '特别特别陈旧，洗刷用品都要钱，只是因为离火车站比较近，不推荐', '短评打分': 3}
{'短评内容': '很不错的一间宾馆，很不错。。。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '下次还会去住', '短评打分': 4}
{'短评内容': '不错的酒店。部队的宾馆，好像新装修过，较显档次，门前停满了车，生意火爆。房间不大，但很干净很舒适很温馨，中央空调尤其给力。晚上没有卡片和电话。早上的自助餐也不错。距离火车站步行约10-15分钟，四周公交也很方便。对服务没有深刻的感受，凌晨2点多起来退房，很快就办好了。性价比较高，值得推荐的饭店。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '有点旧\n\n性价比不高\n\n也就2个晚上， 住一下没关系\n', '短评打分': 1}
{'短评内容': '服务还不错,餐厅早餐还要更丰富些,房子稍显成旧', '短评打分': 3}
{'短评内容': '位置很好，周边交通挺便利的，服务也还可以，感觉挺热情的。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，装修的一般，但是很干净，感觉很是不错的。', '短评打分': 5}
{'短评内容': '酒店还不错，干净安静，服务也很好，住的很满意。', '短评打分': 5}
{'短评内容': '酒店还不错，价格挺合适，服务挺周到，房间也蛮干净的。', '短评打分': 5}
{'短评内容': '房间比较大，通风很好，隔音也不错，晚上休息的很好。', '短评打分': 5}
{'短评内容': '房间打扫的比较干净，设施方面一般了，提供上网，这点还不错。', '短评打分': 5}
{'短评内容': '位置还不错，周边交通比较便利。内部环境一般。', '短评打分': 5}
{'短评内容': '房间通风效果挺好的，卫生也打扫的挺感觉，感觉挺干净挺舒适的。餐厅的饭菜味道也不错。整体感觉还不错。', '短评打分': 5}
