{'短评内容': '性价比高，卫生条件好，酒店在路边，停车路边上放就可以', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间挺大，也很干净，唯一的缺点就是不能刷卡，需要什么可以去吧台自己要', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住', '短评打分': 5}
{'短评内容': '得得得得得得得得得', '短评打分': 5}
{'短评内容': '得得得得得得得得得', '短评打分': 5}
{'短评内容': '不错。也好找～挺喜欢的', '短评打分': 5}
{'短评内容': '123456789', '短评打分': 5}
{'短评内容': '里面有垃圾浴巾很不卫生', '短评打分': 5}
{'短评内容': '123456789', '短评打分': 5}
{'短评内容': '挺好的，挺美的，美几很，反正就是美几很', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境挺好，前台服务态度也很好，', '短评打分': 5}
{'短评内容': '价格公道，环境优雅，值得一住，推荐大家去', '短评打分': 3}
{'短评内容': '房间比较干净，服务周到，价格便宜。', '短评打分': 4}
{'短评内容': '酒店很干净，设施齐全！交通便利，网上预约价格很划算！', '短评打分': 5}
{'短评内容': '还不错，挺喜欢的', '短评打分': 5}
{'短评内容': '服务一般，凑合住可以', '短评打分': 5}
{'短评内容': '附近吃饭倒是非常方便，但是房间很一般。第一是吵，窗户挨着小区，一楼打麻将说话听的清清楚楚。第二是床垫有点硌人，睡起来不舒服。设施设备都比较陈旧，这个价格来说性价比真心不高。', '短评打分': 3}
{'短评内容': '房间还可以，就是网上订的不带早餐', '短评打分': 3}
{'短评内容': '还好还好还好好好好好', '短评打分': 3}
{'短评内容': '还可以，还可以，还可以', '短评打分': 3}
{'短评内容': '很好的酒店，79元值得拥有', '短评打分': 3}
{'短评内容': '酒店真的很烂，下午进来空调不行！问服务员，他们说没办法！忍了，第二天早上居然没电，这能住吗', '短评打分': 3}
{'短评内容': '酒店位置不错。环境也ok.', '短评打分': 3}
{'短评内容': '还是真不错，干净卫生，交通便利，就是吵了点。', '短评打分': 3}
{'短评内容': '还可以吧，就是在路边，。晚上睡觉挺吵得。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '床还是比较舒服的，卫生间也还不错，不过是电热水器。房间面积稍小。酒店整体比较干净整洁。不能刷信用卡。没有早餐。', '短评打分': 5}
{'短评内容': '客房一般', '短评打分': 3}
