{'短评内容': '差，刚到酒店还以为关门了。。味道大', '短评打分': 2}
{'短评内容': '很不错，经常住。', '短评打分': 5}
{'短评内容': '地处闹市，旁边就有吃饭的地方，很方便，卫生条件一般', '短评打分': 3}
{'短评内容': '房间符合预期，地理位置很好，旁边有中百仓储，购物方便，吃处有枫林小镇。标间，干净整洁，维一缺憾是没有烧热水的壶。', '短评打分': 5}
{'短评内容': '离车站近。旁边就是中百广场购物吃饭乘车都方便', '短评打分': 5}
{'短评内容': '很不错 住的很舒服 下次还会在来 房间零食有点少了又贵了点  建议把价钱往下压一点  在把品种增加一些就好了 ', '短评打分': 5}
{'短评内容': '：该酒店性价比较好，值得再来！', '短评打分': 3}
{'短评内容': '酒店环境不错，酒店很讲信用，保证住房，服务态度也很好，有机会还会住这家酒店', '短评打分': 5}
{'短评内容': '酒店环境一般，服务质量很差，处理小问题我等了一个半小时，是我住过最差的，再也不会住了。', '短评打分': 1}
{'短评内容': '总体不错，前台服务态度也比较好，房间在后面的楼上，够大，就是有点异味。', '短评打分': 5}
{'短评内容': '经济实惠，酒店人员态度不错，服务比较周到，有机会还是会选择这家酒店入住的！', '短评打分': 5}
{'短评内容': '环境不错，经济实惠。\n当天上午就可以入住，不必等到12点之后或者更晚。\n有机会的话还是会选择这家酒店入住的！', '短评打分': 5}
