{'短评内容': '还不错，经济实惠', '短评打分': 4}
{'短评内容': '1.只有一次性纸杯，不卫生2.洗手间门把手损坏3.酒店周边交通不便最重要的是，酒店工作人员态度不好。', '短评打分': 1}
{'短评内容': '酒店服务很好，价格便宜。有早餐。感觉经济实惠', '短评打分': 5}
{'短评内容': '十二点退房，无电熨斗，希望与时更进', '短评打分': 4}
{'短评内容': '三人间面积大，空气流通，房间设施不错，唯一不足就是早餐太差。', '短评打分': 4}
{'短评内容': '有早餐 有车位', '短评打分': 3}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '跟小旅社一样', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '行，，，，，', '短评打分': 5}
{'短评内容': '比上次来住差了很多~~~卫生很差~~~', '短评打分': 3}
{'短评内容': '第二次入住，还是可以的。', '短评打分': 5}
{'短评内容': '挺好的，位置价格都算合适。', '短评打分': 5}
{'短评内容': '位置好，交通便利；环境好，距离天津大学、南开大学很近。服务好，比较舒适。卫生好，设施齐全。 总体感觉不错。', '短评打分': 5}
{'短评内容': '交通比较方便，有双早，早餐不错，就是屋内设施旧了点', '短评打分': 4}
