{'descr': '房间味道难闻，太熏人了，装修陈旧，不推荐入住', 'star': 2}
{'descr': '是否还会发发发', 'star': 5}
{'descr': '屋子整洁，环境好', 'star': 5}
{'descr': '无早餐     不能加床     不适合带孩子     位置偏    空间小   房间小     ', 'star': 1}
{'descr': '环境好，服务优', 'star': 5}
{'descr': '有点偏，但服务很好，房间很大', 'star': 5}
{'descr': '非常好，速度快，服务好！', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '挺好的，很方便，交通也方便', 'star': 5}
{'descr': '交通挺方便的，环境也不错的', 'star': 5}
{'descr': '交通方便，安静，挺舒适的，附近早点也挺多的', 'star': 5}
{'descr': '位置价位还行，一次出行再也不用携程，携程太坑人，价位比门店贵很多', 'star': 5}
{'descr': '给店里员工预定这里，离分公司很近，办事方便。闹中取静，汉庭价位不高，卫生都是可以保证的。比如家也多点商务感觉。', 'star': 4}
{'descr': '给店里员工预定这里，离分公司很近，办事方便。闹中取静，汉庭价位不高，卫生都是可以保证的。比如家也多点商务感觉。', 'star': 4}
{'descr': '给店里员工预定这里，离分公司很近，办事方便。闹中取静，汉庭价位不高，卫生都是可以保证的。比如家也多点商务感觉。', 'star': 4}
{'descr': '有自己停车场方便安全。', 'star': 4}
{'descr': '挺好的，还实惠', 'star': 5}
{'descr': "每次都住这'很安静'都习惯了", 'star': 5}
{'descr': "电视升级了'都是液晶的'wifi也快了！价格还便宜！很安静！每次来首选！", 'star': 5}
{'descr': '周边设施挺齐全 交通也比较方便 总体好评！', 'star': 4}
{'descr': '很好的价格还挺合适，适合短住', 'star': 3}
{'descr': '就是不太好找。。。', 'star': 5}
{'descr': '很不错的一家汉庭，离使馆很近，办事很方便。', 'star': 5}
{'descr': '很不错的一家汉庭，离使馆很近，办事很方便。', 'star': 5}
{'descr': '很不错的一家汉庭，离使馆很近，办事很方便。', 'star': 5}
{'descr': '离使馆比较近，办理签证的话会非常方便，酒店也是很干净。', 'star': 5}
{'descr': ' 地方有点偏，不易找到。服务态度非常好，结帐主动询问是否开发票。住宿环境没得说挺干净。总体给我感觉深的就是服务态度可以评三星级', 'star': 3}
{'descr': '住的大床房，房间干净整洁，设施较新，服务员态度都很好，周边交通也比较便利，汉庭非常不错，以后还会入住。', 'star': 3}
{'descr': ' 安静，卫生，服务好。', 'star': 3}
{'descr': '酒店非常干净，房间大，有电脑，刷卡电梯，很安全。服务好，推荐！', 'star': 5}
{'descr': '服务态度很好 那天飞机晚了 还是留房到午夜 ', 'star': 5}
{'descr': '汉庭和平大街店位置好找，房间干净整洁，宽带上网速度尚可，收邮件、浏览网页畅通无阻。以后还会选这家店住宿。', 'star': 5}
{'descr': '本次入住感觉很好。房间干净整洁、设施齐备，居住舒服，客服人员也很有礼貌。', 'star': 5}
{'descr': '房间面积大,装修不错,安静,客服人员也很有礼貌。下次还会选这里。', 'star': 3}
{'descr': '房间不错，而且给了免费升级房间，早点也还可以，房间的电视太差，该换液晶了！', 'star': 5}
{'descr': '去，多收我十元怎么个意思！', 'star': 3}
{'descr': '交通方便,入住体验感觉良好!', 'star': 3}
{'descr': '挺好，挺干净，毛巾挺新，就是上网麻烦，还早验证码', 'star': 3}
{'descr': '房间设施很好,使用也方便,看得出是为客人着想了。', 'star': 3}
{'descr': '酒店服务设施不错，交通便利、周边环境较好，离我办事的地方很近。', 'star': 5}
{'descr': '入住方便，地理位置距离医大一院很近，室内卫生干净，空调超热，服务很好，值得入住。', 'star': 5}
{'descr': '还不错的环境 地点也比较方便 推荐一下吧', 'star': 5}
{'descr': '环境还可以，前台不是很专业，头一天预约改房型，明明告诉我成功了，第二天去换卡，居然说没有记录', 'star': 3}
{'descr': ' 还算可以', 'star': 3}
{'descr': '不错，以前来过。', 'star': 3}
{'descr': '  环境还可以 设施齐全', 'star': 3}
{'descr': '酒店位置不错，设施还行，离我需要办事的地方很近。\n地处市区中心，交通便利。周围环境还好。\n服务员服务贴心。\n\n', 'star': 5}
{'descr': '还行，挺干净的，出行也较方便。离沈阳火车站及火车北站都挺近，周边环境挺好。只是前台的服务跟不上，登记太慢，啰嗦。', 'star': 5}
{'descr': '酒店服务还可以，入住的人也挺多的，说明性价比不错，值得推荐，不过房间的隔音效果好象不是很好，总体还可以啦！', 'star': 5}
{'descr': '凌晨1点半到店后和前台说安排间安静的，被告知只有一间，开的第一间房，都没收拾，相当乱！给总机打电话，又从新换房！一点责任感都没！', 'star': 1}
{'descr': '酒店价格还算可以，交通方便，就是没有餐可以订，不太方便！', 'star': 5}
{'descr': '不错，就是房间小了点，服务员态度挺好。。。。', 'star': 5}
{'descr': '酒店的环境很好 服务态度也很好 就是网络太差 ', 'star': 5}
{'descr': '不错 住的一楼感觉也很好 以后还会选择汉庭', 'star': 5}
{'descr': '很干净^^ 地理位置也很好~ 出行很方便~', 'star': 5}
{'descr': '钱还算比较合理的。房间有点小，挺干净的，就是一次性生活用品只有一份的，毛巾是两份的。洗澡用的拖鞋也没有。其他的还不错啦。', 'star': 5}
{'descr': '根本不是汉庭的水准 设施连如家和锦江之星的一半也赶不上', 'star': 1}
{'descr': '卫生条件不错，楼层服务员服务很周到，就是房价里不包括早餐这点不好。没有07年的住得时候新了。', 'star': 5}
{'descr': '房间太小了，屋子比较旧，不通风', 'star': 3}
{'descr': '第一次住汉庭，比想象当中好多了，很舒服，服务卫生什么的都蛮好，设施都很齐，就是在小巷内，才去不好找，总体很满意~~~', 'star': 5}
{'descr': '这里的早餐还不错，下次来还住这里。距离沈阳站和沈阳北站都很近。\n', 'star': 5}
{'descr': '宾馆还可以，办理手续比较快，服务态度也比较好。周围环境比较安静，但是交通还不是太方便。', 'star': 5}
{'descr': '交通还算方便，房间很干净就是有些小。下次来还住这里，房价能便宜点就更好了。', 'star': 5}
{'descr': '条件太差，下次肯定不住了。服务设施什么的都不行，网速太慢了。', 'star': 1}
{'descr': '不错的', 'star': 3}
{'descr': '此店位置不错，离我需要办事的地方很近。\n地处市区中心，交通便利。\n服务员服务贴心。', 'star': 5}
{'descr': '不错环境好安静', 'star': 3}
