{'descr': '在上海还算对得起这价钱', 'star': 3}
{'descr': '在上海，还算对得起这价钱', 'star': 3}
{'descr': '马马虎虎', 'star': 3}
{'descr': '酒店位置很好，复旦大学门口，只是有些破旧，房间不隔音，楼下前台有个服务员很凶', 'star': 4}
{'descr': '爸爸妈妈住了一晚，正赶上半夜修水管，叮叮当当一夜没睡。另外不敢开窗户，饭店烟囱就在旁边，各种油烟味', 'star': 4}
{'descr': '交通方便，楼下餐馆很多，很不错。', 'star': 3}
{'descr': '还行，比较舒适，也不贵，出门就是复旦大学', 'star': 3}
{'descr': '复旦旁边地理位置好', 'star': 4}
{'descr': '外观一般，但房间里面装修挺不错', 'star': 5}
{'descr': '有点旧 别的都还好 位置方便', 'star': 3}
{'descr': '房间在五楼，但一楼二楼在大范围装修！一大早就吵的睡不着觉！晚上还会11点锁大门！实在忍受不了了！没装修好千万别去住！', 'star': 3}
{'descr': '就在复旦东门,走到光华楼2分钟,走到10地铁江湾体育场站10分钟.非常方便. 设施陈旧了一些,  热水比较难调,宽带6元/天,', 'star': 5}
{'descr': '环境还凑合，服务态度就相当的差，前台的态度好像跟我有仇一样。极力不推荐！', 'star': 1}
{'descr': '当初选择这家店是迫不得已，因为之前团购的另一家五角场的店家竟然以周末不接待团购客人为理由拒绝入住，恶劣！\n这家店的优点是，门口就是166路的站台，到火车站相当的方便，一趟车就可以搞定。不过这条线路巨长无比，要提前算好出行时间，免得在车上穿越大半个上海城时急火攻心。\n另一优点是，出门就是复旦大学新闻学院的正大门，如果有要去这里的理由，可考虑。\n第三点是，正如前台老阿姨唯一感到不抱歉的一点是：房间里装', 'star': 1}
{'descr': '十', 'star': 3}
{'descr': '服务态度差 房间与照片严重不符 家具破旧 隔声效果极差 而且还存在公用卫生间 这一点在网上预订时根本没有写到！', 'star': 1}
{'descr': '价格便宜 比较安静  地段离五角场比较近', 'star': 5}
{'descr': '已经入住', 'star': 3}
{'descr': '条件很一般，价格又没有优势。以后再不会去这家宾馆了，当然更不会推荐朋友去，会被朋友骂死的。', 'star': 1}
{'descr': '确实比较方便。本来打算只住2晚，后来又续订了2晚。参加复旦大学的会议还是比较方便的', 'star': 5}
{'descr': '离复旦大学开会的地方很近，吃饭交通都比较方便', 'star': 5}
{'descr': '宾馆不起眼，在弄内拐弯后才看见大门。但房间内环境还不错，除了设施旧了些外，还是很整洁的，满意!', 'star': 3}
{'descr': '服务员态度很好，就是房间设施陈旧，好好装修，电茶壶也应该清理干净。', 'star': 5}
{'descr': '条件还不错,还行吧,就是上网不方便，另收费。', 'star': 5}
{'descr': '属复旦大学的招待所性质，服务态度还蛮好的', 'star': 5}
{'descr': '乙', 'star': 3}
{'descr': '从外观看还是很普通，但是进去之后感觉房间环境还是挺不错的，酒店位置还可以，态度还是一般，价格还行。', 'star': 3}
{'descr': '离复旦很近', 'star': 3}
{'descr': '复旦的托业班也在这个楼里，乱，电梯吱吱呀呀，费用贵得要死，上网不方便，另收费。', 'star': 1}
{'descr': '总体来说不错，就是没有配网线，上网不太方便', 'star': 5}
{'descr': '条件还不错。', 'star': 5}
{'descr': '还行把', 'star': 5}
